,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+
0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
2,246,161,111,77,41,12,0,0,0
3,418,256,80,81,45,18,0,0,0
4,523,328,49,65,37,11,0,0,0
5,596,360,38,49,32,12,0,0,0
6,668,362,50,40,40,10,0,0,0
7,680,352,20,40,26,4,0,0,0
8,681,333,26,30,17,7,0,0,0
9,671,303,14,17,14,5,0,0,0
10,633,267,13,14,11,6,0,0,0
11,607,247,6,13,5,4,0,0,0
12,565,217,14,7,10,3,0,0,0
13,539,205,6,8,8,3,0,0,0
14,517,191,8,6,11,3,0,0,0
15,503,180,3,4,8,3,0,0,0
16,499,168,5,4,4,0,0,0,0
17,494,157,3,4,3,0,0,0,0
18,467,137,7,6,2,1,0,0,0
19,472,132,2,0,4,1,0,0,0
20,457,116,2,0,3,1,0,0,0
21,458,100,2,0,3,1,0,0,0
22,447,100,2,0,3,0,0,0,0
23,439,93,2,0,1,0,0,0,0
24,411,97,0,2,1,0,0,0,0
25,394,90,0,1,0,0,0,0,0
26,382,73,1,0,0,0,0,0,0
27,378,60,0,0,1,0,0,0,0
28,370,59,0,0,0,0,0,0,0
29,373,50,0,0,0,0,0,0,0
30,370,47,1,0,0,0,0,0,0
31,363,50,0,0,0,0,0,0,0
32,342,52,0,0,0,0,0,0,0
33,335,52,0,0,1,0,0,0,0
34,321,50,0,0,1,0,0,0,0
35,312,42,0,0,0,0,0,0,0
36,315,36,0,0,0,0,0,0,0
37,293,37,1,0,0,0,0,0,0
38,278,31,0,0,0,0,0,0,0
39,271,33,0,0,0,0,0,0,0
40,252,28,0,0,0,0,0,0,0
41,241,28,0,0,0,0,0,0,0
42,244,27,0,0,0,0,0,0,0
43,249,26,0,0,0,0,0,0,0
44,240,22,0,0,0,0,0,0,0
45,236,18,0,0,0,0,0,0,0
46,233,18,0,0,0,0,0,0,0
47,223,16,0,0,0,0,0,0,0
48,205,14,0,0,0,0,0,0,0
49,208,12,0,0,0,0,0,0,0
50,206,13,0,0,0,0,0,0,0
51,202,16,0,0,0,0,0,0,0
52,186,15,0,0,0,0,0,0,0
53,173,17,0,0,0,0,0,0,0
54,167,16,0,0,0,0,0,0,0
55,158,14,0,0,0,0,0,0,0
56,170,15,0,0,0,0,0,0,0
57,175,15,0,0,0,0,0,0,0
58,165,14,0,0,0,0,0,0,0
59,165,11,0,0,0,0,0,0,0
60,168,9,0,0,0,0,0,0,0
61,160,8,0,0,0,0,0,0,0
62,157,7,0,0,0,0,0,0,0
63,147,9,0,0,0,0,0,0,0
64,137,9,0,0,0,0,0,0,0
65,144,8,0,0,0,0,0,0,0
66,141,8,0,0,0,0,0,0,0
67,124,6,0,0,0,0,0,0,0
68,124,6,0,0,0,0,0,0,0
69,126,6,0,0,0,0,0,0,0
70,125,5,0,0,0,0,0,0,0
71,116,4,0,0,0,0,0,0,0
72,109,4,0,0,0,0,0,0,0
