,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+
0,3,1,0,0,0,1,0,0,0
1,3,1,0,0,0,1,0,0,0
2,3,1,0,0,0,1,0,0,0
3,3,1,0,0,0,1,0,0,0
4,3,2,0,0,0,1,0,0,0
5,3,2,0,0,0,2,0,0,0
6,3,3,1,1,6,4,0,0,0
7,3,4,1,1,8,5,0,0,0
8,3,8,1,2,9,7,0,0,0
9,3,14,2,5,15,9,0,0,0
10,3,18,4,7,20,12,0,0,0
11,3,21,4,7,25,13,0,0,0
12,3,27,6,8,29,15,0,0,0
13,3,29,6,8,32,16,0,0,0
14,3,31,7,9,35,18,0,0,0
15,3,32,7,9,36,19,0,0,0
16,3,33,8,11,38,20,0,0,0
17,3,37,8,11,43,20,0,0,0
18,3,40,9,13,45,20,0,0,0
19,3,41,9,13,46,21,0,0,0
20,3,44,9,13,49,21,0,0,0
21,3,44,9,13,49,21,0,0,0
22,3,45,9,13,49,22,0,0,0
23,3,49,9,13,49,22,0,0,0
24,3,49,9,13,50,22,0,0,0
25,3,51,9,13,50,22,0,0,0
26,3,52,9,13,51,22,0,0,0
27,3,52,9,13,51,22,0,0,0
28,3,53,9,13,51,22,0,0,0
29,3,54,9,13,51,22,0,0,0
30,3,55,9,13,51,22,0,0,0
31,3,55,9,13,51,22,0,0,0
32,3,55,9,13,51,22,0,0,0
33,3,55,9,13,51,22,0,0,0
34,3,58,9,13,51,23,0,0,0
35,3,61,9,13,51,23,0,0,0
36,3,61,9,13,51,23,0,0,0
37,3,61,9,13,51,23,0,0,0
38,3,61,9,13,51,23,0,0,0
39,3,61,9,13,51,23,0,0,0
40,3,61,9,13,51,23,0,0,0
41,3,61,9,13,51,23,0,0,0
42,3,62,9,13,51,23,0,0,0
43,3,62,9,13,51,23,0,0,0
44,3,62,9,13,51,23,0,0,0
45,3,62,9,13,51,23,0,0,0
46,3,63,9,13,51,23,0,0,0
47,3,63,9,13,51,23,0,0,0
48,3,64,9,13,51,23,0,0,0
49,3,64,9,13,51,23,0,0,0
50,3,64,9,13,51,23,0,0,0
51,3,65,9,13,51,23,0,0,0
52,3,66,9,13,51,23,0,0,0
53,3,66,9,13,51,23,0,0,0
54,3,66,9,13,51,23,0,0,0
55,3,66,9,13,51,23,0,0,0
56,3,66,9,13,51,23,0,0,0
57,3,66,9,13,51,23,0,0,0
58,3,66,9,13,51,23,0,0,0
59,3,66,9,13,51,23,0,0,0
60,3,66,9,13,51,23,0,0,0
61,3,66,9,13,51,23,0,0,0
62,3,66,9,13,51,23,0,0,0
63,3,67,9,13,51,23,0,0,0
64,3,67,9,13,51,23,0,0,0
65,3,67,9,13,51,23,0,0,0
66,3,67,9,13,51,23,0,0,0
67,3,67,9,13,51,23,0,0,0
68,3,67,9,13,51,23,0,0,0
69,3,67,9,13,51,23,0,0,0
70,3,67,9,13,51,23,0,0,0
71,3,67,9,13,51,23,0,0,0
72,3,67,9,13,51,23,0,0,0
73,3,67,9,13,51,23,0,0,0
74,3,67,9,13,51,23,0,0,0
75,3,67,9,13,51,23,0,0,0
76,3,67,9,13,51,23,0,0,0
77,3,67,9,13,51,23,0,0,0
78,3,67,9,13,51,23,0,0,0
79,3,67,9,13,51,23,0,0,0
80,3,67,9,13,51,23,0,0,0
81,3,67,9,13,51,23,0,0,0
82,3,67,9,13,51,23,0,0,0
83,3,67,9,13,51,23,0,0,0
84,3,67,9,13,51,23,0,0,0
85,3,67,9,13,51,23,0,0,0
86,3,67,9,13,51,23,0,0,0
87,3,67,9,13,51,23,0,0,0
88,3,67,9,13,51,23,0,0,0
89,3,67,9,13,51,23,0,0,0
90,3,67,9,13,51,23,0,0,0
91,3,67,9,13,51,23,0,0,0
92,3,67,9,13,51,23,0,0,0
93,3,67,9,13,51,23,0,0,0
94,3,67,9,13,51,23,0,0,0
