,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+
0,1,1,1,1,1,0,0,0,0
1,1,1,1,1,1,0,0,0,0
2,1,1,1,1,1,0,0,0,0
3,1,1,1,1,1,0,0,0,0
4,1,1,1,1,1,0,0,0,0
5,1,1,1,1,1,0,0,0,0
6,1,1,1,1,1,0,0,0,0
7,1,3,1,2,1,0,0,0,0
8,3,4,1,2,2,0,0,0,0
9,5,7,5,9,2,0,0,0,0
10,7,10,15,15,6,1,0,0,0
11,19,19,37,28,11,2,0,0,0
12,37,34,60,46,14,3,0,0,0
13,66,56,94,67,27,6,0,0,0
14,102,90,137,98,45,14,0,0,0
15,131,127,196,139,64,17,0,0,0
16,171,163,249,192,85,20,0,0,0
17,207,197,280,221,101,22,0,0,0
18,235,218,320,252,111,23,0,0,0
19,270,250,347,269,117,26,0,0,0
20,292,274,365,286,126,26,0,0,0
21,315,297,377,293,132,27,0,0,0
22,333,318,387,301,135,29,0,0,0
23,354,334,397,307,137,29,0,0,0
24,377,348,404,313,140,29,0,0,0
25,390,362,411,324,143,29,0,0,0
26,403,376,417,326,144,29,0,0,0
27,425,391,418,328,146,29,0,0,0
28,447,403,424,329,147,29,0,0,0
29,469,418,430,331,149,29,0,0,0
30,487,425,434,332,149,29,0,0,0
31,500,441,435,333,149,29,0,0,0
32,513,448,437,336,149,29,0,0,0
33,529,454,437,336,149,29,0,0,0
34,549,460,437,336,149,29,0,0,0
35,563,466,438,336,149,29,0,0,0
36,574,471,438,336,149,29,0,0,0
37,590,475,438,337,149,29,0,0,0
38,607,485,439,337,149,29,0,0,0
39,624,495,440,337,149,29,0,0,0
40,637,498,441,338,149,29,0,0,0
41,645,501,441,339,149,29,0,0,0
42,657,504,441,339,149,29,0,0,0
43,666,507,441,339,149,29,0,0,0
44,680,510,442,339,149,29,0,0,0
45,693,512,442,339,149,29,0,0,0
46,699,516,442,339,149,29,0,0,0
47,710,521,442,339,149,29,0,0,0
48,719,524,442,339,149,29,0,0,0
49,730,528,442,339,149,29,0,0,0
50,735,530,442,339,149,29,0,0,0
51,741,532,442,339,149,29,0,0,0
52,753,532,442,339,149,29,0,0,0
53,768,534,442,339,149,29,0,0,0
54,774,535,442,339,149,29,0,0,0
55,785,538,442,339,149,29,0,0,0
56,792,541,442,339,149,29,0,0,0
57,801,542,442,339,149,29,0,0,0
58,810,542,442,339,149,29,0,0,0
59,815,542,442,339,149,29,0,0,0
60,820,542,442,339,149,29,0,0,0
61,825,544,442,339,149,29,0,0,0
62,833,544,442,339,149,29,0,0,0
63,840,546,442,339,149,29,0,0,0
64,845,546,442,339,149,29,0,0,0
65,854,546,442,339,149,29,0,0,0
66,863,548,442,339,149,29,0,0,0
67,866,549,442,339,149,29,0,0,0
68,869,550,442,339,149,29,0,0,0
69,870,550,442,339,149,29,0,0,0
70,875,550,442,339,149,29,0,0,0
71,885,551,442,339,149,29,0,0,0
72,888,551,442,339,149,29,0,0,0
73,894,552,442,339,149,29,0,0,0
74,901,552,442,339,149,29,0,0,0
75,910,552,442,339,149,29,0,0,0
76,919,552,442,339,149,29,0,0,0
77,922,553,442,339,149,29,0,0,0
78,926,553,442,339,149,29,0,0,0
79,929,555,442,339,149,29,0,0,0
80,933,555,442,339,149,29,0,0,0
81,934,555,442,339,149,29,0,0,0
82,939,555,442,339,149,29,0,0,0
83,943,555,442,339,149,29,0,0,0
84,945,555,442,339,149,29,0,0,0
85,949,555,442,339,149,29,0,0,0
86,957,555,442,339,149,29,0,0,0
87,959,556,442,339,149,29,0,0,0
88,965,556,442,339,149,29,0,0,0
89,967,556,442,339,149,29,0,0,0
90,971,556,442,339,149,29,0,0,0
91,975,556,442,339,149,29,0,0,0
92,976,556,442,339,149,29,0,0,0
93,981,556,442,339,149,29,0,0,0
94,985,556,442,339,149,29,0,0,0
95,988,556,442,339,149,29,0,0,0
96,992,556,442,339,149,29,0,0,0
97,997,556,442,339,149,29,0,0,0
98,999,556,442,339,149,29,0,0,0
99,999,556,442,339,149,29,0,0,0
100,999,556,442,339,149,29,0,0,0
101,1003,556,442,339,149,29,0,0,0
102,1006,556,442,339,149,29,0,0,0
103,1008,556,442,339,149,29,0,0,0
104,1009,556,442,339,149,29,0,0,0
105,1009,556,442,339,149,29,0,0,0
106,1011,556,442,339,149,29,0,0,0
107,1011,556,442,339,149,29,0,0,0
108,1012,556,442,339,149,29,0,0,0
109,1015,557,442,339,149,29,0,0,0
110,1018,557,442,339,149,29,0,0,0
111,1021,557,442,339,149,29,0,0,0
112,1022,557,442,339,149,29,0,0,0
113,1023,557,442,339,149,29,0,0,0
114,1025,557,442,339,149,29,0,0,0
115,1026,557,442,339,149,29,0,0,0
116,1026,557,442,339,149,29,0,0,0
117,1028,557,442,339,149,29,0,0,0
118,1029,557,442,339,149,29,0,0,0
119,1032,557,442,339,149,29,0,0,0
120,1034,557,442,339,149,29,0,0,0
121,1034,557,442,339,149,29,0,0,0
122,1035,557,442,339,149,29,0,0,0
123,1037,557,442,339,149,29,0,0,0
124,1037,557,442,339,149,29,0,0,0
125,1037,557,442,339,149,29,0,0,0
126,1037,557,442,339,149,29,0,0,0
127,1038,557,442,339,149,29,0,0,0
128,1040,557,442,339,149,29,0,0,0
129,1040,557,442,339,149,29,0,0,0
130,1040,557,442,339,149,29,0,0,0
131,1042,557,442,339,149,29,0,0,0
132,1042,557,442,339,149,29,0,0,0
133,1042,557,442,339,149,29,0,0,0
134,1042,557,442,339,149,29,0,0,0
135,1042,557,442,339,149,29,0,0,0
136,1045,557,442,339,149,29,0,0,0
137,1046,557,442,339,149,29,0,0,0
138,1046,557,442,339,149,29,0,0,0
139,1049,557,442,339,149,29,0,0,0
140,1050,557,442,339,149,29,0,0,0
141,1050,557,442,339,149,29,0,0,0
142,1050,557,442,339,149,29,0,0,0
143,1051,557,442,339,149,29,0,0,0
144,1052,557,442,339,149,29,0,0,0
145,1053,557,442,339,149,29,0,0,0
146,1054,557,442,339,149,29,0,0,0
147,1055,557,442,339,149,29,0,0,0
148,1055,557,442,339,149,29,0,0,0
149,1056,557,442,339,149,29,0,0,0
150,1058,557,442,339,149,29,0,0,0
151,1060,557,442,339,149,29,0,0,0
152,1061,557,442,339,149,29,0,0,0
153,1062,557,442,339,149,29,0,0,0
154,1064,557,442,339,149,29,0,0,0
155,1066,557,442,339,149,29,0,0,0
156,1066,557,442,339,149,29,0,0,0
157,1067,557,442,339,149,29,0,0,0
158,1067,557,442,339,149,29,0,0,0
159,1067,557,442,339,149,29,0,0,0
160,1068,557,442,339,149,29,0,0,0
161,1068,557,442,339,149,29,0,0,0
162,1068,557,442,339,149,29,0,0,0
163,1069,557,442,339,149,29,0,0,0
164,1069,557,442,339,149,29,0,0,0
165,1071,557,442,339,149,29,0,0,0
166,1071,557,442,339,149,29,0,0,0
167,1072,557,442,339,149,29,0,0,0
168,1072,557,442,339,149,29,0,0,0
169,1072,557,442,339,149,29,0,0,0
170,1073,557,442,339,149,29,0,0,0
171,1073,557,442,339,149,29,0,0,0
172,1073,557,442,339,149,29,0,0,0
173,1074,557,442,339,149,29,0,0,0
174,1075,557,442,339,149,29,0,0,0
