,Susceptible,Exposed,Infected,Deaths,Recovered,Vaccinated
0,5361,0,8,5,5,3297
1,5361,0,8,5,5,3297
2,4753,608,8,5,5,3297
3,4300,836,233,5,5,3297
4,3947,980,441,6,5,3297
5,3689,1028,644,11,7,3297
6,3507,1055,789,21,7,3297
7,3359,1030,955,28,7,3297
8,3271,991,1068,35,14,3297
9,3180,953,1172,47,27,3297
10,3130,908,1241,51,49,3297
11,3114,834,1273,62,96,3297
12,3080,793,1254,69,183,3297
13,3039,760,1190,77,313,3297
14,3028,689,1113,88,461,3297
15,3010,645,998,97,629,3297
16,2993,621,857,105,803,3297
17,2956,611,743,116,953,3297
18,2915,608,642,119,1095,3297
19,2915,564,555,123,1222,3297
20,2898,548,474,125,1334,3297
21,2883,525,416,128,1427,3297
22,2860,507,391,131,1490,3297
23,2858,479,358,133,1551,3297
24,2856,445,335,135,1608,3297
25,2834,443,317,139,1646,3297
26,2803,449,296,139,1692,3297
27,2791,432,277,140,1739,3297
28,2779,422,252,140,1786,3297
29,2768,417,228,142,1824,3297
30,2771,392,210,142,1864,3297
31,2775,366,205,142,1891,3297
32,2781,342,185,143,1928,3297
33,2770,328,184,144,1953,3297
34,2763,320,175,144,1977,3297
35,2765,299,173,144,1998,3297
36,2751,299,164,144,2021,3297
37,2752,286,148,144,2049,3297
38,2747,281,130,145,2076,3297
39,2728,283,132,145,2091,3297
40,2728,269,122,145,2115,3297
41,2718,263,122,145,2131,3297
42,2707,263,115,145,2149,3297
43,2711,252,109,145,2162,3297
44,2707,241,106,145,2180,3297
45,2701,240,96,146,2196,3297
46,2710,216,102,146,2205,3297
47,2704,209,101,146,2219,3297
48,2699,207,92,146,2235,3297
49,2693,203,88,146,2249,3297
50,2682,208,87,146,2256,3297
51,2675,203,83,146,2272,3297
52,2666,207,81,146,2279,3297
53,2657,205,81,146,2290,3297
54,2662,192,79,146,2300,3297
55,2665,181,76,146,2311,3297
56,2664,171,82,146,2316,3297
57,2667,159,79,146,2328,3297
58,2662,157,72,146,2342,3297
59,2663,150,67,147,2352,3297
60,2655,149,65,147,2363,3297
61,2654,145,61,147,2372,3297
62,2660,134,55,147,2383,3297
63,2659,128,54,147,2391,3297
64,2658,127,52,147,2395,3297
65,2648,129,48,147,2407,3297
66,2651,122,46,147,2413,3297
67,2644,121,47,147,2420,3297
68,2640,117,49,147,2426,3297
69,2640,113,51,147,2428,3297
70,2636,114,48,147,2434,3297
71,2634,114,43,147,2441,3297
72,2628,107,55,147,2442,3297
73,2627,98,60,147,2447,3297
74,2630,90,58,147,2454,3297
75,2626,94,52,147,2460,3297
76,2627,90,48,147,2467,3297
77,2619,95,45,147,2473,3297
78,2613,96,47,147,2476,3297
79,2616,88,47,147,2481,3297
80,2624,78,42,147,2488,3297
81,2622,77,36,147,2497,3297
82,2615,83,25,147,2509,3297
83,2616,74,32,147,2510,3297
84,2615,72,32,147,2513,3297
85,2617,69,31,147,2515,3297
86,2612,71,31,147,2518,3297
87,2609,72,28,147,2523,3297
88,2610,67,29,147,2526,3297
89,2611,65,27,147,2529,3297
90,2611,63,25,147,2533,3297
91,2613,57,26,147,2536,3297
92,2612,55,26,147,2539,3297
93,2613,54,26,147,2539,3297
94,2608,55,24,147,2545,3297
95,2608,53,22,147,2549,3297
96,2610,50,21,147,2551,3297
97,2608,51,20,147,2553,3297
98,2611,47,17,147,2557,3297
99,2611,43,20,147,2558,3297
100,2607,45,21,147,2559,3297
101,2606,44,21,147,2561,3297
102,2604,46,19,147,2563,3297
103,2604,45,20,147,2563,3297
104,2598,50,20,147,2564,3297
105,2596,49,23,147,2564,3297
106,2596,49,21,147,2566,3297
107,2596,47,19,147,2570,3297
108,2598,41,23,147,2570,3297
109,2593,44,21,147,2574,3297
110,2596,41,21,147,2574,3297
111,2596,40,19,147,2577,3297
112,2593,42,19,147,2578,3297
113,2600,33,20,147,2579,3297
114,2600,31,21,147,2580,3297
115,2600,30,21,147,2581,3297
116,2594,36,18,147,2584,3297
117,2595,34,18,147,2585,3297
118,2588,39,15,147,2590,3297
119,2588,38,14,147,2592,3297
120,2590,35,15,147,2592,3297
121,2586,38,16,147,2592,3297
122,2589,35,15,147,2593,3297
123,2589,35,15,147,2593,3297
124,2592,31,13,147,2596,3297
125,2593,27,14,147,2598,3297
126,2591,26,17,147,2598,3297
127,2590,22,21,147,2599,3297
128,2591,19,22,147,2600,3297
129,2596,10,24,147,2602,3297
130,2592,13,24,147,2603,3297
131,2590,15,21,147,2606,3297
132,2587,17,22,147,2606,3297
133,2588,16,21,147,2607,3297
134,2590,13,21,147,2608,3297
135,2590,13,19,147,2610,3297
136,2589,13,16,147,2614,3297
137,2588,14,14,147,2616,3297
138,2588,14,13,147,2617,3297
139,2587,14,13,147,2618,3297
140,2585,15,14,147,2618,3297
141,2586,14,13,147,2619,3297
142,2585,14,13,147,2620,3297
143,2587,12,11,147,2622,3297
144,2585,14,10,147,2623,3297
145,2583,16,8,147,2625,3297
146,2585,13,9,147,2625,3297
147,2585,12,10,147,2625,3297
148,2584,12,11,147,2625,3297
149,2584,10,13,147,2625,3297
150,2585,9,13,147,2625,3297
151,2584,10,12,147,2626,3297
152,2585,9,12,147,2626,3297
153,2585,8,13,147,2626,3297
154,2584,9,13,147,2626,3297
155,2587,6,13,147,2626,3297
156,2587,6,10,147,2629,3297
157,2587,4,11,147,2630,3297
158,2586,5,11,147,2630,3297
159,2586,5,11,147,2630,3297
160,2583,7,12,147,2630,3297
161,2583,7,12,147,2630,3297
162,2582,8,11,147,2631,3297
163,2583,6,12,147,2631,3297
164,2583,5,13,147,2631,3297
165,2582,6,12,147,2632,3297
166,2581,7,12,147,2632,3297
167,2582,5,12,147,2633,3297
168,2582,5,12,147,2633,3297
169,2582,5,12,147,2633,3297
170,2581,6,11,147,2634,3297
171,2583,4,11,147,2634,3297
172,2582,5,10,147,2635,3297
173,2581,6,10,147,2635,3297
174,2581,5,11,147,2635,3297
175,2582,4,10,147,2636,3297
176,2582,3,11,147,2636,3297
177,2582,3,11,147,2636,3297
178,2582,3,10,147,2637,3297
179,2583,2,10,147,2637,3297
180,2582,3,10,147,2637,3297
181,2581,4,10,147,2637,3297
182,2581,4,10,147,2637,3297
183,2580,5,10,147,2637,3297
184,2581,4,8,147,2639,3297
185,2582,3,8,147,2639,3297
186,2579,6,8,147,2639,3297
187,2579,5,9,147,2639,3297
188,2580,4,9,147,2639,3297
189,2581,3,9,147,2639,3297
190,2580,4,9,147,2639,3297
191,2580,3,10,147,2639,3297
192,2580,3,10,147,2639,3297
193,2581,1,11,147,2639,3297
194,2581,1,11,147,2639,3297
195,2581,1,11,147,2639,3297
196,2580,2,11,147,2639,3297
197,2581,1,11,147,2639,3297
198,2581,1,11,147,2639,3297
199,2580,2,11,147,2639,3297
200,2580,2,10,147,2640,3297
201,2579,3,9,147,2641,3297
202,2579,3,9,147,2641,3297
203,2580,2,9,147,2641,3297
204,2580,2,8,147,2642,3297
205,2580,2,8,147,2642,3297
206,2579,3,8,147,2642,3297
207,2579,3,8,147,2642,3297
208,2579,3,8,147,2642,3297
209,2579,3,8,147,2642,3297
210,2579,3,8,147,2642,3297
211,2580,2,8,147,2642,3297
212,2580,2,8,147,2642,3297
213,2580,2,8,147,2642,3297
214,2580,1,9,147,2642,3297
215,2580,1,9,147,2642,3297
216,2580,1,9,147,2642,3297
217,2580,1,9,147,2642,3297
218,2580,0,10,147,2642,3297
219,2580,0,10,147,2642,3297
220,2579,1,10,147,2642,3297
221,2579,1,10,147,2642,3297
222,2579,0,11,147,2642,3297
223,2579,0,11,147,2642,3297
224,2579,0,11,147,2642,3297
225,2579,0,10,147,2643,3297
226,2579,0,10,147,2643,3297
227,2579,0,10,147,2643,3297
228,2579,0,10,147,2643,3297
229,2579,0,10,147,2643,3297
230,2579,0,9,147,2644,3297
231,2579,0,8,147,2645,3297
232,2579,0,8,147,2645,3297
233,2579,0,8,147,2645,3297
234,2579,0,8,147,2645,3297
235,2579,0,8,147,2645,3297
236,2579,0,8,147,2645,3297
237,2579,0,8,147,2645,3297
238,2579,0,8,147,2645,3297
239,2579,0,8,147,2645,3297
240,2579,0,8,147,2645,3297
