,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+
0,1,1,0,2,0,0,1,0,0
1,1,1,0,2,0,0,1,0,0
2,1,1,0,2,0,0,1,0,0
3,1,1,0,2,0,0,1,0,0
4,1,1,0,2,0,0,1,0,0
5,2,1,0,2,0,0,1,0,0
6,2,1,0,2,0,0,1,0,0
7,3,1,1,2,1,0,1,0,0
8,4,2,1,4,1,1,1,0,0
9,6,4,7,4,3,1,1,0,0
10,8,9,14,9,7,2,1,0,0
11,16,23,29,22,12,3,1,0,0
12,30,40,48,39,21,7,1,0,0
13,45,59,80,68,37,14,1,0,0
14,82,89,132,95,54,20,2,0,0
15,114,123,182,131,73,26,3,0,0
16,141,167,229,176,95,33,3,0,0
17,172,211,272,219,113,36,3,0,0
18,191,236,311,244,128,40,4,0,0
19,218,262,353,263,138,42,4,0,0
20,236,280,378,281,143,45,4,0,0
21,247,293,404,299,148,46,4,0,0
22,270,311,427,318,153,46,4,0,0
23,288,330,436,328,157,46,4,0,0
24,309,343,446,339,159,47,4,0,0
25,329,354,455,344,163,48,4,0,0
26,345,369,460,351,166,48,4,0,0
27,367,387,467,356,167,49,4,0,0
28,384,405,469,357,170,49,4,0,0
29,404,419,470,358,170,49,4,0,0
30,425,430,472,359,171,49,4,0,0
31,443,437,473,360,172,49,4,0,0
32,461,452,473,361,175,49,4,0,0
33,486,459,473,364,175,49,4,0,0
34,508,466,473,367,175,49,4,0,0
35,523,475,473,368,177,49,4,0,0
36,541,485,474,369,177,49,4,0,0
37,556,493,475,369,177,49,4,0,0
38,567,497,475,369,177,49,4,0,0
39,585,502,477,369,177,50,4,0,0
40,600,510,477,369,177,50,4,0,0
41,612,515,477,369,177,50,4,0,0
42,624,518,477,369,177,50,4,0,0
43,637,524,477,369,177,50,4,0,0
44,648,529,477,369,178,50,4,0,0
45,660,531,477,369,178,50,4,0,0
46,673,535,477,369,178,50,4,0,0
47,685,538,477,369,178,50,4,0,0
48,693,540,477,369,178,50,4,0,0
49,707,542,477,369,178,50,4,0,0
50,716,547,477,369,178,50,4,0,0
51,725,549,477,369,178,50,4,0,0
52,733,552,477,369,178,50,4,0,0
53,741,554,477,369,178,50,4,0,0
54,745,556,477,369,178,50,4,0,0
55,757,557,477,369,178,50,4,0,0
56,768,557,477,369,178,50,4,0,0
57,780,559,477,369,178,50,4,0,0
58,791,562,477,369,178,50,4,0,0
59,797,565,477,369,178,50,4,0,0
60,803,565,477,369,178,50,4,0,0
61,809,571,477,369,178,50,4,0,0
62,813,572,477,369,178,50,4,0,0
63,822,572,477,369,178,50,4,0,0
64,824,573,477,369,178,50,4,0,0
65,832,573,477,369,178,50,4,0,0
66,839,574,477,369,178,50,4,0,0
67,844,577,477,369,178,50,4,0,0
68,853,577,477,369,178,50,4,0,0
69,858,578,477,369,178,50,4,0,0
70,867,578,477,369,178,50,4,0,0
71,871,579,477,369,178,50,4,0,0
72,874,579,477,369,178,50,4,0,0
73,881,579,477,369,178,50,4,0,0
74,887,579,477,369,178,50,4,0,0
75,892,580,477,369,178,50,4,0,0
76,896,580,477,369,178,50,4,0,0
77,898,580,477,369,178,50,4,0,0
78,905,580,477,369,178,50,4,0,0
79,911,581,477,369,178,50,4,0,0
80,915,581,477,369,178,50,4,0,0
81,919,581,477,369,178,50,4,0,0
82,924,581,477,369,178,50,4,0,0
83,926,582,477,369,178,50,4,0,0
84,931,582,477,369,178,50,4,0,0
85,933,582,477,369,178,50,4,0,0
86,937,582,477,369,178,50,4,0,0
87,940,584,477,369,178,50,4,0,0
88,945,584,477,369,178,50,4,0,0
89,949,585,477,369,178,50,4,0,0
90,953,585,477,369,178,50,4,0,0
91,957,585,477,369,178,50,4,0,0
92,961,585,477,369,178,50,4,0,0
93,962,585,477,369,178,50,4,0,0
94,963,585,477,369,178,50,4,0,0
95,965,585,477,369,178,50,4,0,0
96,974,585,477,369,178,50,4,0,0
97,976,585,477,369,178,50,4,0,0
98,981,585,477,369,178,50,4,0,0
99,981,585,477,369,178,50,4,0,0
100,985,585,477,369,178,50,4,0,0
101,988,585,477,369,178,50,4,0,0
102,991,585,477,369,178,50,4,0,0
103,991,585,477,369,178,50,4,0,0
104,993,585,477,369,178,50,4,0,0
105,996,585,477,369,178,50,4,0,0
106,1001,585,477,369,178,50,4,0,0
107,1005,585,477,369,178,50,4,0,0
108,1005,585,477,369,178,50,4,0,0
