,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+
0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
2,231,196,178,141,92,79,30,0,0
3,387,345,118,143,109,71,21,0,0
4,506,437,102,140,87,67,28,0,0
5,605,458,80,87,79,62,16,0,0
6,647,478,60,82,64,30,7,0,0
7,659,454,62,59,53,32,8,0,0
8,654,417,38,56,37,17,6,0,0
9,637,385,39,52,33,14,6,0,0
10,624,359,26,39,29,12,7,0,0
11,585,344,21,28,29,13,4,0,0
12,556,328,11,16,19,7,0,0,0
13,526,291,10,14,22,4,2,0,0
14,522,254,15,12,13,5,0,0,0
15,494,236,8,6,14,5,0,0,0
16,477,228,3,5,13,5,2,0,0
17,473,221,1,6,11,3,2,0,0
18,474,198,4,2,9,2,0,0,0
19,477,175,3,3,7,0,0,0,0
20,448,167,1,7,1,0,2,0,0
21,430,155,1,4,0,0,0,0,0
22,422,141,1,3,1,0,2,0,0
23,388,141,0,1,4,1,0,0,0
24,377,134,1,2,3,2,0,0,0
25,365,124,0,1,1,1,0,0,0
26,370,121,2,3,0,0,0,0,0
27,375,116,0,0,0,0,0,0,0
28,366,107,0,0,0,0,0,0,0
29,365,102,0,0,0,0,0,0,0
30,366,82,0,0,0,0,0,0,0
31,352,72,0,1,0,0,0,0,0
32,343,70,0,0,0,1,0,0,0
33,331,59,0,0,0,0,0,0,0
34,336,70,0,0,0,0,1,0,0
35,325,63,0,0,0,0,0,0,0
36,315,51,0,0,0,0,0,0,0
37,304,47,0,0,0,0,0,0,0
38,295,45,0,0,0,0,0,0,0
39,271,37,0,0,0,0,0,0,0
40,282,43,0,0,0,0,0,0,0
41,261,37,0,0,0,0,0,0,0
42,247,36,0,0,0,0,0,0,0
43,236,32,0,0,0,0,0,0,0
44,238,28,0,0,0,0,0,0,0
45,219,24,0,0,0,0,0,0,0
46,225,19,0,0,0,0,0,0,0
47,212,13,0,0,0,0,0,0,0
48,205,17,0,0,0,0,0,0,0
49,195,19,0,0,0,0,0,0,0
50,192,19,0,0,0,0,0,0,0
51,189,17,0,0,0,0,0,0,0
52,193,15,0,0,0,0,0,0,0
53,184,14,0,0,0,0,0,0,0
54,185,14,0,0,0,0,0,0,0
55,196,13,0,0,0,0,0,0,0
56,187,10,0,0,0,0,0,0,0
57,176,9,0,0,0,0,0,0,0
58,166,9,0,0,0,0,0,0,0
59,148,8,0,0,0,0,0,0,0
60,161,10,0,0,0,0,0,0,0
61,151,9,0,0,0,0,0,0,0
62,150,9,0,0,0,0,0,0,0
63,152,7,0,0,0,0,0,0,0
64,140,6,0,0,0,0,0,0,0
65,130,5,0,0,0,0,0,0,0
66,131,6,0,0,0,0,0,0,0
67,125,6,0,0,0,0,0,0,0
68,131,2,0,0,0,0,0,0,0
69,128,3,0,0,0,0,0,0,0
70,121,3,0,0,0,0,0,0,0
71,111,1,0,0,0,0,0,0,0
72,113,0,0,0,0,0,0,0,0
