,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+
0,0,2,1,0,1,0,0,1,0
1,0,2,1,0,1,0,0,1,0
2,0,2,1,0,1,0,0,1,0
3,0,2,1,0,1,0,0,1,0
4,0,2,1,0,1,0,0,1,0
5,0,2,1,0,1,0,0,1,0
6,0,3,3,0,1,0,0,1,0
7,0,3,4,0,1,0,0,1,0
8,2,6,7,2,2,1,1,1,0
9,2,9,10,8,4,6,1,1,0
10,7,15,23,17,7,7,1,1,0
11,13,30,45,33,13,12,3,1,0
12,29,66,74,74,32,22,7,1,0
13,45,105,125,122,66,35,10,1,0
14,63,163,187,184,98,59,12,1,0
15,92,226,272,259,139,76,15,1,0
16,134,278,364,327,168,97,15,1,0
17,170,335,424,384,205,110,18,1,0
18,190,365,478,443,227,126,23,1,0
19,216,397,523,475,252,139,24,1,0
20,237,441,568,503,273,151,26,1,0
21,250,469,590,525,295,161,28,1,0
22,262,494,613,547,303,166,28,1,0
23,282,529,630,564,310,172,30,1,0
24,301,557,654,575,317,173,32,1,0
25,323,586,666,586,320,173,33,1,0
26,342,605,676,593,325,180,34,1,0
27,368,624,683,598,334,185,34,1,0
28,384,643,689,602,341,188,36,1,0
29,401,667,694,607,343,189,37,1,0
30,421,689,699,609,345,189,37,1,0
31,442,714,701,611,348,189,37,1,0
32,457,727,703,614,351,189,37,1,0
33,471,737,705,615,352,189,37,1,0
34,489,747,705,615,352,189,37,1,0
35,504,758,705,616,355,189,37,1,0
36,517,768,706,616,355,189,37,1,0
37,531,779,708,617,355,189,37,1,0
38,547,787,708,617,355,189,37,1,0
39,568,803,709,617,355,190,37,1,0
40,584,807,709,617,355,190,37,1,0
41,595,817,710,617,357,190,37,1,0
42,603,824,710,617,357,190,37,1,0
43,617,829,711,617,357,190,37,1,0
44,637,835,711,617,357,190,37,1,0
45,643,839,711,617,357,190,37,1,0
46,653,842,712,617,357,190,37,1,0
47,664,845,712,617,357,190,37,1,0
48,682,848,712,617,357,190,37,1,0
49,695,851,712,617,357,190,37,1,0
50,704,857,712,617,357,190,37,1,0
51,716,862,712,617,357,190,37,1,0
52,724,867,712,617,357,190,37,1,0
53,730,871,712,617,357,190,37,1,0
54,736,874,712,617,357,190,37,1,0
55,746,877,712,617,357,190,37,1,0
56,756,880,712,617,357,190,37,1,0
57,768,880,712,617,357,190,37,1,0
58,779,882,712,617,357,190,37,1,0
59,790,883,712,617,357,190,37,1,0
60,797,884,712,617,357,190,37,1,0
61,805,885,712,617,357,190,37,1,0
62,814,886,712,617,357,190,37,1,0
63,822,887,712,617,357,190,37,1,0
64,825,889,712,617,357,190,37,1,0
65,834,889,712,617,357,190,37,1,0
66,839,891,712,617,357,190,37,1,0
67,844,891,712,617,357,190,37,1,0
68,851,892,712,617,357,190,37,1,0
69,860,894,712,617,357,190,37,1,0
70,864,895,712,617,357,190,37,1,0
71,867,898,712,617,357,190,37,1,0
72,875,899,712,617,357,190,37,1,0
73,880,900,712,617,357,190,37,1,0
74,887,900,712,617,357,190,37,1,0
75,895,900,712,617,357,190,37,1,0
76,905,902,712,617,357,190,37,1,0
77,908,902,712,617,357,190,37,1,0
78,911,902,712,617,357,190,37,1,0
79,916,902,712,617,357,190,37,1,0
80,920,902,712,617,357,190,37,1,0
81,922,902,712,617,357,190,37,1,0
82,923,902,712,617,357,190,37,1,0
83,929,904,712,617,357,190,37,1,0
84,934,904,712,617,357,190,37,1,0
85,938,904,712,617,357,190,37,1,0
86,940,904,712,617,357,190,37,1,0
87,944,904,712,617,357,190,37,1,0
88,946,904,712,617,357,190,37,1,0
89,948,905,712,617,357,190,37,1,0
