,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+
0,3,0,0,2,0,0,0,0,0
1,3,0,0,2,0,0,0,0,0
2,3,0,0,2,0,0,0,0,0
3,3,0,0,2,0,0,0,0,0
4,3,0,1,2,2,0,0,0,0
5,3,0,1,2,4,2,1,0,0
6,3,0,1,3,8,7,2,0,0
7,3,3,3,5,13,8,3,0,0
8,3,7,3,7,16,14,7,0,0
9,3,8,3,7,24,16,9,0,0
10,3,11,3,8,33,21,11,0,0
11,3,12,7,12,42,24,12,0,0
12,3,13,8,15,48,29,13,0,0
13,3,14,8,17,54,33,14,0,0
14,3,21,8,18,56,36,15,0,0
15,3,23,9,19,62,36,19,0,0
16,3,28,9,19,64,38,19,0,0
17,3,33,10,19,68,42,21,0,0
18,3,34,10,20,69,42,21,0,0
19,3,36,11,20,71,44,21,0,0
20,3,39,11,21,72,45,21,0,0
21,3,40,11,21,73,46,21,0,0
22,3,41,11,21,73,46,22,0,0
23,3,44,11,21,74,46,22,0,0
24,3,44,11,22,74,47,22,0,0
25,3,45,11,22,74,48,22,0,0
26,3,46,11,22,74,48,22,0,0
27,3,47,11,22,75,48,22,0,0
28,3,47,11,23,75,50,22,0,0
29,3,49,11,23,75,50,22,0,0
30,3,52,11,23,75,50,22,0,0
31,3,53,11,23,75,50,22,0,0
32,3,55,11,23,75,51,22,0,0
33,3,55,11,23,75,51,22,0,0
34,3,58,11,23,75,51,22,0,0
35,3,58,11,23,75,51,22,0,0
36,3,60,11,23,75,51,22,0,0
37,3,60,11,23,76,51,22,0,0
38,3,60,11,23,77,51,22,0,0
39,3,60,11,23,77,51,22,0,0
40,3,60,11,23,77,51,22,0,0
41,3,60,11,23,77,51,22,0,0
42,3,61,11,23,77,51,22,0,0
43,3,61,11,23,77,51,22,0,0
44,3,62,11,23,77,51,22,0,0
45,3,62,11,23,77,51,22,0,0
46,3,62,11,23,77,51,22,0,0
47,3,63,11,23,77,51,22,0,0
48,3,63,11,23,77,51,22,0,0
49,3,63,11,23,77,51,22,0,0
50,3,63,11,23,77,51,22,0,0
51,3,63,11,23,77,51,22,0,0
52,3,63,11,23,77,51,22,0,0
53,3,63,11,23,77,51,22,0,0
54,3,63,11,23,77,51,22,0,0
55,3,64,11,23,77,51,22,0,0
56,3,64,11,23,77,51,22,0,0
57,3,64,11,23,77,51,22,0,0
58,3,64,11,23,77,51,22,0,0
59,3,64,11,23,77,51,22,0,0
60,3,65,11,23,77,51,22,0,0
61,3,66,11,23,77,51,22,0,0
62,3,66,11,23,77,51,22,0,0
63,3,66,11,23,77,51,22,0,0
64,3,66,11,23,77,51,22,0,0
65,3,66,11,23,77,51,22,0,0
66,3,66,11,23,77,51,22,0,0
67,3,66,11,23,77,51,22,0,0
68,3,66,11,23,77,51,22,0,0
69,3,66,11,23,77,51,22,0,0
70,3,66,11,23,77,51,22,0,0
71,3,66,11,23,77,51,22,0,0
72,3,66,11,23,77,51,22,0,0
73,3,66,11,23,77,51,22,0,0
74,3,66,11,23,77,51,22,0,0
75,3,66,11,23,77,51,22,0,0
76,3,66,11,23,77,51,22,0,0
77,3,66,11,23,77,51,22,0,0
78,3,66,11,23,77,51,22,0,0
79,3,66,11,23,77,51,22,0,0
80,3,66,11,23,77,51,22,0,0
81,3,66,11,23,77,51,22,0,0
82,3,66,11,23,77,51,22,0,0
83,3,66,11,23,77,51,22,0,0
84,3,66,11,23,77,51,22,0,0
85,3,66,11,23,77,51,22,0,0
86,3,66,11,23,77,51,22,0,0
87,3,66,11,23,77,51,22,0,0
88,3,66,11,23,77,51,22,0,0
89,3,66,11,23,77,51,22,0,0
90,3,66,11,23,77,51,22,0,0
91,3,66,11,23,77,51,22,0,0
92,3,66,11,23,77,51,22,0,0
93,3,66,11,23,77,51,22,0,0
94,3,66,11,23,77,51,22,0,0
95,3,66,11,23,77,51,22,0,0
96,3,66,11,23,77,51,22,0,0
97,3,66,11,23,77,51,22,0,0
98,3,66,11,23,77,51,22,0,0
99,3,66,11,23,77,51,22,0,0
100,3,66,11,23,77,51,22,0,0
101,3,66,11,23,77,51,22,0,0
102,3,66,11,23,77,51,22,0,0
