,Susceptible,Exposed,Infected,Deaths,Recovered,Vaccinated
0,6986,0,8,5,5,1672
1,6986,0,8,5,5,1672
2,6301,685,8,5,5,1672
3,5714,996,284,5,5,1672
4,5231,1136,624,8,5,1672
5,4877,1183,916,23,5,1672
6,4625,1187,1151,35,6,1672
7,4430,1175,1338,54,7,1672
8,4252,1159,1501,75,17,1672
9,4169,1067,1639,99,30,1672
10,4083,1007,1733,130,51,1672
11,4029,952,1751,152,120,1672
12,4029,850,1719,177,229,1672
13,4003,792,1640,198,371,1672
14,4001,721,1504,217,561,1672
15,3964,696,1288,229,827,1672
16,3920,675,1113,245,1051,1672
17,3885,664,926,260,1269,1672
18,3827,665,773,272,1467,1672
19,3781,665,664,280,1614,1672
20,3766,638,579,285,1736,1672
21,3754,594,540,288,1828,1672
22,3752,549,490,295,1918,1672
23,3736,536,433,296,2003,1672
24,3718,519,396,299,2072,1672
25,3715,492,364,303,2130,1672
26,3705,475,339,305,2180,1672
27,3703,440,317,307,2237,1672
28,3694,419,300,308,2283,1672
29,3684,401,275,308,2336,1672
30,3668,398,251,309,2378,1672
31,3656,394,229,309,2416,1672
32,3638,395,202,310,2459,1672
33,3642,363,198,312,2489,1672
34,3641,344,179,314,2526,1672
35,3630,331,176,314,2553,1672
36,3630,314,167,316,2577,1672
37,3623,302,166,317,2596,1672
38,3602,304,163,318,2617,1672
39,3604,285,155,320,2640,1672
40,3594,281,149,320,2660,1672
41,3581,281,152,321,2669,1672
42,3569,277,145,321,2692,1672
43,3555,278,141,321,2709,1672
44,3561,262,131,323,2727,1672
45,3566,245,120,323,2750,1672
46,3560,239,116,323,2766,1672
47,3564,227,106,324,2783,1672
48,3559,225,104,324,2792,1672
49,3558,216,95,324,2811,1672
50,3557,205,87,325,2830,1672
51,3542,203,91,325,2843,1672
52,3535,205,82,326,2856,1672
53,3537,195,80,326,2866,1672
54,3532,187,86,326,2873,1672
55,3522,190,85,326,2881,1672
56,3517,184,84,327,2892,1672
57,3516,177,84,327,2900,1672
58,3512,173,82,327,2910,1672
59,3498,177,78,327,2924,1672
60,3515,154,73,327,2935,1672
61,3525,141,64,327,2947,1672
62,3516,143,63,327,2955,1672
63,3516,135,65,327,2961,1672
64,3514,128,64,327,2971,1672
65,3506,129,62,327,2980,1672
66,3504,124,61,327,2988,1672
67,3506,119,53,327,2999,1672
68,3499,120,54,327,3004,1672
69,3490,124,50,327,3013,1672
70,3495,116,49,327,3017,1672
71,3494,111,49,327,3023,1672
72,3483,115,50,327,3029,1672
73,3485,101,55,327,3036,1672
74,3474,109,53,327,3041,1672
75,3468,109,48,327,3052,1672
76,3469,102,49,327,3057,1672
77,3465,103,45,327,3064,1672
78,3466,99,40,327,3072,1672
79,3470,88,42,327,3077,1672
80,3477,74,43,327,3083,1672
81,3472,76,44,327,3085,1672
82,3472,73,40,327,3092,1672
83,3473,68,40,327,3096,1672
84,3465,69,44,327,3099,1672
85,3471,60,41,327,3105,1672
86,3473,53,39,327,3112,1672
87,3473,52,37,327,3115,1672
88,3471,51,36,327,3119,1672
89,3465,54,37,327,3121,1672
90,3461,56,38,327,3122,1672
91,3459,57,36,327,3125,1672
92,3456,58,34,327,3129,1672
93,3457,53,32,327,3135,1672
94,3456,53,26,327,3142,1672
95,3456,51,25,327,3145,1672
96,3457,48,24,327,3148,1672
97,3457,47,23,327,3150,1672
98,3454,46,26,327,3151,1672
99,3454,42,24,327,3157,1672
100,3458,38,23,327,3158,1672
101,3459,37,20,327,3161,1672
102,3456,38,22,327,3161,1672
103,3452,40,24,327,3161,1672
104,3449,40,24,327,3164,1672
105,3447,39,25,327,3166,1672
106,3446,39,22,327,3170,1672
107,3445,40,22,327,3170,1672
108,3446,36,22,327,3173,1672
109,3447,34,21,327,3175,1672
110,3446,33,21,327,3177,1672
111,3445,33,22,327,3177,1672
112,3442,33,22,327,3180,1672
113,3440,32,22,327,3183,1672
114,3440,30,22,327,3185,1672
115,3439,29,22,327,3187,1672
116,3442,26,22,327,3187,1672
117,3444,23,23,327,3187,1672
118,3443,23,22,327,3189,1672
119,3441,25,21,327,3190,1672
120,3442,24,15,327,3196,1672
121,3438,27,15,327,3197,1672
122,3443,21,16,327,3197,1672
123,3442,22,16,327,3197,1672
124,3441,20,16,327,3200,1672
125,3439,21,13,327,3204,1672
126,3439,21,13,327,3204,1672
127,3439,20,13,327,3205,1672
128,3440,19,13,327,3205,1672
129,3440,17,14,327,3206,1672
130,3439,18,14,327,3206,1672
131,3438,19,14,327,3206,1672
132,3436,21,13,327,3207,1672
133,3437,19,13,327,3208,1672
134,3439,17,13,327,3208,1672
135,3439,16,13,327,3209,1672
136,3437,18,12,327,3210,1672
137,3437,16,13,327,3211,1672
138,3435,17,14,327,3211,1672
139,3437,14,15,327,3211,1672
140,3435,16,15,327,3211,1672
141,3437,13,15,327,3212,1672
142,3438,11,14,327,3214,1672
143,3437,12,12,327,3216,1672
144,3439,10,12,327,3216,1672
145,3438,10,11,327,3218,1672
146,3439,9,11,327,3218,1672
147,3440,8,11,327,3218,1672
148,3440,8,10,327,3219,1672
149,3437,11,9,327,3220,1672
150,3436,12,9,327,3220,1672
151,3436,10,11,327,3220,1672
152,3435,11,11,327,3220,1672
153,3433,12,11,327,3221,1672
154,3434,11,11,327,3221,1672
155,3434,9,12,327,3222,1672
156,3433,10,12,327,3222,1672
157,3433,10,12,327,3222,1672
158,3432,10,11,327,3224,1672
159,3432,10,11,327,3224,1672
160,3432,10,11,327,3224,1672
161,3433,9,11,327,3224,1672
