,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+
0,2,2,0,1,0,0,0,0,0
1,2,2,0,1,0,0,0,0,0
2,2,2,0,1,0,0,0,0,0
3,2,2,0,1,0,0,0,0,0
4,2,2,0,1,0,0,0,0,0
5,2,2,0,1,0,0,0,0,0
6,2,3,0,1,0,0,0,0,0
7,3,3,1,2,2,0,0,0,0
8,3,4,4,4,4,0,0,0,0
9,3,8,9,8,7,1,0,0,0
10,4,14,16,16,14,2,1,0,0
11,11,30,26,32,23,7,2,0,0
12,24,56,68,61,41,15,2,0,0
13,49,105,125,122,63,29,5,0,0
14,82,159,205,175,93,50,7,0,0
15,123,215,294,250,127,66,12,0,0
16,160,258,371,311,165,76,16,0,0
17,189,320,443,362,188,87,19,0,0
18,207,368,505,411,215,97,20,0,0
19,232,409,556,440,237,110,22,0,0
20,254,447,583,461,253,116,23,0,0
21,281,472,608,482,268,119,25,0,0
22,296,491,629,511,282,122,25,0,0
23,312,516,646,522,292,123,27,0,0
24,327,534,657,533,303,125,27,0,0
25,349,552,668,539,305,126,27,0,0
26,360,572,677,546,314,129,27,0,0
27,382,582,678,556,316,132,27,0,0
28,394,603,683,564,319,133,27,0,0
29,415,619,688,568,322,133,27,0,0
30,429,629,690,569,325,133,27,0,0
31,459,646,692,573,327,133,27,0,0
32,472,658,694,573,327,133,27,0,0
33,484,667,695,574,327,133,27,0,0
34,496,679,696,574,330,134,27,0,0
35,507,687,697,574,331,135,27,0,0
36,521,696,697,574,332,135,27,0,0
37,534,708,697,575,333,135,27,0,0
38,553,711,697,575,335,135,27,0,0
39,567,718,697,577,335,135,27,0,0
40,577,727,697,577,337,135,27,0,0
41,586,737,697,577,338,135,27,0,0
42,594,746,697,577,338,135,27,0,0
43,604,751,697,577,338,135,27,0,0
44,617,758,697,577,338,135,27,0,0
45,626,765,698,577,338,135,27,0,0
46,632,765,698,577,338,135,27,0,0
47,646,766,698,577,338,135,27,0,0
48,656,771,698,577,338,135,27,0,0
49,660,777,698,577,338,135,27,0,0
50,666,779,698,577,338,135,27,0,0
51,674,782,698,577,338,135,27,0,0
52,681,786,698,577,338,135,27,0,0
53,690,790,698,577,338,135,27,0,0
54,700,795,698,577,338,135,27,0,0
55,706,799,698,577,338,135,27,0,0
56,718,800,698,577,338,135,27,0,0
57,724,804,698,577,338,135,27,0,0
58,728,807,698,577,338,135,27,0,0
59,734,810,698,577,338,135,27,0,0
60,741,812,698,577,338,135,27,0,0
61,745,815,698,577,338,135,27,0,0
62,756,818,698,577,338,135,27,0,0
63,763,820,698,577,338,135,27,0,0
64,766,820,698,577,338,135,27,0,0
65,769,822,698,577,338,135,27,0,0
66,774,822,698,577,338,135,27,0,0
67,782,823,698,577,338,135,27,0,0
68,786,824,698,577,338,135,27,0,0
69,793,824,698,577,338,135,27,0,0
70,798,824,698,577,338,135,27,0,0
71,801,825,698,577,338,135,27,0,0
72,806,825,698,577,338,135,27,0,0
73,812,825,698,577,338,135,27,0,0
74,815,825,698,577,338,135,27,0,0
75,824,825,698,577,338,135,27,0,0
76,833,826,698,577,338,135,27,0,0
77,841,827,698,577,338,135,27,0,0
78,846,827,698,577,338,135,27,0,0
79,851,827,698,577,338,135,27,0,0
80,857,827,698,577,338,135,27,0,0
81,863,827,698,577,338,135,27,0,0
82,870,827,698,577,338,135,27,0,0
