,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+
0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
2,252,202,144,121,106,78,29,0,0
3,402,316,130,137,126,75,27,0,0
4,520,415,93,119,109,62,16,0,0
5,601,447,91,103,77,39,19,0,0
6,644,472,66,80,61,48,7,0,0
7,653,458,52,68,51,31,7,0,0
8,669,429,36,42,43,18,5,0,0
9,649,399,24,28,31,18,6,0,0
10,628,365,24,31,31,19,0,0,0
11,578,326,16,15,22,12,4,0,0
12,561,287,10,18,16,12,4,0,0
13,526,272,11,19,17,20,2,0,0
14,496,253,11,14,16,12,1,0,0
15,462,252,7,12,10,8,2,0,0
16,458,217,9,5,10,5,0,0,0
17,465,200,4,4,5,4,0,0,0
18,470,190,1,4,5,2,0,0,0
19,474,176,6,5,3,2,0,0,0
20,455,164,2,6,4,1,0,0,0
21,418,149,0,4,2,1,0,0,0
22,421,143,2,2,1,1,0,0,0
23,412,129,1,1,0,1,0,0,0
24,380,122,3,0,0,1,2,0,0
25,369,116,1,1,2,1,1,0,0
26,370,111,1,2,0,0,0,0,0
27,374,100,1,1,0,0,1,0,0
28,374,94,0,0,0,0,1,0,0
29,357,85,1,0,0,0,0,0,0
30,347,78,0,0,0,0,0,0,0
31,339,66,0,0,0,0,0,0,0
32,313,67,0,0,0,0,0,0,0
33,309,63,0,0,1,0,0,0,0
34,304,54,0,0,1,0,0,0,0
35,293,51,0,0,0,0,0,0,0
36,273,46,0,0,0,0,0,0,0
37,277,40,0,0,0,0,0,0,0
38,274,46,0,0,0,0,0,0,0
39,272,45,0,0,0,0,0,0,0
40,254,39,0,0,0,0,0,0,0
41,241,36,0,0,0,0,0,0,0
42,234,32,0,0,0,0,0,0,0
43,226,31,0,0,0,0,0,0,0
44,218,26,0,0,0,0,0,0,0
45,214,26,0,0,0,0,0,0,0
46,208,29,0,0,0,0,0,0,0
47,197,24,0,0,0,0,0,0,0
48,191,23,0,0,0,0,0,0,0
49,181,20,0,0,0,0,0,0,0
50,182,18,0,0,0,0,0,0,0
51,177,17,0,0,0,0,0,0,0
52,172,19,0,0,0,0,0,0,0
53,184,16,0,0,0,0,0,0,0
54,181,18,0,0,0,0,0,0,0
55,164,15,0,0,0,0,0,0,0
56,164,13,0,0,0,0,0,0,0
57,164,13,0,0,0,0,0,0,0
58,167,12,0,0,0,0,0,0,0
59,158,10,0,0,0,0,0,0,0
60,164,9,0,0,0,0,0,0,0
61,169,9,0,0,0,0,0,0,0
62,157,7,0,0,0,0,0,0,0
63,142,8,0,0,0,0,0,0,0
64,144,5,0,0,0,0,0,0,0
65,137,6,0,0,0,0,0,0,0
66,127,6,0,0,0,0,0,0,0
67,115,4,0,0,0,0,0,0,0
68,103,4,0,0,0,0,0,0,0
69,104,5,0,0,0,0,0,0,0
70,101,5,0,0,0,0,0,0,0
71,97,5,0,0,0,0,0,0,0
72,101,4,0,0,0,0,0,0,0
