,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+
0,1,1,2,0,0,0,1,0,0
1,1,1,2,0,0,0,1,0,0
2,1,1,2,0,0,0,1,0,0
3,1,1,2,0,0,0,1,0,0
4,1,1,2,1,1,2,3,0,0
5,1,2,3,2,7,8,10,0,0
6,1,4,3,2,10,15,17,0,0
7,1,5,3,3,16,29,25,0,0
8,1,6,5,8,20,34,34,0,0
9,1,9,7,11,37,42,46,0,0
10,1,12,11,13,52,47,49,0,0
11,1,17,18,13,64,56,54,0,0
12,1,20,20,15,76,69,67,0,0
13,1,25,20,18,85,79,76,0,0
14,1,29,20,19,100,91,79,0,0
15,1,32,20,21,105,102,82,0,0
16,1,35,20,23,111,111,84,0,0
17,1,37,21,25,114,117,86,0,0
18,1,39,21,26,115,119,89,0,0
19,1,40,21,26,119,121,89,0,0
20,1,45,21,26,124,126,90,0,0
21,1,47,21,26,129,130,91,0,0
22,1,47,21,27,130,133,92,0,0
23,1,49,21,27,132,133,93,0,0
24,1,51,21,28,133,133,94,0,0
25,1,51,21,28,137,134,94,0,0
26,1,52,21,28,137,134,95,0,0
27,1,53,21,28,138,135,95,0,0
28,1,53,21,28,138,136,95,0,0
29,1,57,21,28,138,136,95,0,0
30,1,58,21,28,138,136,95,0,0
31,1,64,21,28,139,136,95,0,0
32,1,65,21,28,139,136,95,0,0
33,1,66,21,28,139,137,95,0,0
34,1,67,21,28,139,137,95,0,0
35,1,67,21,28,139,137,95,0,0
36,1,67,21,28,139,137,95,0,0
37,1,67,21,28,139,137,95,0,0
38,1,68,21,28,139,137,95,0,0
39,1,69,21,28,139,137,95,0,0
40,1,70,21,28,139,137,95,0,0
41,1,70,21,28,139,137,95,0,0
42,1,70,21,28,140,137,95,0,0
43,1,70,21,28,140,137,95,0,0
44,1,70,21,28,140,137,95,0,0
45,1,72,21,28,140,137,95,0,0
46,1,72,21,28,140,137,95,0,0
47,1,72,21,28,140,137,95,0,0
48,1,73,21,28,140,137,95,0,0
49,1,73,21,28,140,137,95,0,0
50,1,74,21,28,140,137,95,0,0
51,1,74,21,28,140,137,95,0,0
52,1,74,21,28,140,137,95,0,0
53,1,74,21,28,140,137,95,0,0
54,1,74,21,28,140,137,95,0,0
55,1,74,21,28,140,137,95,0,0
56,1,74,21,28,140,137,95,0,0
57,1,74,21,28,140,137,95,0,0
58,1,74,21,28,140,137,95,0,0
59,1,74,21,28,140,137,95,0,0
60,1,74,21,28,140,137,95,0,0
61,1,74,21,28,140,137,95,0,0
62,1,74,21,28,140,137,95,0,0
63,1,74,21,28,140,137,95,0,0
64,1,75,21,28,140,137,95,0,0
65,1,75,21,28,140,137,95,0,0
66,1,75,21,28,140,137,95,0,0
67,1,75,21,28,140,137,95,0,0
68,1,75,21,28,140,137,95,0,0
69,1,75,21,28,140,137,95,0,0
70,1,75,21,28,140,137,95,0,0
71,1,75,21,28,140,137,95,0,0
72,1,75,21,28,140,137,95,0,0
73,1,75,21,28,140,137,95,0,0
74,1,75,21,28,140,137,95,0,0
75,1,75,21,28,140,137,95,0,0
76,1,75,21,28,140,137,95,0,0
77,1,75,21,28,140,137,95,0,0
78,1,75,21,28,140,137,95,0,0
79,1,75,21,28,140,137,95,0,0
80,1,75,21,28,140,137,95,0,0
81,1,76,21,28,140,137,95,0,0
82,1,76,21,28,140,137,95,0,0
83,1,76,21,28,140,137,95,0,0
84,1,76,21,28,140,137,95,0,0
85,1,76,21,28,140,137,95,0,0
86,1,76,21,28,140,137,95,0,0
87,1,76,21,28,140,137,95,0,0
88,1,76,21,28,140,137,95,0,0
89,1,76,21,28,140,137,95,0,0
90,1,76,21,28,140,137,95,0,0
91,1,76,21,28,140,137,95,0,0
92,1,76,21,28,140,137,95,0,0
93,1,76,21,28,140,137,95,0,0
94,1,76,21,28,140,137,95,0,0
95,1,76,21,28,140,137,95,0,0
96,1,76,21,28,140,137,95,0,0
97,1,76,21,28,140,137,95,0,0
98,1,76,21,28,140,137,95,0,0
99,1,76,21,28,140,137,95,0,0
100,1,76,21,28,140,137,95,0,0
101,1,76,21,28,140,137,95,0,0
102,1,76,21,28,140,137,95,0,0
103,1,76,21,28,140,137,95,0,0
104,1,76,21,28,140,137,95,0,0
105,1,76,21,28,140,137,95,0,0
106,1,76,21,28,140,137,95,0,0
107,1,76,21,28,140,137,95,0,0
108,1,76,21,28,140,137,95,0,0
109,1,76,21,28,140,137,95,0,0
110,1,76,21,28,140,137,95,0,0
111,1,76,21,28,140,137,95,0,0
112,1,76,21,28,140,137,95,0,0
113,1,76,21,28,140,137,95,0,0
114,1,76,21,28,140,137,95,0,0
115,1,76,21,28,140,137,95,0,0
116,1,76,21,28,140,137,95,0,0
117,1,76,21,28,140,137,95,0,0
118,1,76,21,28,140,137,95,0,0
119,1,76,21,28,140,137,95,0,0
120,1,76,21,28,140,137,95,0,0
121,1,76,21,28,140,137,95,0,0
122,1,76,21,28,140,137,95,0,0
123,1,76,21,28,140,137,95,0,0
124,1,76,21,28,140,137,95,0,0
125,1,76,21,28,140,137,95,0,0
126,1,76,21,28,140,137,95,0,0
127,1,76,21,28,140,137,95,0,0
128,1,76,21,28,140,137,95,0,0
129,1,76,21,28,140,137,95,0,0
130,1,76,21,28,140,137,95,0,0
131,1,76,21,28,140,137,95,0,0
132,1,76,21,28,140,137,95,0,0
133,1,76,21,28,140,137,95,0,0
134,1,76,21,28,140,137,95,0,0
135,1,76,21,28,140,137,95,0,0
136,1,76,21,28,140,137,95,0,0
137,1,76,21,28,140,137,95,0,0
138,1,76,21,28,140,137,95,0,0
139,1,76,21,28,140,137,95,0,0
140,1,76,21,28,140,137,95,0,0
141,1,76,21,28,140,137,95,0,0
142,1,76,21,28,140,137,95,0,0
143,1,76,21,28,140,137,95,0,0
144,1,76,21,28,140,137,95,0,0
145,1,76,21,28,140,137,95,0,0
146,1,76,21,28,140,137,95,0,0
147,1,76,21,28,140,137,95,0,0
148,1,76,21,28,140,137,95,0,0
149,1,76,21,28,140,137,95,0,0
150,1,76,21,28,140,137,95,0,0
151,1,76,21,28,140,137,95,0,0
152,1,76,21,28,140,137,95,0,0
153,1,76,21,28,140,137,95,0,0
154,1,76,21,28,140,137,95,0,0
155,1,76,21,28,140,137,95,0,0
156,1,76,21,28,140,137,95,0,0
157,1,76,21,28,140,137,95,0,0
158,1,76,21,28,140,137,95,0,0
159,1,76,21,28,140,137,95,0,0
160,1,76,21,28,140,137,95,0,0
161,1,76,21,28,140,137,95,0,0
162,1,76,21,28,140,137,95,0,0
163,1,76,21,28,140,137,95,0,0
164,1,76,21,28,140,137,95,0,0
165,1,76,21,28,140,137,95,0,0
166,1,76,21,28,140,137,95,0,0
167,1,76,21,28,140,137,95,0,0
168,1,76,21,28,140,137,95,0,0
169,1,76,21,28,140,137,95,0,0
170,1,76,21,28,140,137,95,0,0
171,1,76,21,28,140,137,95,0,0
172,1,76,21,28,140,137,95,0,0
173,1,76,21,28,140,137,95,0,0
174,1,76,21,28,140,137,95,0,0
175,1,76,21,28,140,137,95,0,0
176,1,76,21,28,140,137,95,0,0
177,1,76,21,28,140,137,95,0,0
178,1,76,21,28,140,137,95,0,0
179,1,76,21,28,140,137,95,0,0
180,1,76,21,28,140,137,95,0,0
181,1,76,21,28,140,137,95,0,0
182,1,76,21,28,140,137,95,0,0
183,1,76,21,28,140,137,95,0,0
184,1,76,21,28,140,137,95,0,0
185,1,76,21,28,140,137,95,0,0
186,1,76,21,28,140,137,95,0,0
187,1,76,21,28,140,137,95,0,0
188,1,76,21,28,140,137,95,0,0
189,1,76,21,28,140,137,95,0,0
190,1,76,21,28,140,137,95,0,0
191,1,76,21,28,140,137,95,0,0
192,1,76,21,28,140,137,95,0,0
193,1,76,21,28,140,137,95,0,0
194,1,76,21,28,140,137,95,0,0
195,1,76,21,28,140,137,95,0,0
196,1,76,21,28,140,137,95,0,0
197,1,76,21,28,140,137,95,0,0
198,1,76,21,28,140,137,95,0,0
199,1,76,21,28,140,137,95,0,0
200,1,76,21,28,140,137,95,0,0
201,1,76,21,28,140,137,95,0,0
202,1,76,21,28,140,137,95,0,0
203,1,76,21,28,140,137,95,0,0
204,1,76,21,28,140,137,95,0,0
205,1,76,21,28,140,137,95,0,0
206,1,76,21,28,140,137,95,0,0
207,1,76,21,28,140,137,95,0,0
208,1,76,21,28,140,137,95,0,0
209,1,76,21,28,140,137,95,0,0
210,1,76,21,28,140,137,95,0,0
211,1,76,21,28,140,137,95,0,0
212,1,76,21,28,140,137,95,0,0
213,1,76,21,28,140,137,95,0,0
214,1,76,21,28,140,137,95,0,0
215,1,76,21,28,140,137,95,0,0
216,1,76,21,28,140,137,95,0,0
217,1,76,21,28,140,137,95,0,0
218,1,76,21,28,140,137,95,0,0
219,1,76,21,28,140,137,95,0,0
220,1,76,21,28,140,137,95,0,0
221,1,76,21,28,140,137,95,0,0
222,1,76,21,28,140,137,95,0,0
223,1,76,21,28,140,137,95,0,0
224,1,76,21,28,140,137,95,0,0
225,1,76,21,28,140,137,95,0,0
226,1,76,21,28,140,137,95,0,0
227,1,76,21,28,140,137,95,0,0
228,1,76,21,28,140,137,95,0,0
229,1,76,21,28,140,137,95,0,0
230,1,76,21,28,140,137,95,0,0
231,1,76,21,28,140,137,95,0,0
232,1,76,21,28,140,137,95,0,0
233,1,76,21,28,140,137,95,0,0
234,1,76,21,28,140,137,95,0,0
235,1,76,21,28,140,137,95,0,0
236,1,76,21,28,140,137,95,0,0
237,1,76,21,28,140,137,95,0,0
238,1,76,21,28,140,137,95,0,0
239,1,76,21,28,140,137,95,0,0
240,1,76,21,28,140,137,95,0,0
