,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+
0,1,1,1,2,0,0,0,0,0
1,1,1,1,2,0,0,0,0,0
2,1,1,1,2,0,0,0,0,0
3,1,1,1,2,0,0,0,0,0
4,1,1,1,3,0,0,0,0,0
5,1,1,1,3,0,0,0,0,0
6,1,1,1,3,0,0,0,0,0
7,1,1,1,4,0,1,0,0,0
8,2,1,5,4,1,3,0,0,0
9,4,1,8,6,3,5,0,0,0
10,5,7,15,19,11,8,0,0,0
11,12,24,35,36,23,13,1,0,0
12,26,45,80,66,46,19,2,0,0
13,50,75,127,119,76,27,5,0,0
14,67,127,194,192,117,45,7,0,0
15,100,199,296,271,155,63,9,0,0
16,130,265,395,345,184,84,10,0,0
17,164,308,475,397,223,102,16,0,0
18,185,352,545,437,254,111,19,0,0
19,212,398,590,475,279,127,24,0,0
20,233,433,621,499,293,137,25,0,0
21,249,464,648,534,307,143,29,0,0
22,272,497,673,563,322,150,30,0,0
23,286,515,684,572,331,154,31,0,0
24,304,541,700,587,336,159,32,0,0
25,324,568,713,595,346,161,34,0,0
26,348,578,725,604,353,166,34,0,0
27,367,605,733,605,359,166,35,0,0
28,385,625,740,610,361,167,35,0,0
29,407,644,741,616,366,168,35,0,0
30,428,658,744,619,366,169,35,0,0
31,447,671,748,621,370,170,35,0,0
32,462,685,750,624,372,170,35,0,0
33,478,694,753,626,376,170,35,0,0
34,493,701,756,627,377,170,35,0,0
35,504,719,756,629,378,170,35,0,0
36,519,726,756,629,378,170,35,0,0
37,530,733,757,629,378,170,35,0,0
38,549,744,757,629,378,170,35,0,0
39,566,755,757,629,378,170,35,0,0
40,580,765,758,629,378,170,35,0,0
41,595,771,758,630,378,170,35,0,0
42,605,779,758,630,379,170,35,0,0
43,622,784,760,630,379,170,35,0,0
44,634,787,760,630,379,170,35,0,0
45,652,790,761,630,379,170,35,0,0
46,662,794,762,630,379,170,35,0,0
47,671,801,762,630,379,170,35,0,0
48,680,808,762,630,379,170,35,0,0
49,694,811,762,630,379,170,35,0,0
50,703,815,762,630,379,170,35,0,0
51,713,819,762,630,379,170,35,0,0
52,725,823,762,630,379,170,35,0,0
53,733,827,762,630,379,170,35,0,0
54,740,831,762,630,379,170,35,0,0
55,749,834,762,630,379,170,35,0,0
56,758,834,762,630,379,170,35,0,0
57,768,836,762,630,379,170,35,0,0
58,779,838,762,630,379,170,35,0,0
59,787,841,762,630,379,170,35,0,0
60,800,844,762,630,379,170,35,0,0
61,806,847,762,630,379,170,35,0,0
62,810,847,762,630,379,170,35,0,0
63,816,848,762,630,379,170,35,0,0
64,825,849,762,630,379,170,35,0,0
65,833,849,762,630,379,170,35,0,0
66,835,850,762,630,379,170,35,0,0
67,838,850,762,630,379,170,35,0,0
68,842,851,762,630,379,170,35,0,0
69,853,851,762,630,379,170,35,0,0
70,863,852,762,630,379,170,35,0,0
71,864,852,762,630,379,170,35,0,0
72,870,853,762,630,379,170,35,0,0
73,874,854,762,630,379,170,35,0,0
74,877,854,762,630,379,170,35,0,0
75,883,854,762,630,379,170,35,0,0
76,886,854,762,630,379,170,35,0,0
77,892,854,762,630,379,170,35,0,0
78,899,854,762,630,379,170,35,0,0
79,901,854,762,630,379,170,35,0,0
80,906,854,762,630,379,170,35,0,0
81,914,854,762,630,379,170,35,0,0
82,919,854,762,630,379,170,35,0,0
83,922,854,762,630,379,170,35,0,0
84,927,854,762,630,379,170,35,0,0
85,931,855,762,630,379,170,35,0,0
86,936,855,762,630,379,170,35,0,0
87,939,855,762,630,379,170,35,0,0
88,945,855,762,630,379,170,35,0,0
89,950,855,762,630,379,170,35,0,0
90,950,855,762,630,379,170,35,0,0
91,954,855,762,630,379,170,35,0,0
92,955,855,762,630,379,170,35,0,0
93,960,856,762,630,379,170,35,0,0
94,963,858,762,630,379,170,35,0,0
95,966,858,762,630,379,170,35,0,0
96,967,858,762,630,379,170,35,0,0
97,971,858,762,630,379,170,35,0,0
98,973,858,762,630,379,170,35,0,0
99,975,859,762,630,379,170,35,0,0
100,977,859,762,630,379,170,35,0,0
101,981,859,762,630,379,170,35,0,0
102,984,859,762,630,379,170,35,0,0
103,985,860,762,630,379,170,35,0,0
104,987,860,762,630,379,170,35,0,0
105,987,860,762,630,379,170,35,0,0
106,988,860,762,630,379,170,35,0,0
107,990,860,762,630,379,170,35,0,0
108,992,860,762,630,379,170,35,0,0
109,993,860,762,630,379,170,35,0,0
110,994,860,762,630,379,170,35,0,0
111,997,860,762,630,379,170,35,0,0
112,998,860,762,630,379,170,35,0,0
113,999,860,762,630,379,170,35,0,0
114,999,860,762,630,379,170,35,0,0
115,999,860,762,630,379,170,35,0,0
116,1000,860,762,630,379,170,35,0,0
117,1001,860,762,630,379,170,35,0,0
118,1001,860,762,630,379,170,35,0,0
119,1003,860,762,630,379,170,35,0,0
120,1007,860,762,630,379,170,35,0,0
121,1007,860,762,630,379,170,35,0,0
122,1008,860,762,630,379,170,35,0,0
123,1009,860,762,630,379,170,35,0,0
124,1009,860,762,630,379,170,35,0,0
125,1010,860,762,630,379,170,35,0,0
126,1010,860,762,630,379,170,35,0,0
127,1012,860,762,630,379,170,35,0,0
128,1012,860,762,630,379,170,35,0,0
129,1012,860,762,630,379,170,35,0,0
130,1013,860,762,630,379,170,35,0,0
131,1015,860,762,630,379,170,35,0,0
132,1016,860,762,630,379,170,35,0,0
133,1017,860,762,630,379,170,35,0,0
134,1020,860,762,630,379,170,35,0,0
135,1022,860,762,630,379,170,35,0,0
136,1023,860,762,630,379,170,35,0,0
137,1023,860,762,630,379,170,35,0,0
138,1023,860,762,630,379,170,35,0,0
139,1024,860,762,630,379,170,35,0,0
140,1025,860,762,630,379,170,35,0,0
141,1026,860,762,630,379,170,35,0,0
142,1028,860,762,630,379,170,35,0,0
143,1028,860,762,630,379,170,35,0,0
144,1030,860,762,630,379,170,35,0,0
145,1031,860,762,630,379,170,35,0,0
146,1031,860,762,630,379,170,35,0,0
147,1031,860,762,630,379,170,35,0,0
148,1032,860,762,630,379,170,35,0,0
149,1033,860,762,630,379,170,35,0,0
150,1034,860,762,630,379,170,35,0,0
151,1034,860,762,630,379,170,35,0,0
152,1035,860,762,630,379,170,35,0,0
153,1037,860,762,630,379,170,35,0,0
154,1037,860,762,630,379,170,35,0,0
155,1037,860,762,630,379,170,35,0,0
156,1037,860,762,630,379,170,35,0,0
157,1037,860,762,630,379,170,35,0,0
158,1037,860,762,630,379,170,35,0,0
159,1037,860,762,630,379,170,35,0,0
160,1037,860,762,630,379,170,35,0,0
161,1037,860,762,630,379,170,35,0,0
162,1037,860,762,630,379,170,35,0,0
163,1038,860,762,630,379,170,35,0,0
164,1040,860,762,630,379,170,35,0,0
165,1040,860,762,630,379,170,35,0,0
166,1041,860,762,630,379,170,35,0,0
167,1042,860,762,630,379,170,35,0,0
168,1043,860,762,630,379,170,35,0,0
169,1045,860,762,630,379,170,35,0,0
170,1045,860,762,630,379,170,35,0,0
171,1046,860,762,630,379,170,35,0,0
172,1046,860,762,630,379,170,35,0,0
173,1046,860,762,630,379,170,35,0,0
174,1047,860,762,630,379,170,35,0,0
175,1047,860,762,630,379,170,35,0,0
176,1048,860,762,630,379,170,35,0,0
177,1049,860,762,630,379,170,35,0,0
178,1050,860,762,630,379,170,35,0,0
179,1050,860,762,630,379,170,35,0,0
180,1050,860,762,630,379,170,35,0,0
181,1050,860,762,630,379,170,35,0,0
182,1052,860,762,630,379,170,35,0,0
183,1052,860,762,630,379,170,35,0,0
184,1052,860,762,630,379,170,35,0,0
185,1052,860,762,630,379,170,35,0,0
186,1052,860,762,630,379,170,35,0,0
187,1052,860,762,630,379,170,35,0,0
188,1052,860,762,630,379,170,35,0,0
189,1053,860,762,630,379,170,35,0,0
190,1054,860,762,630,379,170,35,0,0
191,1055,860,762,630,379,170,35,0,0
192,1056,860,762,630,379,170,35,0,0
193,1057,860,762,630,379,170,35,0,0
194,1058,860,762,630,379,170,35,0,0
195,1058,860,762,630,379,170,35,0,0
196,1058,860,762,630,379,170,35,0,0
197,1058,860,762,630,379,170,35,0,0
198,1058,860,762,630,379,170,35,0,0
199,1058,860,762,630,379,170,35,0,0
200,1058,860,762,630,379,170,35,0,0
201,1058,860,762,630,379,170,35,0,0
202,1058,860,762,630,379,170,35,0,0
203,1058,860,762,630,379,170,35,0,0
204,1058,860,762,630,379,170,35,0,0
205,1058,860,762,630,379,170,35,0,0
206,1058,860,762,630,379,170,35,0,0
207,1058,860,762,630,379,170,35,0,0
208,1058,860,762,630,379,170,35,0,0
209,1058,860,762,630,379,170,35,0,0
210,1058,860,762,630,379,170,35,0,0
211,1058,860,762,630,379,170,35,0,0
212,1059,860,762,630,379,170,35,0,0
213,1059,860,762,630,379,170,35,0,0
214,1059,860,762,630,379,170,35,0,0
215,1059,860,762,630,379,170,35,0,0
216,1059,860,762,630,379,170,35,0,0
217,1059,860,762,630,379,170,35,0,0
218,1059,860,762,630,379,170,35,0,0
219,1059,860,762,630,379,170,35,0,0
220,1059,860,762,630,379,170,35,0,0
221,1059,860,762,630,379,170,35,0,0
222,1059,860,762,630,379,170,35,0,0
223,1059,860,762,630,379,170,35,0,0
224,1059,860,762,630,379,170,35,0,0
225,1059,860,762,630,379,170,35,0,0
226,1059,860,762,630,379,170,35,0,0
227,1060,860,762,630,379,170,35,0,0
228,1060,860,762,630,379,170,35,0,0
229,1060,860,762,630,379,170,35,0,0
230,1060,860,762,630,379,170,35,0,0
231,1060,860,762,630,379,170,35,0,0
232,1060,860,762,630,379,170,35,0,0
233,1060,860,762,630,379,170,35,0,0
234,1061,860,762,630,379,170,35,0,0
235,1061,860,762,630,379,170,35,0,0
236,1061,860,762,630,379,170,35,0,0
237,1061,860,762,630,379,170,35,0,0
238,1061,860,762,630,379,170,35,0,0
239,1061,860,762,630,379,170,35,0,0
240,1061,860,762,630,379,170,35,0,0
