,Susceptible,Exposed,Infected,Deaths,Recovered,Vaccinated
0,8658,0,8,5,5,0
1,8658,0,8,5,5,0
2,7782,876,8,5,5,0
3,7062,1171,433,5,5,0
4,6482,1341,836,12,5,0
5,6049,1390,1207,25,5,0
6,5708,1396,1520,46,6,0
7,5452,1353,1794,66,11,0
8,5262,1292,1991,101,30,0
9,5107,1241,2148,131,49,0
10,5030,1123,2268,174,81,0
11,4963,1053,2282,212,166,0
12,4914,958,2229,247,328,0
13,4887,890,2081,277,541,0
14,4822,847,1885,311,811,0
15,4783,807,1632,331,1123,0
16,4743,760,1408,358,1407,0
17,4709,730,1196,374,1667,0
18,4686,694,978,385,1933,0
19,4655,664,818,400,2139,0
20,4637,618,718,405,2298,0
21,4628,577,637,412,2422,0
22,4590,582,566,419,2519,0
23,4563,567,516,421,2609,0
24,4548,550,450,426,2702,0
25,4527,536,419,428,2766,0
26,4516,510,385,432,2833,0
27,4509,478,354,434,2901,0
28,4497,455,346,435,2943,0
29,4495,427,307,437,3010,0
30,4484,423,278,438,3053,0
31,4479,407,260,438,3092,0
32,4482,388,232,438,3136,0
33,4476,364,230,439,3167,0
34,4459,357,217,439,3204,0
35,4436,362,196,440,3242,0
36,4428,353,175,441,3279,0
37,4438,319,177,441,3301,0
38,4435,306,158,442,3335,0
39,4432,296,153,443,3352,0
40,4407,305,156,443,3365,0
41,4415,283,149,443,3386,0
42,4413,270,137,444,3412,0
43,4385,283,130,445,3433,0
44,4382,274,121,445,3454,0
45,4376,270,116,445,3469,0
46,4365,268,111,446,3486,0
47,4375,242,108,446,3505,0
48,4372,235,106,447,3516,0
49,4367,229,109,447,3524,0
50,4361,218,114,447,3536,0
51,4372,195,114,447,3548,0
52,4360,197,113,448,3558,0
53,4365,177,113,448,3573,0
54,4359,179,101,449,3588,0
55,4356,172,91,449,3608,0
56,4355,166,79,449,3627,0
57,4349,165,75,449,3638,0
58,4342,165,70,449,3650,0
59,4340,157,72,449,3658,0
60,4342,149,69,449,3667,0
61,4343,146,61,449,3677,0
62,4342,139,58,449,3688,0
63,4345,128,58,449,3696,0
64,4338,131,58,449,3700,0
65,4340,121,63,449,3703,0
66,4336,119,62,449,3710,0
67,4335,117,55,449,3720,0
68,4331,116,54,449,3726,0
69,4336,107,51,449,3733,0
70,4331,106,51,449,3739,0
71,4321,112,49,449,3745,0
72,4312,116,46,449,3753,0
73,4313,112,44,449,3758,0
74,4318,105,43,449,3761,0
75,4319,102,39,449,3767,0
76,4317,98,42,449,3770,0
77,4320,85,46,450,3775,0
78,4317,82,47,450,3780,0
79,4313,80,50,450,3783,0
80,4307,82,49,450,3788,0
81,4303,84,42,450,3797,0
82,4301,83,38,450,3804,0
83,4301,81,39,450,3805,0
84,4300,78,42,450,3806,0
85,4295,77,45,450,3809,0
86,4294,72,46,450,3814,0
87,4302,63,42,450,3819,0
88,4302,61,34,450,3829,0
89,4300,60,34,450,3832,0
90,4299,58,30,450,3839,0
91,4298,58,27,450,3843,0
92,4295,60,25,450,3846,0
93,4290,60,26,450,3850,0
94,4285,61,27,450,3853,0
95,4286,58,25,450,3857,0
96,4289,51,28,450,3858,0
97,4286,54,27,450,3859,0
98,4280,58,27,450,3861,0
99,4277,58,29,450,3862,0
100,4278,52,32,450,3864,0
101,4274,54,34,450,3864,0
102,4273,52,29,450,3872,0
103,4274,50,28,450,3874,0
104,4276,46,27,450,3877,0
105,4278,41,29,450,3878,0
106,4279,39,28,450,3880,0
107,4276,41,22,450,3887,0
108,4272,44,21,450,3889,0
109,4275,37,22,450,3892,0
110,4277,34,20,450,3895,0
111,4274,33,24,450,3895,0
112,4275,32,22,450,3897,0
113,4276,29,23,450,3898,0
114,4271,32,23,450,3900,0
115,4272,30,22,450,3902,0
116,4273,29,20,450,3904,0
117,4273,28,21,450,3904,0
118,4274,26,18,450,3908,0
119,4275,24,17,450,3910,0
120,4273,25,16,450,3912,0
121,4272,24,15,450,3915,0
122,4270,23,18,450,3915,0
123,4269,23,17,450,3917,0
124,4266,25,16,450,3919,0
125,4267,24,16,450,3919,0
126,4268,21,17,450,3920,0
127,4263,26,16,450,3921,0
128,4265,22,18,450,3921,0
129,4267,17,19,450,3923,0
130,4268,16,19,450,3923,0
131,4268,15,18,450,3925,0
132,4268,15,16,450,3927,0
133,4266,17,16,450,3927,0
134,4266,17,13,450,3930,0
135,4266,16,14,450,3930,0
136,4268,14,14,450,3930,0
137,4267,15,13,450,3931,0
138,4266,16,13,450,3931,0
139,4269,12,11,450,3934,0
140,4268,12,12,450,3934,0
141,4266,14,11,450,3935,0
142,4265,15,11,450,3935,0
143,4265,15,11,450,3935,0
144,4265,15,11,450,3935,0
145,4264,15,11,450,3936,0
146,4263,15,12,450,3936,0
147,4266,12,12,450,3936,0
148,4267,11,12,450,3936,0
149,4267,11,11,450,3937,0
150,4267,10,12,450,3937,0
151,4264,13,10,450,3939,0
152,4264,12,10,450,3940,0
153,4264,11,10,450,3941,0
154,4263,10,12,450,3941,0
155,4263,9,13,450,3941,0
156,4265,7,13,450,3941,0
157,4263,8,14,450,3941,0
158,4262,9,14,450,3941,0
159,4262,9,14,450,3941,0
160,4263,8,13,450,3942,0
161,4264,7,12,450,3943,0
162,4264,7,12,450,3943,0
163,4263,8,12,450,3943,0
164,4263,8,11,450,3944,0
165,4264,7,9,450,3946,0
166,4262,9,9,450,3946,0
167,4263,8,9,450,3946,0
168,4265,6,8,450,3947,0
169,4265,6,8,450,3947,0
170,4263,8,8,450,3947,0
171,4263,8,8,450,3947,0
172,4263,8,8,450,3947,0
173,4263,8,8,450,3947,0
174,4263,8,8,450,3947,0
175,4262,9,8,450,3947,0
176,4263,8,8,450,3947,0
177,4264,7,8,450,3947,0
178,4267,4,8,450,3947,0
179,4266,5,8,450,3947,0
180,4263,8,8,450,3947,0
181,4263,8,8,450,3947,0
182,4263,6,10,450,3947,0
183,4262,6,11,450,3947,0
184,4262,6,11,450,3947,0
185,4261,7,11,450,3947,0
186,4262,6,11,450,3947,0
187,4261,7,11,450,3947,0
188,4263,4,12,450,3947,0
189,4262,5,12,450,3947,0
190,4260,6,13,450,3947,0
191,4259,6,14,450,3947,0
192,4259,6,12,450,3949,0
193,4260,5,11,450,3950,0
194,4260,5,10,450,3951,0
195,4262,3,10,450,3951,0
196,4261,4,10,450,3951,0
197,4260,5,10,450,3951,0
198,4260,5,10,450,3951,0
199,4259,6,10,450,3951,0
200,4260,5,9,450,3952,0
201,4261,4,9,450,3952,0
202,4262,3,9,450,3952,0
203,4260,5,9,450,3952,0
204,4261,4,9,450,3952,0
205,4261,4,8,450,3953,0
206,4260,5,8,450,3953,0
207,4259,6,8,450,3953,0
208,4261,4,8,450,3953,0
209,4262,3,8,450,3953,0
210,4262,3,8,450,3953,0
211,4261,4,8,450,3953,0
212,4262,3,8,450,3953,0
213,4261,4,8,450,3953,0
214,4261,4,8,450,3953,0
215,4261,4,8,450,3953,0
216,4260,5,8,450,3953,0
217,4262,3,8,450,3953,0
218,4262,3,8,450,3953,0
219,4261,4,8,450,3953,0
220,4261,4,8,450,3953,0
221,4261,4,8,450,3953,0
222,4261,4,8,450,3953,0
223,4261,4,8,450,3953,0
224,4261,4,8,450,3953,0
225,4261,4,8,450,3953,0
226,4260,5,8,450,3953,0
227,4261,4,8,450,3953,0
228,4261,4,8,450,3953,0
229,4260,5,8,450,3953,0
230,4260,5,8,450,3953,0
231,4260,5,8,450,3953,0
232,4262,2,9,450,3953,0
233,4261,3,9,450,3953,0
234,4262,2,9,450,3953,0
235,4262,2,9,450,3953,0
