,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+
0,1,3,0,0,0,1,0,0,0
1,1,3,0,0,0,1,0,0,0
2,1,3,0,0,0,1,0,0,0
3,1,3,0,0,0,1,0,0,0
4,1,3,0,0,0,1,0,0,0
5,1,3,0,0,0,1,0,0,0
6,1,3,0,0,0,1,0,0,0
7,1,5,0,3,0,1,0,0,0
8,2,7,2,5,1,1,0,0,0
9,2,10,9,8,2,4,0,0,0
10,10,19,16,16,8,8,5,0,0
11,15,33,47,41,18,19,5,0,0
12,30,64,84,76,31,28,7,0,0
13,44,103,147,130,50,39,12,0,0
14,74,147,230,195,91,58,14,0,0
15,103,197,307,252,130,73,17,0,0
16,136,258,388,327,165,97,22,0,0
17,168,300,467,388,196,113,26,0,0
18,198,354,515,442,233,123,32,0,0
19,223,385,561,482,261,140,34,0,0
20,246,430,593,513,280,151,35,0,0
21,259,452,624,530,292,155,37,0,0
22,284,481,655,553,303,161,37,0,0
23,306,510,675,564,310,168,37,0,0
24,325,532,692,580,320,171,37,0,0
25,336,544,706,588,324,175,38,0,0
26,349,563,714,597,331,178,39,0,0
27,368,585,721,600,335,178,39,0,0
28,387,608,729,603,336,181,39,0,0
29,402,626,732,606,337,183,39,0,0
30,421,643,739,609,338,183,40,0,0
31,441,660,744,612,341,183,40,0,0
32,453,672,747,613,342,184,40,0,0
33,466,688,749,614,342,185,40,0,0
34,482,700,753,615,342,185,40,0,0
35,495,711,753,616,342,186,40,0,0
36,514,717,753,617,343,186,40,0,0
37,534,727,754,617,343,187,40,0,0
38,546,736,755,618,343,187,40,0,0
39,561,744,756,618,343,187,40,0,0
40,572,752,757,619,345,187,40,0,0
41,584,756,757,619,345,187,40,0,0
42,601,762,757,619,345,187,40,0,0
43,608,766,757,619,345,187,40,0,0
44,623,774,757,619,345,187,40,0,0
45,631,775,757,619,345,187,40,0,0
46,640,778,757,619,345,187,40,0,0
47,645,781,757,619,345,187,40,0,0
48,653,786,757,619,345,187,40,0,0
49,671,788,757,619,345,187,40,0,0
50,677,790,757,619,345,187,40,0,0
51,685,793,757,619,345,187,40,0,0
52,692,795,757,619,345,187,40,0,0
53,707,797,757,619,345,187,40,0,0
54,720,799,757,619,345,187,40,0,0
55,728,802,757,619,345,187,40,0,0
56,734,802,757,619,345,187,40,0,0
57,742,804,757,619,345,187,40,0,0
58,752,806,757,619,345,187,40,0,0
59,762,807,757,619,345,187,40,0,0
60,767,810,757,619,345,187,40,0,0
61,778,811,757,619,345,187,40,0,0
62,785,812,757,619,345,187,40,0,0
63,794,813,757,619,345,187,40,0,0
64,801,814,757,619,345,187,40,0,0
65,808,815,757,619,345,187,40,0,0
66,814,818,757,619,345,187,40,0,0
67,817,819,757,619,345,187,40,0,0
68,825,819,757,619,345,187,40,0,0
69,829,819,757,619,345,187,40,0,0
70,837,820,757,619,345,187,40,0,0
71,844,821,757,619,345,187,40,0,0
72,851,822,757,619,345,187,40,0,0
73,853,824,757,619,345,187,40,0,0
74,857,824,757,619,345,187,40,0,0
75,860,826,757,619,345,187,40,0,0
76,860,827,757,619,345,187,40,0,0
77,864,827,757,619,345,187,40,0,0
78,869,827,757,619,345,187,40,0,0
79,877,827,757,619,345,187,40,0,0
80,884,827,757,619,345,187,40,0,0
81,887,827,757,619,345,187,40,0,0
82,890,827,757,619,345,187,40,0,0
83,894,829,757,619,345,187,40,0,0
84,896,829,757,619,345,187,40,0,0
85,898,829,757,619,345,187,40,0,0
86,902,829,757,619,345,187,40,0,0
87,907,830,757,619,345,187,40,0,0
88,907,830,757,619,345,187,40,0,0
89,910,831,757,619,345,187,40,0,0
90,914,831,757,619,345,187,40,0,0
91,917,831,757,619,345,187,40,0,0
92,920,832,757,619,345,187,40,0,0
93,926,832,757,619,345,187,40,0,0
94,926,832,757,619,345,187,40,0,0
95,929,832,757,619,345,187,40,0,0
96,933,832,757,619,345,187,40,0,0
97,938,832,757,619,345,187,40,0,0
98,942,832,757,619,345,187,40,0,0
99,944,832,757,619,345,187,40,0,0
100,948,832,757,619,345,187,40,0,0
101,952,832,757,619,345,187,40,0,0
102,952,832,757,619,345,187,40,0,0
103,954,832,757,619,345,187,40,0,0
104,957,833,757,619,345,187,40,0,0
105,959,833,757,619,345,187,40,0,0
106,962,833,757,619,345,187,40,0,0
107,965,833,757,619,345,187,40,0,0
108,965,833,757,619,345,187,40,0,0
109,966,833,757,619,345,187,40,0,0
110,968,833,757,619,345,187,40,0,0
