,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+
0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
2,239,153,110,57,55,12,0,0,0
3,411,241,78,76,52,18,0,0,0
4,520,301,50,50,46,10,1,0,0
5,597,326,57,40,31,6,0,0,0
6,643,331,47,46,30,11,1,0,0
7,681,324,30,28,20,9,0,0,0
8,689,303,25,35,21,3,0,0,0
9,680,292,24,26,18,3,0,0,0
10,647,244,18,19,13,2,0,0,0
11,612,242,14,14,8,2,0,0,0
12,592,229,8,15,6,0,0,0,0
13,554,213,4,9,5,1,0,0,0
14,533,191,8,8,7,1,0,0,0
15,519,162,4,9,3,1,0,0,0
16,502,166,2,5,2,0,0,0,0
17,505,160,4,3,3,0,0,0,0
18,491,149,3,1,4,0,0,0,0
19,476,124,1,1,2,0,0,0,0
20,481,120,0,0,2,1,0,0,0
21,466,126,1,0,2,1,0,0,0
22,442,109,1,0,2,0,0,0,0
23,430,97,1,1,2,0,0,0,0
24,420,94,0,0,0,0,1,0,0
25,403,88,1,0,1,0,0,0,0
26,386,80,0,0,0,0,0,0,0
27,379,72,0,0,0,0,0,0,0
28,379,71,0,1,0,0,0,0,0
29,364,61,0,2,0,1,0,0,0
30,363,49,0,2,0,0,0,0,0
31,366,47,0,0,0,0,0,0,0
32,331,48,0,1,0,0,0,0,0
33,319,43,0,1,0,0,0,0,0
34,295,47,0,0,0,0,0,0,0
35,292,44,0,0,0,0,0,0,0
36,287,47,0,0,0,0,0,0,0
37,281,46,0,0,0,0,0,0,0
38,273,37,0,0,0,0,0,0,0
39,267,34,0,0,0,0,0,0,0
40,258,28,0,0,0,0,0,0,0
41,241,25,0,0,0,0,0,0,0
42,246,24,0,0,0,0,0,0,0
43,251,20,0,0,0,0,0,0,0
44,229,19,0,0,0,0,0,0,0
45,223,18,0,0,0,0,0,0,0
46,223,16,0,0,0,0,0,0,0
47,208,16,0,0,0,0,0,0,0
48,213,16,0,0,0,0,0,0,0
49,221,16,0,0,0,0,0,0,0
50,213,18,0,0,0,0,0,0,0
51,210,18,0,0,0,0,0,0,0
52,210,16,0,0,0,0,0,0,0
53,197,14,0,0,0,0,0,0,0
54,186,13,0,0,0,0,0,0,0
55,172,13,0,0,0,0,0,0,0
56,174,12,0,0,0,0,0,0,0
57,172,10,0,0,0,0,0,0,0
58,166,8,0,0,0,0,0,0,0
59,152,7,0,0,0,0,0,0,0
60,157,7,0,0,0,0,0,0,0
61,153,6,0,0,0,0,0,0,0
62,150,7,0,0,0,0,0,0,0
63,158,6,0,0,0,0,0,0,0
64,160,5,0,0,0,0,0,0,0
65,149,6,0,0,0,0,0,0,0
66,145,6,0,0,0,0,0,0,0
67,140,5,0,0,0,0,0,0,0
68,137,5,0,0,0,0,0,0,0
69,136,6,0,0,0,0,0,0,0
70,139,6,0,0,0,0,0,0,0
71,138,5,0,0,0,0,0,0,0
72,123,3,0,0,0,0,0,0,0
