,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+
0,2,2,0,1,0,0,0,0,0
1,2,2,0,1,0,0,0,0,0
2,2,2,0,1,0,0,0,0,0
3,2,2,0,1,0,0,0,0,0
4,2,2,2,2,0,0,0,0,0
5,2,2,2,2,0,1,0,0,0
6,2,3,3,2,4,1,0,0,0
7,2,3,3,2,9,1,0,0,0
8,2,3,4,3,13,7,0,0,0
9,2,3,5,4,19,9,0,0,0
10,2,8,6,6,22,11,1,0,0
11,2,13,6,6,24,12,1,0,0
12,2,13,6,9,27,12,1,0,0
13,2,15,6,11,30,14,1,0,0
14,2,17,6,11,33,14,1,0,0
15,2,17,8,14,37,15,1,0,0
16,2,19,9,14,39,18,1,0,0
17,2,22,9,17,42,21,1,0,0
18,2,23,9,17,42,21,1,0,0
19,2,24,9,17,43,21,2,0,0
20,2,25,9,17,45,21,2,0,0
21,2,26,9,17,46,21,2,0,0
22,2,26,9,17,46,22,2,0,0
23,2,26,9,17,46,22,2,0,0
24,2,27,9,17,47,22,2,0,0
25,2,29,9,17,47,22,2,0,0
26,2,30,9,17,47,22,2,0,0
27,2,31,9,17,47,23,2,0,0
28,2,31,9,17,47,23,2,0,0
29,2,32,9,17,47,23,2,0,0
30,2,33,9,17,47,23,2,0,0
31,2,38,9,17,47,23,2,0,0
32,2,38,9,17,48,23,2,0,0
33,2,38,9,17,48,23,2,0,0
34,2,38,9,17,48,23,2,0,0
35,2,38,9,18,48,23,2,0,0
36,2,39,9,18,48,23,2,0,0
37,2,40,9,18,48,23,2,0,0
38,2,40,9,18,48,23,2,0,0
39,2,40,9,18,48,23,2,0,0
40,2,41,9,18,48,23,2,0,0
41,2,41,9,18,48,23,2,0,0
42,2,41,9,18,48,23,2,0,0
43,2,42,9,18,48,23,2,0,0
44,2,42,9,18,48,23,2,0,0
45,2,42,9,18,48,23,2,0,0
46,2,42,9,18,48,23,2,0,0
47,2,42,9,18,48,23,2,0,0
48,2,42,9,18,48,23,2,0,0
49,2,42,9,18,48,23,2,0,0
50,2,42,9,18,48,23,2,0,0
51,2,42,9,18,48,23,2,0,0
52,2,42,9,18,48,23,2,0,0
53,2,42,9,18,48,23,2,0,0
54,2,42,9,18,48,23,2,0,0
55,2,42,9,18,48,23,2,0,0
56,2,42,9,18,48,23,2,0,0
57,2,42,9,18,48,23,2,0,0
58,2,42,9,18,48,23,2,0,0
59,2,42,9,18,48,23,2,0,0
60,2,42,9,18,48,23,2,0,0
61,2,42,9,18,48,23,2,0,0
62,2,42,9,18,48,23,2,0,0
63,2,42,9,18,48,23,2,0,0
64,2,42,9,18,48,23,2,0,0
65,2,42,9,18,48,23,2,0,0
66,2,42,9,18,48,23,2,0,0
67,2,42,9,18,48,23,2,0,0
68,2,42,9,18,48,23,2,0,0
69,2,43,9,18,48,23,2,0,0
70,2,43,9,18,48,23,2,0,0
71,2,43,9,18,48,23,2,0,0
72,2,43,9,18,48,23,2,0,0
73,2,43,9,18,48,23,2,0,0
74,2,43,9,18,48,23,2,0,0
75,2,43,9,18,48,23,2,0,0
76,2,43,9,18,48,23,2,0,0
77,2,43,9,18,48,23,2,0,0
78,2,43,9,18,48,23,2,0,0
79,2,43,9,18,48,23,2,0,0
80,2,43,9,18,48,23,2,0,0
81,2,43,9,18,48,23,2,0,0
82,2,43,9,18,48,23,2,0,0
