,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+
0,2,1,0,1,1,0,0,0,0
1,2,1,0,1,1,0,0,0,0
2,2,1,0,1,1,0,0,0,0
3,2,1,0,1,1,0,0,0,0
4,2,1,0,1,1,0,0,0,0
5,2,1,0,1,1,0,0,0,0
6,2,1,1,1,1,0,0,0,0
7,3,1,1,1,2,0,0,0,0
8,3,4,2,2,2,0,0,0,0
9,3,5,6,3,4,2,0,0,0
10,5,12,11,8,8,2,0,0,0
11,12,22,28,15,11,3,0,0,0
12,25,43,50,32,17,7,0,0,0
13,48,77,94,58,35,9,0,0,0
14,72,116,139,86,51,13,0,0,0
15,110,154,192,129,70,16,0,0,0
16,142,193,230,172,81,19,0,0,0
17,161,235,276,203,95,24,0,0,0
18,183,280,309,231,104,24,0,0,0
19,200,302,338,253,116,28,0,0,0
20,224,327,362,269,121,30,0,0,0
21,246,354,379,282,126,33,0,0,0
22,273,372,388,292,127,34,0,0,0
23,294,387,396,297,129,34,0,0,0
24,314,408,404,311,136,36,0,0,0
25,331,423,410,319,139,37,0,0,0
26,352,437,416,325,141,39,0,0,0
27,374,446,420,327,141,39,0,0,0
28,388,458,422,328,144,39,0,0,0
29,408,468,425,329,145,40,0,0,0
30,424,475,431,330,146,40,0,0,0
31,448,490,432,333,147,42,0,0,0
32,462,503,432,333,147,42,0,0,0
33,472,513,433,333,147,43,0,0,0
34,488,522,434,333,147,44,0,0,0
35,497,534,434,334,147,44,0,0,0
36,510,538,435,335,147,44,0,0,0
37,524,542,435,335,147,44,0,0,0
38,537,548,435,336,147,44,0,0,0
39,550,557,435,336,147,44,0,0,0
40,559,561,436,336,147,44,0,0,0
41,576,566,437,336,147,44,0,0,0
42,583,569,438,336,147,44,0,0,0
43,596,573,438,336,147,44,0,0,0
44,606,580,438,336,147,44,0,0,0
45,617,582,438,336,147,44,0,0,0
46,624,583,438,336,147,44,0,0,0
47,631,586,438,336,148,44,0,0,0
48,637,587,438,336,149,44,0,0,0
49,647,591,438,336,149,44,0,0,0
50,657,595,438,336,149,44,0,0,0
51,670,595,438,336,149,44,0,0,0
52,681,596,438,336,149,44,0,0,0
