,Susceptible,Exposed,Infected,Deaths,Recovered,Vaccinated
0,5650,0,8,5,5,3008
1,5650,0,8,5,5,3008
2,5023,627,8,5,5,3008
3,4507,913,238,5,5,3008
4,4181,986,490,6,5,3008
5,3921,1016,714,11,6,3008
6,3683,1059,904,16,6,3008
7,3539,1036,1055,28,10,3008
8,3434,1005,1172,43,14,3008
9,3346,964,1285,51,22,3008
10,3302,889,1365,66,46,3008
11,3254,852,1405,80,77,3008
12,3240,786,1367,87,188,3008
13,3195,754,1289,100,330,3008
14,3163,721,1182,108,494,3008
15,3150,678,1049,114,677,3008
16,3131,648,877,122,890,3008
17,3100,634,742,126,1066,3008
18,3075,618,639,136,1200,3008
19,3067,582,552,138,1329,3008
20,3038,569,496,144,1421,3008
21,3018,552,450,148,1500,3008
22,3008,524,398,154,1584,3008
23,2995,499,353,156,1665,3008
24,2988,474,332,157,1717,3008
25,2972,476,305,158,1757,3008
26,2957,471,268,159,1813,3008
27,2966,437,249,159,1857,3008
28,2945,434,236,160,1893,3008
29,2942,413,219,162,1932,3008
30,2938,396,209,163,1962,3008
31,2929,382,201,163,1993,3008
32,2927,359,197,163,2022,3008
33,2906,364,193,164,2041,3008
34,2906,348,183,165,2066,3008
35,2901,340,160,165,2102,3008
36,2894,324,159,165,2126,3008
37,2886,313,157,166,2146,3008
38,2886,300,144,166,2172,3008
39,2869,304,135,166,2194,3008
40,2869,293,124,167,2215,3008
41,2860,283,119,168,2238,3008
42,2849,278,121,168,2252,3008
43,2835,276,113,168,2276,3008
44,2839,266,105,168,2290,3008
45,2843,250,105,169,2301,3008
46,2845,239,96,169,2319,3008
47,2841,235,93,169,2330,3008
48,2844,220,91,169,2344,3008
49,2836,224,81,169,2358,3008
50,2837,206,82,170,2373,3008
51,2839,192,86,170,2381,3008
52,2831,189,82,170,2396,3008
53,2835,174,82,170,2407,3008
54,2822,178,81,170,2417,3008
55,2817,176,78,170,2427,3008
56,2813,163,85,170,2437,3008
57,2810,160,79,171,2448,3008
58,2801,163,78,171,2455,3008
59,2801,156,72,171,2468,3008
60,2799,150,71,171,2477,3008
61,2802,139,72,171,2484,3008
62,2808,127,66,171,2496,3008
63,2799,134,65,171,2499,3008
64,2801,124,64,171,2508,3008
65,2796,126,62,171,2513,3008
66,2788,129,57,171,2523,3008
67,2792,124,56,171,2525,3008
68,2798,113,52,171,2534,3008
69,2794,115,43,171,2545,3008
70,2789,112,46,171,2550,3008
71,2786,107,49,171,2555,3008
72,2779,113,48,171,2557,3008
73,2780,109,43,171,2565,3008
74,2777,105,40,171,2575,3008
75,2781,97,38,171,2581,3008
76,2778,96,38,171,2585,3008
77,2775,96,40,171,2586,3008
78,2766,101,38,171,2592,3008
79,2768,97,36,171,2596,3008
80,2773,90,34,171,2600,3008
81,2773,88,30,171,2606,3008
82,2770,89,30,171,2608,3008
83,2772,81,34,171,2610,3008
84,2773,77,35,171,2612,3008
85,2774,72,35,171,2616,3008
86,2773,70,35,171,2619,3008
87,2773,67,33,171,2624,3008
88,2766,74,33,171,2624,3008
89,2758,80,30,171,2629,3008
90,2760,75,30,171,2632,3008
91,2757,75,30,171,2635,3008
92,2757,74,26,171,2640,3008
93,2759,72,23,171,2643,3008
94,2757,70,26,171,2644,3008
95,2753,73,20,171,2651,3008
96,2758,65,22,171,2652,3008
97,2758,63,22,171,2654,3008
98,2756,65,18,171,2658,3008
99,2759,59,18,171,2661,3008
100,2760,57,18,171,2662,3008
101,2755,61,17,171,2664,3008
102,2749,64,20,171,2664,3008
103,2752,60,19,171,2666,3008
104,2756,52,20,171,2669,3008
105,2753,55,20,171,2669,3008
106,2755,48,25,171,2669,3008
107,2751,50,26,171,2670,3008
108,2752,48,26,171,2671,3008
109,2751,49,22,171,2675,3008
110,2751,48,20,171,2678,3008
111,2753,43,22,171,2679,3008
112,2749,42,26,171,2680,3008
113,2749,40,25,171,2683,3008
114,2747,40,25,171,2685,3008
115,2746,37,27,171,2687,3008
116,2744,38,24,171,2691,3008
117,2744,37,23,171,2693,3008
118,2743,37,21,171,2696,3008
119,2745,33,23,171,2696,3008
120,2743,32,25,171,2697,3008
121,2743,32,24,171,2698,3008
122,2739,31,26,171,2701,3008
123,2736,30,26,171,2705,3008
124,2731,32,27,171,2707,3008
125,2729,32,28,171,2708,3008
126,2730,31,25,171,2711,3008
127,2727,31,26,171,2713,3008
128,2730,26,27,171,2714,3008
129,2731,24,24,171,2718,3008
130,2728,26,21,171,2722,3008
131,2731,23,20,171,2723,3008
132,2731,22,19,171,2725,3008
133,2732,20,18,171,2727,3008
134,2733,19,16,171,2729,3008
135,2731,19,15,171,2732,3008
136,2730,20,15,171,2732,3008
137,2731,19,13,171,2734,3008
138,2731,18,14,171,2734,3008
139,2730,19,11,171,2737,3008
140,2729,20,11,171,2737,3008
141,2727,20,13,171,2737,3008
142,2730,16,12,171,2739,3008
143,2730,16,11,171,2740,3008
144,2729,17,11,171,2740,3008
145,2732,12,13,171,2740,3008
146,2728,16,11,171,2742,3008
147,2728,16,11,171,2742,3008
148,2729,15,11,171,2742,3008
149,2729,14,12,171,2742,3008
150,2728,15,11,171,2743,3008
151,2729,14,10,171,2744,3008
152,2731,11,10,171,2745,3008
153,2731,10,11,171,2745,3008
154,2734,6,12,171,2745,3008
155,2731,9,12,171,2745,3008
156,2730,10,11,171,2746,3008
157,2729,10,11,171,2747,3008
158,2729,10,10,171,2748,3008
159,2730,9,9,171,2749,3008
160,2729,10,9,171,2749,3008
161,2730,8,10,171,2749,3008
162,2728,10,10,171,2749,3008
163,2728,9,11,171,2749,3008
164,2728,9,11,171,2749,3008
165,2729,8,11,171,2749,3008
166,2728,8,12,171,2749,3008
167,2727,9,11,171,2750,3008
168,2727,9,9,171,2752,3008
169,2728,8,9,171,2752,3008
170,2726,9,10,171,2752,3008
171,2727,8,10,171,2752,3008
172,2725,9,10,171,2753,3008
173,2725,8,11,171,2753,3008
174,2726,7,11,171,2753,3008
175,2728,3,13,171,2753,3008
176,2728,3,13,171,2753,3008
177,2727,4,13,171,2753,3008
178,2729,2,13,171,2753,3008
179,2728,3,12,171,2754,3008
180,2726,5,11,171,2755,3008
181,2727,4,11,171,2755,3008
182,2727,4,11,171,2755,3008
183,2726,5,10,171,2756,3008
184,2725,5,11,171,2756,3008
185,2726,4,9,171,2758,3008
186,2726,4,9,171,2758,3008
187,2725,5,9,171,2758,3008
188,2725,5,8,171,2759,3008
189,2724,6,8,171,2759,3008
190,2725,5,8,171,2759,3008
191,2725,5,8,171,2759,3008
192,2723,7,8,171,2759,3008
193,2723,6,9,171,2759,3008
194,2724,5,9,171,2759,3008
195,2724,5,9,171,2759,3008
196,2722,7,9,171,2759,3008
197,2722,7,9,171,2759,3008
198,2723,6,9,171,2759,3008
199,2723,6,9,171,2759,3008
200,2724,4,10,171,2759,3008
201,2723,5,10,171,2759,3008
202,2724,4,10,171,2759,3008
203,2723,5,9,171,2760,3008
204,2724,4,9,171,2760,3008
205,2723,5,9,171,2760,3008
206,2725,3,9,171,2760,3008
207,2724,4,9,171,2760,3008
208,2724,3,10,171,2760,3008
209,2724,3,10,171,2760,3008
210,2723,4,9,171,2761,3008
211,2723,4,9,171,2761,3008
212,2722,5,9,171,2761,3008
213,2724,3,9,171,2761,3008
214,2723,4,9,171,2761,3008
215,2722,5,9,171,2761,3008
216,2723,4,9,171,2761,3008
217,2724,3,9,171,2761,3008
218,2724,2,10,171,2761,3008
219,2724,2,9,171,2762,3008
220,2723,3,9,171,2762,3008
221,2723,3,9,171,2762,3008
222,2722,4,9,171,2762,3008
223,2722,4,9,171,2762,3008
224,2723,2,10,171,2762,3008
225,2724,1,10,171,2762,3008
226,2724,1,10,171,2762,3008
227,2724,1,10,171,2762,3008
228,2724,1,9,171,2763,3008
229,2724,1,9,171,2763,3008
230,2723,2,9,171,2763,3008
231,2723,2,9,171,2763,3008
232,2722,3,9,171,2763,3008
233,2723,2,9,171,2763,3008
234,2723,2,9,171,2763,3008
235,2722,3,9,171,2763,3008
236,2722,2,10,171,2763,3008
237,2722,2,9,171,2764,3008
238,2722,2,9,171,2764,3008
239,2722,2,9,171,2764,3008
240,2722,2,9,171,2764,3008
