,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+
0,1,2,0,1,1,0,0,0,0
1,1,2,0,1,1,0,0,0,0
2,1,2,0,1,1,0,0,0,0
3,1,2,0,1,1,0,0,0,0
4,1,2,0,1,1,0,0,0,0
5,1,2,0,1,1,0,0,0,0
6,1,2,0,1,2,0,0,0,0
7,1,3,1,1,3,0,0,0,0
8,1,4,3,2,4,0,0,0,0
9,3,7,3,3,5,0,0,0,0
10,4,10,12,7,9,0,0,0,0
11,17,19,34,19,19,2,0,0,0
12,27,39,53,33,25,6,0,0,0
13,42,68,83,60,35,8,0,0,0
14,82,101,128,91,50,11,0,0,0
15,114,133,184,129,74,15,0,0,0
16,150,177,235,163,93,16,0,0,0
17,175,219,268,197,110,18,0,0,0
18,206,249,304,222,124,21,0,0,0
19,228,276,329,239,136,23,0,0,0
20,243,298,348,255,141,25,0,0,0
21,257,324,365,268,144,26,0,0,0
22,273,346,375,282,150,26,0,0,0
23,293,364,391,289,153,26,0,0,0
24,312,392,404,292,155,28,0,0,0
25,330,409,414,296,157,29,0,0,0
26,355,427,415,301,160,29,0,0,0
27,376,443,419,302,161,29,0,0,0
28,395,454,424,303,162,29,0,0,0
29,410,464,428,304,164,29,0,0,0
30,421,475,429,304,165,29,0,0,0
31,441,482,429,306,166,29,0,0,0
32,459,493,430,306,166,29,0,0,0
33,476,503,431,306,166,29,0,0,0
34,492,511,431,307,166,29,0,0,0
35,509,516,431,307,166,29,0,0,0
36,524,525,431,308,166,29,0,0,0
37,542,530,431,308,166,29,0,0,0
38,552,536,432,308,166,29,0,0,0
39,568,540,433,308,166,29,0,0,0
40,578,543,433,308,166,29,0,0,0
41,586,544,435,308,166,29,0,0,0
42,596,550,435,308,166,29,0,0,0
43,608,551,436,308,166,29,0,0,0
44,624,554,436,308,166,29,0,0,0
45,635,561,436,308,166,29,0,0,0
46,651,564,436,308,166,29,0,0,0
47,663,567,436,308,166,29,0,0,0
48,675,573,436,308,166,29,0,0,0
49,687,577,436,308,166,29,0,0,0
50,702,580,436,308,166,29,0,0,0
51,712,583,436,308,166,29,0,0,0
52,722,585,436,308,166,29,0,0,0
53,725,585,437,308,166,29,0,0,0
54,740,587,437,308,166,29,0,0,0
55,749,590,437,308,166,29,0,0,0
56,763,592,437,308,166,29,0,0,0
57,781,594,437,308,166,29,0,0,0
58,790,594,437,308,166,29,0,0,0
59,798,594,437,308,166,29,0,0,0
60,805,595,437,308,166,29,0,0,0
61,809,596,437,308,166,29,0,0,0
62,816,597,437,308,166,29,0,0,0
63,822,597,437,308,166,29,0,0,0
64,833,598,437,308,166,29,0,0,0
65,841,598,437,308,166,29,0,0,0
66,851,599,437,308,166,29,0,0,0
