,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+
0,2,0,0,1,0,1,0,0,1
1,2,0,0,1,0,1,0,0,1
2,2,0,0,1,0,1,0,0,1
3,2,0,0,1,0,1,0,0,1
4,2,0,0,2,1,3,4,0,1
5,2,1,0,2,5,11,8,0,1
6,2,1,0,4,9,20,15,0,1
7,2,2,1,6,12,28,21,0,1
8,2,3,1,7,17,40,30,0,1
9,2,6,1,9,24,50,40,0,1
10,2,11,1,15,28,57,47,0,1
11,2,12,2,18,35,63,54,0,1
12,2,15,4,21,41,73,58,0,1
13,2,20,6,24,52,86,63,0,1
14,2,24,6,25,63,94,66,0,1
15,2,26,6,25,67,107,69,0,1
16,2,29,9,26,75,111,72,0,1
17,2,35,9,26,80,113,73,0,1
18,2,39,10,28,84,115,76,0,1
19,2,40,10,28,84,117,81,0,1
20,2,40,10,30,86,119,83,0,1
21,2,41,11,30,88,119,84,0,1
22,2,42,11,30,88,121,84,0,1
23,2,44,11,30,89,124,85,0,1
24,2,44,11,30,91,125,87,0,1
25,2,45,11,30,92,126,87,0,1
26,2,47,11,30,93,127,88,0,1
27,2,49,11,30,93,127,88,0,1
28,2,50,11,30,93,127,88,0,1
29,2,50,11,30,93,128,88,0,1
30,2,51,11,30,94,129,89,0,1
31,2,54,11,30,94,129,90,0,1
32,2,55,11,30,94,129,91,0,1
33,2,55,11,30,94,129,91,0,1
34,2,57,11,30,94,129,91,0,1
35,2,58,11,30,94,129,91,0,1
36,2,61,11,30,94,129,91,0,1
37,2,62,11,30,94,129,91,0,1
38,2,63,11,30,94,129,91,0,1
39,2,64,11,30,94,130,91,0,1
40,2,65,11,30,94,130,91,0,1
41,2,65,11,30,94,130,91,0,1
42,2,65,11,30,94,130,91,0,1
43,2,65,11,30,94,130,91,0,1
44,2,65,11,30,94,130,91,0,1
45,2,65,11,30,94,130,91,0,1
46,2,65,11,30,94,130,91,0,1
47,2,65,11,30,94,130,91,0,1
48,2,66,11,30,94,130,91,0,1
49,2,66,11,30,94,130,91,0,1
50,2,66,11,30,94,130,91,0,1
51,2,68,11,30,94,130,91,0,1
52,2,68,11,30,94,130,91,0,1
53,2,69,11,30,94,130,91,0,1
54,2,69,11,30,94,130,91,0,1
55,2,69,11,30,94,130,91,0,1
56,2,69,11,30,94,130,91,0,1
57,2,69,11,30,94,130,91,0,1
58,2,69,11,30,94,130,91,0,1
59,2,69,11,30,94,130,91,0,1
60,2,69,11,30,94,130,91,0,1
61,2,69,11,30,94,130,91,0,1
62,2,69,11,30,94,130,91,0,1
63,2,69,11,30,94,130,91,0,1
64,2,69,11,30,94,130,91,0,1
