,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+
0,2,0,2,0,1,0,0,0,0
1,2,0,2,0,1,0,0,0,0
2,2,0,2,0,1,0,0,0,0
3,2,0,2,0,1,0,0,0,0
4,2,0,2,0,1,0,0,0,0
5,2,0,2,0,1,0,0,0,0
6,2,0,2,1,1,1,0,0,0
7,2,0,3,1,1,1,1,0,0
8,2,1,6,2,3,2,1,0,0
9,3,5,18,5,3,2,1,0,0
10,5,18,29,15,16,7,3,0,0
11,9,26,53,35,26,9,8,0,0
12,23,53,92,63,37,18,11,0,0
13,44,94,142,104,66,31,13,0,0
14,67,147,209,165,106,45,14,0,0
15,108,209,286,250,145,63,20,0,0
16,135,261,367,323,183,78,25,0,0
17,169,326,434,384,218,88,26,0,0
18,198,369,497,433,240,106,31,0,0
19,219,417,534,477,262,118,33,0,0
20,241,446,565,507,284,131,34,0,0
21,257,466,591,533,303,138,35,0,0
22,276,496,624,553,313,146,36,0,0
23,302,516,642,571,319,148,37,0,0
24,321,542,652,581,325,151,38,0,0
25,338,563,668,593,333,152,38,0,0
26,354,591,676,601,334,153,38,0,0
27,372,616,683,608,334,153,38,0,0
28,390,632,690,612,335,154,39,0,0
29,404,650,697,614,336,156,39,0,0
30,420,666,698,617,337,157,40,0,0
31,431,681,700,620,340,158,40,0,0
32,445,693,703,622,341,158,40,0,0
33,459,709,703,623,343,160,40,0,0
34,478,716,705,624,344,161,40,0,0
35,490,729,706,625,346,161,40,0,0
36,508,737,706,625,346,161,40,0,0
37,528,748,706,625,346,161,40,0,0
38,538,758,708,625,346,161,40,0,0
39,555,768,710,625,346,161,40,0,0
40,565,776,711,626,346,161,40,0,0
41,578,785,711,626,347,161,40,0,0
42,587,793,711,626,347,162,40,0,0
43,596,800,711,627,347,162,40,0,0
44,605,807,711,627,347,162,40,0,0
45,621,815,711,627,347,162,40,0,0
46,630,821,711,627,347,162,40,0,0
47,643,824,711,627,347,162,40,0,0
48,655,828,711,627,347,162,40,0,0
49,670,832,711,628,347,162,40,0,0
50,676,836,711,628,347,162,40,0,0
51,684,838,711,628,347,162,40,0,0
52,692,842,711,628,347,162,40,0,0
53,701,842,711,628,347,162,40,0,0
54,704,843,711,628,347,162,40,0,0
