,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+
0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
2,227,172,128,114,61,41,13,0,0
3,394,286,125,101,67,45,14,0,0
4,516,340,84,84,77,37,9,0,0
5,597,373,57,56,58,26,15,0,0
6,619,380,58,60,53,20,6,0,0
7,661,376,30,38,43,11,9,0,0
8,650,373,36,34,31,16,3,0,0
9,631,354,32,28,18,16,5,0,0
10,608,308,14,18,21,13,4,0,0
11,576,280,15,24,18,12,3,0,0
12,550,256,15,9,16,9,2,0,0
13,517,234,5,7,9,6,3,0,0
14,518,223,13,11,4,4,3,0,0
15,504,196,3,6,8,0,2,0,0
16,499,181,4,5,4,3,1,0,0
17,462,169,7,3,4,3,2,0,0
18,449,157,3,2,1,2,0,0,0
19,463,147,3,2,2,0,1,0,0
20,443,142,2,2,3,0,1,0,0
21,445,137,1,1,2,1,0,0,0
22,411,129,0,3,2,0,1,0,0
23,412,117,0,0,0,1,1,0,0
24,394,112,0,0,1,0,0,0,0
25,393,98,0,3,1,0,0,0,0
26,400,89,1,3,1,1,0,0,0
27,390,81,0,1,0,1,0,0,0
28,369,80,0,2,1,0,0,0,0
29,359,75,0,1,1,0,0,0,0
30,353,75,0,0,1,0,0,0,0
31,347,70,0,1,0,0,0,0,0
32,326,64,0,1,0,0,0,0,0
33,304,57,0,0,0,0,0,0,0
34,281,54,0,0,0,0,0,0,0
35,289,55,0,0,0,0,0,0,0
36,281,46,0,0,0,0,0,0,0
37,268,41,0,0,0,0,0,0,0
38,257,43,0,0,0,0,0,0,0
39,250,42,0,0,0,0,0,0,0
40,241,39,0,0,0,0,0,0,0
41,237,34,0,0,0,0,0,0,0
42,244,30,0,0,0,0,0,0,0
43,236,27,0,0,0,0,0,0,0
44,232,26,0,0,0,0,0,0,0
45,232,23,0,0,0,0,0,0,0
46,227,20,0,0,0,0,0,0,0
47,226,18,0,0,0,0,0,0,0
48,218,15,0,0,0,0,0,0,0
49,216,16,0,0,0,0,0,0,0
50,213,14,0,0,0,0,0,0,0
51,200,13,0,0,0,0,0,0,0
52,195,14,0,0,0,0,0,0,0
53,196,16,0,0,0,0,0,0,0
54,194,14,0,0,0,0,0,0,0
55,185,14,0,0,0,0,0,0,0
56,172,13,0,0,0,0,0,0,0
57,156,8,0,0,0,0,0,0,0
58,147,6,0,0,0,0,0,0,0
59,153,6,0,0,0,0,0,0,0
60,153,7,0,0,0,0,0,0,0
61,150,8,0,0,0,0,0,0,0
62,139,9,0,0,0,0,0,0,0
63,136,10,0,0,0,0,0,0,0
64,141,10,0,0,0,0,0,0,0
65,136,9,0,0,0,0,0,0,0
66,132,5,0,0,0,0,0,0,0
67,119,5,0,0,0,0,0,0,0
68,117,5,0,0,0,0,0,0,0
69,109,3,0,0,0,0,0,0,0
70,109,4,0,0,0,0,0,0,0
71,123,5,0,0,0,0,0,0,0
72,123,5,0,0,0,0,0,0,0
