,Susceptible,Exposed,Infected,Deaths,Recovered,Vaccinated
0,7920,0,8,5,5,738
1,7920,0,8,5,5,738
2,7064,856,8,5,5,738
3,6393,1135,400,5,5,738
4,5889,1228,801,15,5,738
5,5504,1261,1138,30,5,738
6,5197,1253,1423,59,6,738
7,4966,1236,1645,83,8,738
8,4826,1160,1829,112,11,738
9,4731,1058,1983,136,30,738
10,4665,977,2048,178,70,738
11,4596,933,2066,200,143,738
12,4555,854,2011,226,292,738
13,4522,808,1880,256,472,738
14,4484,757,1689,283,725,738
15,4437,726,1448,296,1031,738
16,4409,683,1261,304,1281,738
17,4372,669,1051,319,1527,738
18,4333,659,877,331,1738,738
19,4284,654,730,342,1928,738
20,4264,621,647,351,2055,738
21,4250,596,552,355,2185,738
22,4237,561,504,359,2277,738
23,4230,537,454,361,2356,738
24,4232,511,406,362,2427,738
25,4228,484,358,364,2504,738
26,4208,478,325,365,2562,738
27,4199,458,290,368,2623,738
28,4191,440,274,370,2663,738
29,4192,414,256,371,2705,738
30,4185,392,241,373,2747,738
31,4177,382,221,375,2783,738
32,4147,393,204,376,2818,738
33,4137,388,187,378,2848,738
34,4133,371,188,380,2866,738
35,4130,359,173,381,2895,738
36,4113,357,168,381,2919,738
37,4119,331,164,381,2943,738
38,4111,322,156,382,2967,738
39,4114,304,145,382,2993,738
40,4103,298,144,382,3011,738
41,4092,298,137,382,3029,738
42,4094,280,139,382,3043,738
43,4087,278,125,382,3066,738
44,4072,278,117,382,3089,738
45,4066,276,108,382,3106,738
46,4071,258,110,382,3117,738
47,4055,260,108,382,3133,738
48,4049,256,99,382,3152,738
49,4059,229,105,382,3163,738
50,4049,226,101,382,3180,738
51,4059,203,98,382,3196,738
52,4060,193,96,382,3207,738
53,4055,191,93,382,3217,738
54,4057,179,89,383,3230,738
55,4045,184,88,383,3238,738
56,4038,182,86,383,3249,738
57,4035,179,76,383,3265,738
58,4029,175,76,383,3275,738
59,4026,167,79,383,3283,738
60,4027,158,76,383,3294,738
61,4021,158,73,383,3303,738
62,4020,151,72,384,3311,738
63,4021,144,69,384,3320,738
64,4007,152,66,385,3328,738
65,4015,136,68,385,3334,738
66,4013,134,61,385,3345,738
67,4007,133,63,385,3350,738
68,4003,127,56,385,3367,738
69,4005,121,49,385,3378,738
70,4002,118,48,385,3385,738
71,4005,113,47,385,3388,738
72,3997,115,47,385,3394,738
73,3995,113,46,385,3399,738
74,4000,101,47,385,3405,738
75,3993,102,49,385,3409,738
76,3988,100,51,385,3414,738
77,3989,92,53,385,3419,738
78,3992,89,47,386,3424,738
79,3989,89,42,386,3432,738
80,3989,85,41,386,3437,738
81,3987,84,38,386,3443,738
82,3983,83,38,386,3448,738
83,3986,78,38,386,3450,738
84,3977,82,37,386,3456,738
85,3981,75,35,386,3461,738
86,3981,74,32,386,3465,738
87,3979,73,31,386,3469,738
88,3975,74,30,386,3473,738
89,3971,74,33,386,3474,738
90,3964,79,33,386,3476,738
91,3964,75,34,386,3479,738
92,3969,69,30,386,3484,738
93,3967,66,30,386,3489,738
94,3976,54,33,386,3489,738
95,3974,53,34,386,3491,738
96,3979,48,33,386,3492,738
97,3978,45,31,386,3498,738
98,3972,50,29,386,3501,738
99,3970,49,26,386,3507,738
100,3972,40,29,386,3511,738
101,3966,42,31,386,3513,738
102,3965,40,34,386,3513,738
103,3967,37,33,386,3515,738
104,3964,38,31,386,3519,738
105,3960,41,30,386,3521,738
106,3957,43,28,386,3524,738
107,3960,38,25,386,3529,738
108,3961,35,23,386,3533,738
109,3960,33,24,386,3535,738
110,3961,30,22,386,3539,738
111,3959,29,24,386,3540,738
112,3959,27,25,386,3541,738
113,3960,24,24,386,3544,738
114,3959,24,21,386,3548,738
115,3956,27,19,386,3550,738
116,3956,27,18,386,3551,738
117,3956,24,20,386,3552,738
118,3956,22,21,386,3553,738
119,3956,22,19,386,3555,738
120,3958,18,19,386,3557,738
121,3957,16,20,386,3559,738
122,3953,19,20,386,3560,738
123,3951,18,20,386,3563,738
124,3952,16,21,386,3563,738
125,3952,15,21,386,3564,738
126,3952,14,21,386,3565,738
127,3948,18,20,386,3566,738
128,3948,18,20,386,3566,738
129,3949,16,19,386,3568,738
130,3950,14,20,386,3568,738
131,3950,13,20,386,3569,738
132,3950,12,16,386,3574,738
133,3949,13,15,386,3575,738
134,3949,12,13,386,3578,738
135,3949,12,12,386,3579,738
136,3950,11,10,386,3581,738
137,3948,12,11,386,3581,738
138,3947,13,11,386,3581,738
139,3948,11,11,386,3582,738
140,3947,12,11,386,3582,738
141,3947,11,11,386,3583,738
142,3947,11,10,386,3584,738
143,3947,10,10,386,3585,738
144,3946,10,11,386,3585,738
145,3947,8,12,386,3585,738
146,3948,6,13,386,3585,738
147,3948,6,13,386,3585,738
148,3947,6,14,386,3585,738
149,3945,8,13,386,3586,738
150,3945,8,13,386,3586,738
151,3943,10,13,386,3586,738
152,3943,10,13,386,3586,738
153,3945,7,12,386,3588,738
154,3945,7,10,386,3590,738
155,3944,8,10,386,3590,738
156,3944,8,9,386,3591,738
157,3944,8,9,386,3591,738
158,3946,5,10,386,3591,738
159,3946,5,10,386,3591,738
160,3944,7,9,386,3592,738
161,3945,6,9,386,3592,738
162,3946,5,9,386,3592,738
163,3945,6,9,386,3592,738
164,3943,7,9,386,3593,738
