,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+
0,1,0,2,1,0,1,0,0,0
1,1,0,2,1,0,1,0,0,0
2,1,0,2,1,0,1,0,0,0
3,1,0,2,1,0,1,0,0,0
4,1,0,2,1,0,1,0,0,0
5,1,0,2,1,0,1,0,0,0
6,1,0,2,2,0,1,0,0,0
7,1,2,2,2,0,2,0,0,0
8,1,2,5,2,1,4,0,0,0
9,2,2,9,7,5,5,0,0,0
10,7,7,22,18,9,6,0,0,0
11,15,22,48,39,25,11,3,0,0
12,25,51,89,71,38,18,5,0,0
13,42,81,137,115,67,25,7,0,0
14,71,128,185,155,100,48,9,0,0
15,116,195,263,215,135,64,16,0,0
16,156,253,339,277,165,79,17,0,0
17,183,297,409,335,194,95,17,0,0
18,215,343,457,386,226,103,20,0,0
19,247,384,487,417,238,113,20,0,0
20,276,417,525,439,252,118,20,0,0
21,290,454,557,459,274,124,21,0,0
22,309,474,574,489,282,130,21,0,0
23,331,498,586,499,291,134,22,0,0
24,353,527,594,510,300,137,22,0,0
25,375,555,605,513,303,140,22,0,0
26,403,586,615,518,305,142,22,0,0
27,427,603,622,525,310,142,23,0,0
28,441,618,629,532,315,143,23,0,0
29,461,634,633,534,315,143,23,0,0
30,481,652,640,537,316,143,23,0,0
31,496,665,642,541,319,143,23,0,0
32,513,680,646,544,321,144,23,0,0
33,531,687,647,546,322,144,23,0,0
34,549,697,648,547,322,144,23,0,0
35,565,705,650,549,322,144,23,0,0
36,584,717,651,550,323,144,23,0,0
37,597,728,653,550,323,144,23,0,0
38,609,741,654,551,323,144,23,0,0
39,624,743,654,553,323,145,23,0,0
40,636,753,654,553,323,145,24,0,0
41,642,757,654,553,323,145,24,0,0
42,653,764,654,553,324,145,24,0,0
43,665,768,654,553,324,145,24,0,0
44,674,775,655,553,324,145,24,0,0
45,687,779,655,553,324,145,24,0,0
46,698,782,655,553,324,145,24,0,0
47,712,784,655,553,324,145,24,0,0
48,722,786,655,553,324,145,24,0,0
49,733,789,655,553,324,145,24,0,0
50,740,791,655,553,324,145,24,0,0
51,750,794,655,553,324,145,24,0,0
52,759,796,655,553,324,145,24,0,0
53,763,798,655,553,324,145,24,0,0
54,772,804,655,553,324,145,24,0,0
55,779,804,655,553,324,145,24,0,0
56,790,805,655,553,324,145,24,0,0
57,800,806,655,553,324,145,24,0,0
58,804,807,655,553,324,145,24,0,0
59,808,807,655,553,324,145,24,0,0
60,817,807,655,553,324,145,24,0,0
61,823,807,655,553,324,145,24,0,0
62,835,808,655,553,324,145,24,0,0
63,846,811,655,553,324,145,24,0,0
64,852,815,655,553,324,145,24,0,0
65,857,815,655,553,324,145,24,0,0
66,866,816,655,553,324,145,24,0,0
67,872,818,655,553,324,145,24,0,0
68,882,818,655,553,324,145,24,0,0
69,890,818,655,553,324,145,24,0,0
70,900,818,655,553,324,145,24,0,0
71,904,818,655,553,324,145,24,0,0
72,911,819,655,553,324,145,24,0,0
73,918,819,655,553,324,145,24,0,0
74,922,819,655,553,324,145,24,0,0
75,930,819,655,553,324,145,24,0,0
76,934,819,655,553,324,145,24,0,0
77,938,821,655,553,324,145,24,0,0
78,944,821,655,553,324,145,24,0,0
79,949,821,655,553,324,145,24,0,0
80,952,821,655,553,324,145,24,0,0
81,959,821,655,553,324,145,24,0,0
82,963,822,655,553,324,145,24,0,0
83,969,822,655,553,324,145,24,0,0
84,970,823,655,553,324,145,24,0,0
85,972,823,655,553,324,145,24,0,0
86,973,823,655,553,324,145,24,0,0
87,976,824,655,553,324,145,24,0,0
88,980,824,655,553,324,145,24,0,0
89,983,824,655,553,324,145,24,0,0
90,986,824,655,553,324,145,24,0,0
91,990,824,655,553,324,145,24,0,0
92,994,824,655,553,324,145,24,0,0
93,996,824,655,553,324,145,24,0,0
94,1000,824,655,553,324,145,24,0,0
95,1002,825,655,553,324,145,24,0,0
96,1005,825,655,553,324,145,24,0,0
97,1005,825,655,553,324,145,24,0,0
