,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+
0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
2,240,134,102,76,33,12,0,0,0
3,397,237,53,76,35,11,0,0,0
4,520,287,64,66,43,12,0,0,0
5,588,323,41,65,38,6,0,0,0
6,631,337,24,32,32,5,0,0,0
7,647,308,37,26,15,7,0,0,0
8,650,293,20,26,15,2,0,0,0
9,621,264,17,24,16,2,0,0,0
10,610,237,9,21,14,1,0,0,0
11,602,215,8,15,10,1,0,0,0
12,557,194,7,11,7,2,0,0,0
13,533,173,9,8,6,6,0,0,0
14,551,156,4,10,5,0,0,0,0
15,523,144,8,4,3,0,0,0,0
16,505,138,3,2,3,0,0,0,0
17,489,137,3,2,1,0,0,0,0
18,466,125,5,2,3,0,0,0,0
19,457,116,0,1,3,0,0,0,0
20,441,102,1,0,2,0,0,0,0
21,437,92,1,1,0,0,0,0,0
22,426,87,1,1,1,0,0,0,0
23,419,79,1,0,0,0,0,0,0
24,416,68,0,0,0,0,0,0,0
25,383,67,1,0,0,0,0,0,0
26,369,63,2,0,0,0,0,0,0
27,364,57,1,0,0,0,0,0,0
28,353,53,0,0,0,0,0,0,0
29,360,55,0,0,0,0,0,0,0
30,352,49,0,0,0,0,0,0,0
31,340,42,0,0,1,0,0,0,0
32,317,31,0,0,1,0,0,0,0
33,310,26,0,0,0,0,0,0,0
34,308,30,0,0,0,0,0,0,0
35,281,29,0,0,0,0,0,0,0
36,282,26,0,0,0,0,0,0,0
37,302,27,0,0,0,0,0,0,0
38,294,24,0,0,0,0,0,0,0
39,278,23,0,0,0,0,0,0,0
40,270,22,0,0,0,0,0,0,0
41,262,20,0,0,0,0,0,0,0
42,259,18,0,0,0,0,0,0,0
43,247,16,0,0,0,0,0,0,0
44,236,11,0,0,0,0,0,0,0
45,229,9,0,0,0,0,0,0,0
46,229,13,0,0,0,0,0,0,0
47,215,11,0,0,0,0,0,0,0
48,204,11,0,0,0,0,0,0,0
49,198,11,0,0,0,0,0,0,0
50,179,10,0,0,0,0,0,0,0
51,174,10,0,0,0,0,0,0,0
52,182,12,0,0,0,0,0,0,0
53,183,15,0,0,0,0,0,0,0
54,176,14,0,0,0,0,0,0,0
55,170,14,0,0,0,0,0,0,0
56,169,10,0,0,0,0,0,0,0
57,160,6,0,0,0,0,0,0,0
58,163,5,0,0,0,0,0,0,0
59,170,4,0,0,0,0,0,0,0
60,156,3,0,0,0,0,0,0,0
61,147,4,0,0,0,0,0,0,0
62,143,3,0,0,0,0,0,0,0
63,138,4,0,0,0,0,0,0,0
64,135,5,0,0,0,0,0,0,0
65,136,5,0,0,0,0,0,0,0
66,121,5,0,0,0,0,0,0,0
67,120,5,0,0,0,0,0,0,0
68,121,4,0,0,0,0,0,0,0
69,112,4,0,0,0,0,0,0,0
70,109,3,0,0,0,0,0,0,0
71,113,1,0,0,0,0,0,0,0
72,104,0,0,0,0,0,0,0,0
