,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+
0,2,1,1,0,0,0,0,1,0
1,2,1,1,0,0,0,0,1,0
2,2,1,1,0,0,0,0,1,0
3,2,1,1,0,0,0,0,1,0
4,2,2,1,0,1,0,0,1,0
5,2,4,1,0,4,1,0,1,0
6,2,4,1,1,5,5,0,1,0
7,2,7,2,1,12,8,0,1,0
8,2,8,3,1,17,12,0,1,0
9,2,12,4,2,20,12,0,1,0
10,2,17,5,4,25,13,0,1,0
11,2,21,6,4,31,13,0,1,0
12,2,25,8,5,32,13,0,1,0
13,2,28,8,7,34,16,0,1,0
14,2,32,8,8,35,17,0,1,0
15,2,35,10,9,38,18,1,1,0
16,2,38,13,10,42,18,1,1,0
17,2,41,14,10,45,21,1,1,0
18,2,43,14,10,45,21,1,1,0
19,2,45,14,10,45,21,1,1,0
20,2,46,14,10,46,21,1,1,0
21,2,49,14,11,46,22,1,1,0
22,2,51,14,11,47,23,1,1,0
23,2,51,14,11,49,23,1,1,0
24,2,53,14,11,49,23,1,1,0
25,2,55,14,11,49,23,1,1,0
26,2,58,14,11,49,23,1,1,0
27,2,58,14,11,49,23,1,1,0
28,2,59,14,11,49,23,1,1,0
29,2,59,14,11,49,23,1,1,0
30,2,61,14,11,49,23,1,1,0
31,2,62,14,11,49,23,1,1,0
32,2,63,14,11,49,23,1,1,0
33,2,64,14,11,49,23,1,1,0
34,2,64,14,11,49,24,1,1,0
35,2,65,14,11,49,24,1,1,0
36,2,65,14,11,49,24,1,1,0
37,2,67,14,11,49,24,1,1,0
38,2,68,14,11,49,24,1,1,0
39,2,68,14,11,49,24,1,1,0
40,2,68,14,11,49,24,1,1,0
41,2,68,14,11,49,24,1,1,0
42,2,68,14,11,49,24,1,1,0
43,2,68,14,11,49,24,1,1,0
44,2,68,14,11,49,24,1,1,0
45,2,68,14,11,49,24,1,1,0
46,2,68,14,11,49,24,1,1,0
47,2,69,14,11,49,24,1,1,0
48,2,69,14,11,49,24,1,1,0
49,2,69,14,11,49,24,1,1,0
50,2,69,14,11,49,24,1,1,0
51,2,69,14,11,49,24,1,1,0
52,2,70,14,11,49,24,1,1,0
53,2,71,14,11,49,24,1,1,0
54,2,71,14,11,49,24,1,1,0
55,2,71,14,11,49,24,1,1,0
56,2,71,14,11,49,24,1,1,0
57,2,71,14,11,49,24,1,1,0
58,2,71,14,11,49,24,1,1,0
59,2,71,14,11,49,24,1,1,0
60,2,71,14,11,49,24,1,1,0
61,2,71,14,11,49,24,1,1,0
62,2,71,14,11,49,24,1,1,0
63,2,71,14,11,49,24,1,1,0
64,2,71,14,11,49,24,1,1,0
65,2,71,14,11,49,24,1,1,0
66,2,71,14,11,49,24,1,1,0
67,2,71,14,11,49,24,1,1,0
68,2,71,14,11,49,24,1,1,0
69,2,71,14,11,49,24,1,1,0
70,2,71,14,11,49,24,1,1,0
71,2,71,14,11,49,24,1,1,0
72,2,71,14,11,49,24,1,1,0
73,2,71,14,11,49,24,1,1,0
74,2,71,14,11,49,24,1,1,0
75,2,71,14,11,49,24,1,1,0
76,2,71,14,11,49,24,1,1,0
77,2,71,14,11,49,24,1,1,0
78,2,71,14,11,49,24,1,1,0
79,2,71,14,11,49,24,1,1,0
80,2,71,14,11,49,24,1,1,0
81,2,71,14,11,49,24,1,1,0
82,2,71,14,11,49,24,1,1,0
83,2,71,14,11,49,24,1,1,0
84,2,71,14,11,49,24,1,1,0
85,2,71,14,11,49,24,1,1,0
86,2,71,14,11,49,24,1,1,0
87,2,71,14,11,49,24,1,1,0
88,2,71,14,11,49,24,1,1,0
89,2,71,14,11,49,24,1,1,0
90,2,71,14,11,49,24,1,1,0
91,2,71,14,11,49,24,1,1,0
92,2,71,14,11,49,24,1,1,0
93,2,71,14,11,49,24,1,1,0
94,2,71,14,11,49,24,1,1,0
95,2,71,14,11,49,24,1,1,0
96,2,71,14,11,49,24,1,1,0
97,2,71,14,11,49,24,1,1,0
98,2,71,14,11,49,24,1,1,0
99,2,71,14,11,49,24,1,1,0
100,2,71,14,11,49,24,1,1,0
101,2,71,14,11,49,24,1,1,0
102,2,71,14,11,49,24,1,1,0
103,2,71,14,11,49,24,1,1,0
104,2,71,14,11,49,24,1,1,0
105,2,71,14,11,49,24,1,1,0
106,2,71,14,11,49,24,1,1,0
107,2,71,14,11,49,24,1,1,0
108,2,71,14,11,49,24,1,1,0
109,2,71,14,11,49,24,1,1,0
110,2,71,14,11,49,24,1,1,0
111,2,71,14,11,49,24,1,1,0
112,2,71,14,11,49,24,1,1,0
113,2,71,14,11,49,24,1,1,0
114,2,71,14,11,49,24,1,1,0
115,2,71,14,11,49,24,1,1,0
116,2,71,14,11,49,24,1,1,0
117,2,71,14,11,49,24,1,1,0
118,2,71,14,11,49,24,1,1,0
119,2,71,14,11,49,24,1,1,0
120,2,71,14,11,49,24,1,1,0
121,2,71,14,11,49,24,1,1,0
122,2,71,14,11,49,24,1,1,0
123,2,71,14,11,49,24,1,1,0
124,2,71,14,11,49,24,1,1,0
125,2,71,14,11,49,24,1,1,0
126,2,71,14,11,49,24,1,1,0
127,2,71,14,11,49,24,1,1,0
128,2,71,14,11,49,24,1,1,0
129,2,71,14,11,49,24,1,1,0
130,2,71,14,11,49,24,1,1,0
131,2,71,14,11,49,24,1,1,0
132,2,71,14,11,49,24,1,1,0
133,2,71,14,11,49,24,1,1,0
134,2,71,14,11,49,24,1,1,0
135,2,71,14,11,49,24,1,1,0
136,2,71,14,11,49,24,1,1,0
137,2,71,14,11,49,24,1,1,0
138,2,71,14,11,49,24,1,1,0
139,2,71,14,11,49,24,1,1,0
140,2,71,14,11,49,24,1,1,0
141,2,71,14,11,49,24,1,1,0
