,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+
0,2,2,0,0,0,0,1,0,0
1,2,2,0,0,0,0,1,0,0
2,2,2,0,0,0,0,1,0,0
3,2,2,0,0,0,0,1,0,0
4,2,2,0,0,0,0,1,0,0
5,2,2,0,0,0,0,1,0,0
6,3,3,0,0,0,0,1,0,0
7,3,3,0,1,0,0,1,0,0
8,4,4,3,1,1,0,1,0,0
9,5,6,8,2,2,1,1,0,0
10,9,16,22,5,6,2,1,0,0
11,17,26,32,10,8,4,1,0,0
12,27,48,54,40,25,6,1,0,0
13,43,81,92,67,42,10,1,0,0
14,65,124,140,92,66,17,1,0,0
15,105,183,205,140,87,26,1,0,0
16,133,220,248,188,114,31,1,0,0
17,170,260,299,228,136,39,1,0,0
18,204,291,338,259,145,42,1,0,0
19,229,315,372,283,153,47,1,0,0
20,254,347,403,300,164,49,1,0,0
21,271,371,428,317,173,50,1,0,0
22,289,387,441,324,181,50,1,0,0
23,307,406,450,334,185,51,1,0,0
24,321,425,463,340,188,53,1,0,0
25,349,443,469,345,194,53,1,0,0
26,369,453,479,348,195,53,1,0,0
27,386,478,484,352,197,53,1,0,0
28,409,492,488,359,200,53,1,0,0
29,429,518,492,361,201,55,1,0,0
30,452,531,496,363,202,56,1,0,0
31,474,540,497,363,202,56,1,0,0
32,492,552,499,364,202,57,1,0,0
33,505,567,499,365,202,57,1,0,0
34,518,578,499,365,202,57,1,0,0
35,532,587,499,366,202,57,1,0,0
36,548,592,499,367,202,57,1,0,0
37,561,600,500,367,202,57,1,0,0
38,575,611,500,367,202,57,1,0,0
39,590,616,501,367,202,57,1,0,0
40,607,620,501,367,202,57,1,0,0
41,624,628,501,367,202,57,1,0,0
42,631,634,501,367,202,57,1,0,0
43,639,640,501,367,202,57,1,0,0
44,653,642,501,367,202,57,1,0,0
45,663,643,501,367,202,57,1,0,0
46,673,648,501,367,202,57,1,0,0
47,681,653,501,367,202,57,1,0,0
48,691,654,501,367,202,57,1,0,0
49,696,656,501,367,202,57,1,0,0
50,704,658,501,367,202,57,1,0,0
51,714,660,501,367,202,57,1,0,0
52,725,664,501,367,202,57,1,0,0
53,735,667,501,367,202,57,1,0,0
54,742,670,501,367,203,57,1,0,0
55,754,672,501,367,203,57,1,0,0
56,762,674,501,367,203,57,1,0,0
57,770,674,501,367,203,57,1,0,0
58,778,675,501,367,203,57,1,0,0
59,783,676,501,367,203,57,1,0,0
60,792,678,501,367,203,57,1,0,0
61,797,680,501,367,203,57,1,0,0
62,808,680,501,367,203,57,1,0,0
63,813,681,501,367,203,57,1,0,0
64,823,683,501,367,203,57,1,0,0
65,833,685,501,367,203,57,1,0,0
66,838,686,501,367,203,57,1,0,0
67,843,686,501,367,203,57,1,0,0
68,846,687,501,367,203,57,1,0,0
69,851,688,501,367,203,57,1,0,0
70,859,690,501,367,203,57,1,0,0
71,865,690,501,367,203,57,1,0,0
72,868,690,501,367,203,57,1,0,0
73,874,694,501,367,203,57,1,0,0
74,880,695,501,367,203,57,1,0,0
75,885,695,501,367,203,57,1,0,0
76,888,695,501,367,203,57,1,0,0
77,888,695,501,367,203,57,1,0,0
78,895,695,501,367,203,57,1,0,0
79,899,695,501,367,203,57,1,0,0
80,904,695,501,367,203,57,1,0,0
81,905,696,501,367,203,57,1,0,0
82,909,696,501,367,203,57,1,0,0
83,913,697,501,367,203,57,1,0,0
84,920,697,501,367,203,57,1,0,0
85,921,697,501,367,203,57,1,0,0
86,924,697,501,367,203,57,1,0,0
87,928,698,501,367,203,57,1,0,0
88,929,698,501,367,203,57,1,0,0
89,931,698,501,367,203,57,1,0,0
90,931,698,501,367,203,57,1,0,0
91,935,698,501,367,203,57,1,0,0
92,942,698,501,367,203,57,1,0,0
93,945,698,501,367,203,57,1,0,0
94,948,698,501,367,203,57,1,0,0
95,952,698,501,367,203,57,1,0,0
96,953,698,501,367,203,57,1,0,0
97,953,698,501,367,203,57,1,0,0
98,956,698,501,367,203,57,1,0,0
99,960,698,501,367,203,57,1,0,0
100,965,698,501,367,203,57,1,0,0
101,966,698,501,367,203,57,1,0,0
102,970,698,501,367,203,57,1,0,0
103,973,698,501,367,203,57,1,0,0
104,973,698,501,367,203,57,1,0,0
