,Susceptible,Exposed,Infected,Deaths,Recovered,Vaccinated
0,5842,0,8,5,5,2816
1,5842,0,8,5,5,2816
2,5215,627,8,5,5,2816
3,4689,928,233,5,5,2816
4,4313,1054,482,6,5,2816
5,4012,1128,700,15,5,2816
6,3777,1154,901,23,5,2816
7,3595,1144,1085,29,7,2816
8,3464,1097,1250,38,11,2816
9,3372,1026,1394,46,22,2816
10,3319,963,1464,60,54,2816
11,3286,895,1505,74,100,2816
12,3266,822,1485,87,200,2816
13,3245,783,1392,99,341,2816
14,3199,766,1253,112,530,2816
15,3195,710,1102,121,732,2816
16,3167,682,935,130,946,2816
17,3145,636,827,140,1112,2816
18,3117,609,718,142,1274,2816
19,3087,597,617,143,1416,2816
20,3076,573,526,149,1536,2816
21,3041,569,483,154,1613,2816
22,3015,568,425,157,1695,2816
23,3015,525,396,159,1765,2816
24,3024,481,362,159,1834,2816
25,3014,458,325,161,1902,2816
26,2978,461,307,161,1953,2816
27,2969,446,274,161,2010,2816
28,2950,441,261,162,2046,2816
29,2947,423,243,162,2085,2816
30,2933,409,239,162,2117,2816
31,2930,381,237,162,2150,2816
32,2923,361,229,164,2183,2816
33,2912,346,226,164,2212,2816
34,2902,334,214,165,2245,2816
35,2897,320,201,165,2277,2816
36,2896,305,187,165,2307,2816
37,2883,291,192,165,2329,2816
38,2882,276,177,166,2359,2816
39,2864,280,169,166,2381,2816
40,2859,271,158,166,2406,2816
41,2856,262,143,166,2433,2816
42,2865,244,136,168,2447,2816
43,2859,239,127,168,2467,2816
44,2857,236,118,170,2479,2816
45,2851,229,117,170,2493,2816
46,2850,215,108,170,2517,2816
47,2843,215,98,170,2534,2816
48,2833,211,96,170,2550,2816
49,2829,200,98,170,2563,2816
50,2829,191,93,170,2577,2816
51,2831,181,85,170,2593,2816
52,2824,180,84,170,2602,2816
53,2821,180,77,170,2612,2816
54,2821,175,69,170,2625,2816
55,2822,162,71,170,2635,2816
56,2821,160,61,170,2648,2816
57,2815,160,58,170,2657,2816
58,2813,157,59,170,2661,2816
59,2814,146,63,170,2667,2816
60,2803,149,64,170,2674,2816
61,2802,143,62,170,2683,2816
62,2795,144,61,170,2690,2816
63,2792,142,57,171,2698,2816
64,2794,139,51,171,2705,2816
65,2795,131,51,171,2712,2816
66,2790,130,50,171,2719,2816
67,2791,119,55,171,2724,2816
68,2792,118,49,171,2730,2816
69,2790,113,49,171,2737,2816
70,2790,109,44,171,2746,2816
71,2786,109,39,171,2755,2816
72,2786,104,41,171,2758,2816
73,2790,97,39,171,2763,2816
74,2786,98,38,171,2767,2816
75,2785,97,35,171,2772,2816
76,2786,93,33,171,2777,2816
77,2787,89,34,171,2779,2816
78,2790,82,35,171,2782,2816
79,2790,79,36,171,2784,2816
80,2781,85,33,171,2790,2816
81,2771,92,34,171,2792,2816
82,2758,103,31,171,2797,2816
83,2764,94,28,171,2803,2816
84,2763,93,29,171,2804,2816
85,2760,95,27,171,2807,2816
86,2758,93,28,171,2810,2816
87,2762,86,29,171,2812,2816
88,2758,87,29,171,2815,2816
89,2764,75,33,171,2817,2816
90,2771,67,32,171,2819,2816
91,2769,67,31,171,2822,2816
92,2772,62,30,171,2825,2816
93,2775,57,30,171,2827,2816
94,2769,59,27,171,2834,2816
95,2776,52,25,171,2836,2816
96,2770,58,24,171,2837,2816
97,2768,59,25,171,2837,2816
98,2771,55,23,171,2840,2816
99,2768,55,20,171,2846,2816
100,2765,56,20,171,2848,2816
101,2761,59,21,171,2848,2816
102,2757,59,23,171,2850,2816
103,2755,59,21,171,2854,2816
104,2756,53,23,171,2857,2816
105,2751,57,22,171,2859,2816
106,2752,54,24,171,2859,2816
107,2751,54,24,171,2860,2816
108,2754,50,23,171,2862,2816
109,2758,45,24,171,2862,2816
110,2755,47,23,171,2864,2816
111,2755,43,22,171,2869,2816
112,2754,40,23,171,2872,2816
113,2751,42,22,171,2874,2816
114,2753,35,26,171,2875,2816
115,2751,34,25,171,2879,2816
116,2748,35,24,171,2882,2816
117,2740,41,25,171,2883,2816
118,2742,37,23,171,2887,2816
119,2737,42,22,171,2888,2816
120,2736,42,22,171,2889,2816
121,2736,41,18,171,2894,2816
122,2741,35,16,171,2897,2816
123,2739,37,16,171,2897,2816
124,2741,34,17,171,2897,2816
125,2745,30,16,171,2898,2816
126,2745,30,13,171,2901,2816
127,2741,33,13,171,2902,2816
128,2742,31,14,171,2902,2816
129,2736,36,15,171,2902,2816
130,2740,31,16,171,2902,2816
131,2740,28,17,171,2904,2816
132,2738,28,17,171,2906,2816
133,2735,31,16,171,2907,2816
134,2737,29,16,171,2907,2816
135,2734,31,16,171,2908,2816
136,2733,30,17,171,2909,2816
137,2735,27,16,171,2911,2816
138,2737,25,16,171,2911,2816
139,2740,21,16,171,2912,2816
140,2739,20,16,171,2914,2816
141,2737,21,16,171,2915,2816
142,2735,23,16,171,2915,2816
143,2734,22,15,171,2918,2816
144,2738,16,16,171,2919,2816
145,2738,15,17,171,2919,2816
146,2735,18,17,171,2919,2816
147,2734,18,16,171,2921,2816
148,2734,18,14,171,2923,2816
149,2733,19,12,171,2925,2816
150,2737,15,12,171,2925,2816
151,2737,15,12,171,2925,2816
152,2736,15,12,171,2926,2816
153,2732,19,10,171,2928,2816
154,2732,18,11,171,2928,2816
155,2734,15,12,171,2928,2816
156,2735,13,13,171,2928,2816
157,2735,13,12,171,2929,2816
158,2734,14,12,171,2929,2816
159,2735,13,12,171,2929,2816
160,2737,9,14,171,2929,2816
161,2736,10,14,171,2929,2816
162,2735,11,13,171,2930,2816
163,2733,13,11,171,2932,2816
164,2733,13,10,171,2933,2816
165,2735,9,12,171,2933,2816
166,2734,10,11,171,2934,2816
167,2734,10,11,171,2934,2816
168,2734,9,12,171,2934,2816
169,2733,9,11,171,2936,2816
170,2732,10,11,171,2936,2816
171,2730,11,12,171,2936,2816
172,2728,12,13,171,2936,2816
173,2729,11,12,171,2937,2816
174,2731,9,12,171,2937,2816
175,2732,8,12,171,2937,2816
176,2730,10,12,171,2937,2816
177,2731,9,10,171,2939,2816
178,2732,7,10,171,2940,2816
179,2730,9,9,171,2941,2816
180,2730,8,10,171,2941,2816
181,2730,8,10,171,2941,2816
182,2731,7,10,171,2941,2816
183,2730,8,9,171,2942,2816
184,2730,8,9,171,2942,2816
185,2730,8,9,171,2942,2816
186,2731,7,9,171,2942,2816
187,2733,4,9,171,2943,2816
188,2735,2,9,171,2943,2816
189,2733,4,9,171,2943,2816
190,2732,5,8,171,2944,2816
191,2731,6,8,171,2944,2816
192,2731,6,8,171,2944,2816
193,2731,6,8,171,2944,2816
194,2731,4,10,171,2944,2816
195,2730,5,10,171,2944,2816
196,2729,5,11,171,2944,2816
197,2729,5,11,171,2944,2816
198,2729,5,11,171,2944,2816
199,2728,6,10,171,2945,2816
200,2728,6,9,171,2946,2816
201,2728,6,8,171,2947,2816
202,2729,5,8,171,2947,2816
203,2728,5,9,171,2947,2816
204,2729,4,9,171,2947,2816
205,2729,3,10,171,2947,2816
206,2730,2,9,171,2948,2816
207,2729,3,9,171,2948,2816
208,2729,3,9,171,2948,2816
209,2729,3,8,171,2949,2816
210,2729,3,8,171,2949,2816
211,2727,5,8,171,2949,2816
212,2728,4,8,171,2949,2816
213,2729,3,8,171,2949,2816
214,2729,3,8,171,2949,2816
215,2729,3,8,171,2949,2816
216,2729,3,8,171,2949,2816
217,2729,3,8,171,2949,2816
218,2729,3,8,171,2949,2816
219,2728,4,8,171,2949,2816
220,2728,3,9,171,2949,2816
221,2728,3,9,171,2949,2816
222,2727,4,9,171,2949,2816
223,2727,4,9,171,2949,2816
224,2727,2,11,171,2949,2816
225,2728,1,11,171,2949,2816
226,2727,2,11,171,2949,2816
227,2727,2,10,171,2950,2816
228,2727,2,10,171,2950,2816
229,2727,2,10,171,2950,2816
230,2727,2,9,171,2951,2816
231,2727,2,9,171,2951,2816
232,2727,1,9,171,2952,2816
233,2728,0,9,171,2952,2816
234,2727,1,9,171,2952,2816
235,2727,1,9,171,2952,2816
236,2727,1,9,171,2952,2816
237,2727,1,9,171,2952,2816
238,2727,1,9,171,2952,2816
239,2727,1,9,171,2952,2816
240,2728,0,8,171,2953,2816
