,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+
0,3,1,0,0,0,1,0,0,0
1,3,1,0,0,0,1,0,0,0
2,3,1,0,0,0,1,0,0,0
3,3,1,0,0,0,1,0,0,0
4,3,1,0,0,0,1,0,0,0
5,3,1,0,0,0,1,0,0,0
6,3,1,0,0,0,1,0,0,0
7,4,1,0,0,0,1,0,0,0
8,6,1,1,1,0,1,0,0,0
9,7,2,5,2,1,1,0,0,0
10,9,8,14,9,6,1,0,0,0
11,14,22,31,15,13,2,0,0,0
12,26,45,55,31,22,5,0,0,0
13,41,71,96,61,35,6,0,0,0
14,72,109,143,106,50,14,0,0,0
15,106,146,195,151,73,17,0,0,0
16,143,178,234,192,99,24,0,0,0
17,170,207,292,233,118,24,0,0,0
18,197,234,337,268,129,27,0,0,0
19,218,258,384,297,137,28,0,0,0
20,239,285,404,314,143,29,0,0,0
21,264,306,417,329,148,33,0,0,0
22,285,332,433,345,152,35,0,0,0
23,315,353,445,351,154,35,0,0,0
24,340,364,461,358,158,36,0,0,0
25,355,380,462,366,159,36,0,0,0
26,375,397,468,370,164,37,0,0,0
27,396,411,471,377,165,39,0,0,0
28,416,418,476,383,165,39,0,0,0
29,432,431,479,388,167,40,0,0,0
30,447,442,484,390,168,40,0,0,0
31,461,451,487,392,168,41,0,0,0
32,481,456,487,394,168,41,0,0,0
33,506,467,488,396,169,41,0,0,0
34,521,479,489,397,171,41,0,0,0
35,535,483,491,397,171,41,0,0,0
36,548,491,492,397,171,41,0,0,0
37,561,499,494,398,171,41,0,0,0
38,580,506,494,399,171,41,0,0,0
39,588,513,494,399,171,41,0,0,0
40,596,517,495,399,171,41,0,0,0
41,608,521,495,400,172,41,0,0,0
42,620,526,495,400,172,41,0,0,0
43,630,530,495,400,172,41,0,0,0
44,645,538,495,400,172,41,0,0,0
45,668,545,495,400,172,41,0,0,0
46,677,552,495,400,172,41,0,0,0
47,695,557,495,400,172,41,0,0,0
48,703,559,495,400,172,41,0,0,0
49,719,562,495,400,172,41,0,0,0
50,731,567,495,400,172,41,0,0,0
51,742,573,495,400,172,41,0,0,0
52,749,576,495,400,172,41,0,0,0
53,755,578,495,400,172,41,0,0,0
54,761,581,495,400,172,41,0,0,0
55,773,584,495,400,172,41,0,0,0
56,782,584,495,400,172,41,0,0,0
57,794,587,495,400,172,41,0,0,0
58,803,587,495,400,172,41,0,0,0
59,810,588,495,400,172,41,0,0,0
60,823,589,495,400,172,41,0,0,0
61,825,591,495,400,172,41,0,0,0
62,834,594,495,400,172,41,0,0,0
63,841,596,495,400,172,41,0,0,0
64,846,598,495,400,172,41,0,0,0
65,856,598,495,400,172,41,0,0,0
66,863,598,495,400,172,41,0,0,0
67,873,600,495,400,172,41,0,0,0
68,880,600,495,400,172,41,0,0,0
69,889,601,495,400,172,41,0,0,0
70,892,601,495,400,172,41,0,0,0
71,896,601,495,400,172,41,0,0,0
72,898,601,495,400,172,41,0,0,0
73,904,602,495,400,172,41,0,0,0
74,907,602,495,400,172,41,0,0,0
75,911,602,495,400,172,41,0,0,0
76,916,602,495,400,172,41,0,0,0
77,928,602,495,400,172,41,0,0,0
78,931,603,495,400,172,41,0,0,0
79,940,603,495,400,172,41,0,0,0
80,945,603,495,400,172,41,0,0,0
81,948,603,495,400,172,41,0,0,0
82,951,605,495,400,172,41,0,0,0
83,953,605,495,400,172,41,0,0,0
84,961,605,495,400,172,41,0,0,0
85,966,605,495,400,172,41,0,0,0
86,970,605,495,400,172,41,0,0,0
87,972,605,495,400,172,41,0,0,0
88,977,605,495,400,172,41,0,0,0
89,977,605,495,400,172,41,0,0,0
90,983,606,495,400,172,41,0,0,0
91,988,606,495,400,172,41,0,0,0
92,994,606,495,400,172,41,0,0,0
93,996,606,495,400,172,41,0,0,0
94,1000,607,495,400,172,41,0,0,0
