,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+
0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
2,238,141,96,78,39,14,0,0,0
3,361,231,64,67,46,10,1,0,0
4,468,295,47,56,34,10,0,0,0
5,546,337,47,58,30,10,1,0,0
6,588,360,35,46,21,5,0,0,0
7,618,362,30,38,14,6,0,0,0
8,621,318,25,27,15,4,0,0,0
9,604,296,12,24,15,2,0,0,0
10,570,273,10,13,10,2,0,0,0
11,536,261,7,12,8,2,0,0,0
12,529,235,12,12,9,0,0,0,0
13,501,225,5,8,7,2,0,0,0
14,489,199,8,7,3,2,0,0,0
15,468,184,0,1,1,2,0,0,0
16,466,191,4,4,4,1,0,0,0
17,446,157,0,5,3,2,0,0,0
18,438,147,2,5,3,0,0,0,0
19,439,144,2,1,4,0,0,0,0
20,442,137,2,0,1,1,0,0,0
21,418,122,0,1,2,0,0,0,0
22,387,113,2,1,1,0,0,0,0
23,361,105,3,1,0,0,0,0,0
24,361,92,1,0,0,0,0,0,0
25,358,81,1,0,1,0,0,0,0
26,341,81,0,2,1,0,0,0,0
27,343,70,1,0,1,0,0,0,0
28,325,63,0,2,0,0,0,0,0
29,312,61,0,1,0,0,0,0,0
30,316,53,1,0,0,0,0,0,0
31,306,46,0,0,0,0,0,0,0
32,295,46,0,0,0,0,0,0,0
33,284,41,1,0,0,0,0,0,0
34,293,42,1,0,0,0,0,0,0
35,281,43,0,0,0,0,0,0,0
36,275,37,0,0,0,0,0,0,0
37,274,37,0,0,0,0,0,0,0
38,268,31,0,0,0,0,0,0,0
39,264,34,0,0,0,0,0,0,0
40,258,30,0,0,0,0,0,0,0
41,244,25,0,0,0,0,0,0,0
42,244,27,0,0,0,0,0,0,0
43,232,27,0,0,0,0,0,0,0
44,229,24,0,0,0,0,0,0,0
45,228,27,0,0,0,0,0,0,0
46,229,24,0,0,0,0,0,0,0
47,214,25,0,0,0,0,0,0,0
48,202,22,0,0,0,0,0,0,0
49,193,18,0,0,0,0,0,0,0
50,193,14,0,0,0,0,0,0,0
51,192,12,0,0,0,0,0,0,0
52,179,9,0,0,0,0,0,0,0
53,184,11,0,0,0,0,0,0,0
54,184,11,0,0,0,0,0,0,0
55,181,11,0,0,0,0,0,0,0
56,177,9,0,0,0,0,0,0,0
57,167,9,0,0,0,0,0,0,0
58,159,9,0,0,0,0,0,0,0
59,147,10,0,0,0,0,0,0,0
60,148,8,0,0,0,0,0,0,0
61,148,3,0,0,0,0,0,0,0
62,143,5,0,0,0,0,0,0,0
63,131,5,0,0,0,0,0,0,0
64,123,5,0,0,0,0,0,0,0
65,125,6,0,0,0,0,0,0,0
66,125,5,0,0,0,0,0,0,0
67,116,5,0,0,0,0,0,0,0
68,118,3,0,0,0,0,0,0,0
69,103,2,0,0,0,0,0,0,0
70,97,2,0,0,0,0,0,0,0
71,91,1,0,0,0,0,0,0,0
72,92,1,0,0,0,0,0,0,0
