,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+
0,2,0,0,2,1,0,0,0,0
1,2,0,0,2,1,0,0,0,0
2,2,0,0,2,1,0,0,0,0
3,2,0,0,2,1,0,0,0,0
4,2,0,1,2,1,0,0,0,0
5,2,0,1,3,2,1,0,0,0
6,2,0,1,5,3,2,0,0,0
7,2,0,1,6,5,4,0,0,0
8,2,7,2,9,5,9,0,0,0
9,2,11,2,10,7,10,0,0,0
10,2,13,2,11,10,12,0,0,0
11,2,14,3,14,12,16,0,0,0
12,2,18,4,16,15,20,0,0,0
13,2,22,4,18,21,21,0,0,0
14,2,23,4,18,26,22,0,0,0
15,2,25,4,19,28,22,0,0,0
16,2,26,4,20,29,22,0,0,0
17,2,33,4,20,29,23,0,0,0
18,2,34,5,20,29,24,0,0,0
19,2,35,5,20,32,24,0,0,0
20,2,38,5,20,33,24,0,0,0
21,2,38,5,20,33,24,0,0,0
22,2,39,5,20,33,24,0,0,0
23,2,40,5,20,33,24,0,0,0
24,2,40,5,20,34,25,0,0,0
25,2,42,5,20,34,25,0,0,0
26,2,43,5,20,34,25,0,0,0
27,2,44,5,21,34,25,0,0,0
28,2,44,5,21,34,25,0,0,0
29,2,44,5,21,35,25,0,0,0
30,2,46,5,21,35,25,0,0,0
31,2,47,5,21,35,25,0,0,0
32,2,48,5,21,35,25,0,0,0
33,2,49,6,21,35,25,0,0,0
34,2,49,6,21,35,25,0,0,0
35,2,49,6,21,35,25,0,0,0
36,2,49,6,21,35,25,0,0,0
37,2,49,6,21,35,25,0,0,0
38,2,50,6,21,35,25,0,0,0
39,2,50,6,21,35,25,0,0,0
40,2,53,6,21,35,25,0,0,0
41,2,54,6,21,35,25,0,0,0
42,2,54,6,21,35,25,0,0,0
43,2,54,6,21,35,25,0,0,0
44,2,54,6,21,35,25,0,0,0
45,2,56,6,21,35,25,0,0,0
46,2,56,6,21,35,25,0,0,0
47,2,56,6,21,35,25,0,0,0
48,2,57,6,21,35,25,0,0,0
49,2,58,6,21,35,25,0,0,0
50,2,58,6,21,35,25,0,0,0
51,2,58,6,21,35,25,0,0,0
52,2,59,6,21,35,25,0,0,0
53,2,59,6,21,35,25,0,0,0
54,2,59,6,21,35,25,0,0,0
55,2,59,6,21,35,25,0,0,0
56,2,60,6,21,35,25,0,0,0
57,2,60,6,21,35,25,0,0,0
58,2,60,6,21,35,25,0,0,0
59,2,60,6,21,35,25,0,0,0
60,2,61,6,21,35,25,0,0,0
61,2,61,6,21,35,25,0,0,0
62,2,61,6,21,35,25,0,0,0
63,2,61,6,21,35,25,0,0,0
64,2,61,6,21,35,25,0,0,0
65,2,61,6,21,35,25,0,0,0
66,2,61,6,21,35,25,0,0,0
67,2,61,6,21,35,25,0,0,0
68,2,61,6,21,35,25,0,0,0
69,2,61,6,21,35,25,0,0,0
70,2,61,6,21,35,25,0,0,0
71,2,61,6,21,35,25,0,0,0
72,2,61,6,21,35,25,0,0,0
73,2,61,6,21,35,25,0,0,0
74,2,61,6,21,35,25,0,0,0
75,2,61,6,21,35,25,0,0,0
76,2,61,6,21,35,25,0,0,0
77,2,61,6,21,35,25,0,0,0
78,2,61,6,21,35,25,0,0,0
79,2,61,6,21,35,25,0,0,0
80,2,61,6,21,35,25,0,0,0
81,2,61,6,21,35,25,0,0,0
82,2,61,6,21,35,25,0,0,0
83,2,61,6,21,35,25,0,0,0
84,2,61,6,21,35,25,0,0,0
85,2,61,6,21,35,25,0,0,0
86,2,61,6,21,35,25,0,0,0
