,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+
0,2,0,0,2,0,0,0,1,0
1,2,0,0,2,0,0,0,1,0
2,2,0,0,2,0,0,0,1,0
3,2,0,0,2,0,0,0,1,0
4,2,0,0,2,0,0,0,1,0
5,2,0,0,2,0,0,0,1,0
6,2,0,0,2,1,0,0,1,0
7,2,1,0,2,1,0,0,1,0
8,4,2,1,4,1,0,0,1,0
9,6,5,8,5,3,1,0,1,0
10,8,13,12,14,5,2,0,1,0
11,13,21,25,23,11,5,0,1,0
12,26,40,48,50,19,5,0,1,0
13,48,67,73,91,29,8,0,1,0
14,72,101,141,130,41,15,0,1,0
15,112,139,205,184,56,22,3,1,0
16,149,192,255,219,69,24,3,1,0
17,193,225,312,249,83,29,3,1,0
18,223,248,342,277,88,36,3,1,0
19,256,280,376,304,101,42,3,1,0
20,275,300,397,326,106,46,3,1,0
21,297,327,419,342,109,47,3,1,0
22,316,354,429,359,116,48,3,1,0
23,334,370,449,372,120,48,3,1,0
24,360,387,462,382,124,50,3,1,0
25,374,407,473,390,128,50,3,1,0
26,399,431,481,398,128,51,3,1,0
27,416,446,487,402,129,51,3,1,0
28,434,464,493,406,131,51,3,1,0
29,450,476,495,409,131,52,3,1,0
30,473,492,496,411,133,52,3,1,0
31,480,506,498,414,136,52,3,1,0
32,497,518,501,415,136,52,3,1,0
33,512,526,501,416,136,53,3,1,0
34,529,534,503,416,137,53,3,1,0
35,544,540,504,418,137,53,3,1,0
36,560,549,505,418,137,53,3,1,0
37,572,554,505,418,137,53,3,1,0
38,589,557,506,418,137,53,3,1,0
39,605,563,506,418,137,53,3,1,0
40,620,567,507,418,137,53,3,1,0
41,638,569,507,418,137,53,3,1,0
42,651,577,507,418,137,53,3,1,0
43,669,582,507,418,137,53,3,1,0
44,673,586,507,418,137,53,3,1,0
45,685,587,507,418,137,53,3,1,0
46,696,591,507,418,137,53,3,1,0
47,706,592,507,418,137,53,3,1,0
48,721,595,507,418,137,53,3,1,0
49,735,598,507,418,137,53,3,1,0
50,752,599,507,418,137,53,3,1,0
51,758,604,507,418,137,53,3,1,0
52,770,607,507,418,137,53,3,1,0
53,782,612,508,418,137,53,3,1,0
54,793,616,508,418,137,53,3,1,0
55,801,617,508,418,137,53,3,1,0
56,808,618,508,418,137,53,3,1,0
57,817,619,508,418,137,53,3,1,0
58,827,622,508,418,137,53,3,1,0
59,839,624,508,418,137,53,3,1,0
60,848,627,508,418,137,53,3,1,0
61,858,627,508,418,137,53,3,1,0
62,864,627,508,418,137,53,3,1,0
63,866,628,508,418,137,53,3,1,0
64,874,628,508,418,137,53,3,1,0
65,882,629,508,418,137,53,3,1,0
66,889,631,508,418,137,53,3,1,0
67,893,631,508,418,137,53,3,1,0
68,899,631,508,418,137,53,3,1,0
69,908,631,508,418,137,53,3,1,0
70,910,631,508,418,137,53,3,1,0
71,915,631,508,418,137,53,3,1,0
72,920,631,508,418,137,53,3,1,0
73,927,631,508,418,137,53,3,1,0
74,932,631,508,418,137,53,3,1,0
75,937,631,508,418,137,53,3,1,0
76,940,631,508,418,137,53,3,1,0
77,945,631,508,418,137,53,3,1,0
78,947,631,508,418,137,53,3,1,0
79,952,631,508,418,137,53,3,1,0
80,953,632,508,418,137,53,3,1,0
81,960,633,508,418,137,53,3,1,0
82,961,633,508,418,137,53,3,1,0
83,963,634,508,418,137,53,3,1,0
84,966,634,508,418,137,53,3,1,0
