,Susceptible,Exposed,Infected,Deaths,Recovered,Vaccinated
0,5305,0,8,5,5,3353
1,5305,0,8,5,5,3353
2,4726,579,8,5,5,3353
3,4264,825,224,5,5,3353
4,3926,945,441,6,5,3353
5,3668,1004,637,9,5,3353
6,3466,1033,805,14,5,3353
7,3320,1019,955,21,8,3353
8,3225,981,1081,25,11,3353
9,3158,927,1186,32,20,3353
10,3136,853,1251,44,39,3353
11,3083,803,1303,52,82,3353
12,3054,748,1288,59,174,3353
13,3025,701,1234,64,299,3353
14,3000,668,1112,74,469,3353
15,2985,630,961,81,666,3353
16,2964,593,835,87,844,3353
17,2950,564,712,95,1002,3353
18,2938,541,613,101,1130,3353
19,2889,542,552,104,1236,3353
20,2881,511,502,106,1323,3353
21,2848,508,438,111,1418,3353
22,2836,485,399,113,1490,3353
23,2818,472,363,114,1556,3353
24,2814,452,329,116,1612,3353
25,2790,452,286,119,1676,3353
26,2766,451,260,119,1727,3353
27,2775,415,257,119,1757,3353
28,2770,406,238,120,1789,3353
29,2763,397,214,120,1829,3353
30,2770,365,203,121,1864,3353
31,2773,347,182,123,1898,3353
32,2761,345,166,123,1928,3353
33,2742,349,152,124,1956,3353
34,2738,332,147,124,1982,3353
35,2734,324,141,125,1999,3353
36,2730,310,138,125,2020,3353
37,2726,297,134,125,2041,3353
38,2721,288,126,126,2062,3353
39,2706,290,128,127,2072,3353
40,2694,287,122,127,2093,3353
41,2696,274,124,127,2102,3353
42,2700,260,115,128,2120,3353
43,2691,253,118,129,2132,3353
44,2682,250,117,129,2145,3353
45,2691,231,111,129,2161,3353
46,2687,216,115,129,2176,3353
47,2689,201,115,129,2189,3353
48,2683,195,110,131,2204,3353
49,2674,201,98,132,2218,3353
50,2675,191,93,133,2231,3353
51,2678,182,92,133,2238,3353
52,2666,184,84,133,2256,3353
53,2660,183,85,133,2262,3353
54,2662,176,80,133,2272,3353
55,2656,177,78,133,2279,3353
56,2650,175,71,133,2294,3353
57,2648,163,70,133,2309,3353
58,2642,157,73,133,2318,3353
59,2629,162,71,133,2328,3353
60,2637,149,73,133,2331,3353
61,2629,151,69,133,2341,3353
62,2624,149,64,133,2353,3353
63,2622,142,65,133,2361,3353
64,2624,131,71,133,2364,3353
65,2620,132,66,133,2372,3353
66,2606,140,60,133,2384,3353
67,2604,136,60,133,2390,3353
68,2613,123,55,133,2399,3353
69,2603,128,51,133,2408,3353
70,2602,123,54,133,2411,3353
71,2596,125,50,133,2419,3353
72,2597,118,47,133,2428,3353
73,2602,109,48,133,2431,3353
74,2605,101,44,133,2440,3353
75,2606,95,44,133,2445,3353
76,2610,89,40,133,2451,3353
77,2606,90,39,133,2455,3353
78,2596,97,34,133,2463,3353
79,2595,92,37,133,2466,3353
80,2595,84,42,133,2469,3353
81,2592,84,38,133,2476,3353
82,2589,82,38,133,2481,3353
83,2589,80,34,133,2487,3353
84,2587,75,38,133,2490,3353
85,2590,68,36,133,2496,3353
86,2588,69,34,133,2499,3353
87,2586,66,37,133,2501,3353
88,2587,62,35,133,2506,3353
89,2584,63,30,133,2513,3353
90,2588,58,28,133,2516,3353
91,2590,54,27,133,2519,3353
92,2585,55,30,133,2520,3353
93,2585,53,29,133,2523,3353
94,2584,51,28,133,2527,3353
95,2581,53,28,133,2528,3353
96,2580,51,28,133,2531,3353
97,2579,51,26,133,2534,3353
98,2575,51,26,133,2538,3353
99,2579,47,24,133,2540,3353
100,2582,43,21,133,2544,3353
101,2582,42,20,133,2546,3353
102,2579,41,22,133,2548,3353
103,2578,42,21,133,2549,3353
104,2581,38,19,133,2552,3353
105,2580,39,16,133,2555,3353
106,2578,41,13,133,2558,3353
107,2573,43,13,133,2561,3353
108,2568,47,14,133,2561,3353
109,2574,40,15,133,2561,3353
110,2575,39,14,133,2562,3353
111,2575,39,14,133,2562,3353
112,2572,42,14,133,2562,3353
113,2570,44,13,133,2563,3353
114,2574,40,11,133,2565,3353
115,2576,37,11,133,2566,3353
116,2576,35,12,133,2567,3353
117,2573,36,13,133,2568,3353
118,2571,36,15,133,2568,3353
119,2569,37,15,133,2569,3353
120,2570,35,16,133,2569,3353
121,2566,39,15,133,2570,3353
122,2564,41,15,133,2570,3353
123,2564,39,16,133,2571,3353
124,2567,32,20,133,2571,3353
125,2570,28,19,133,2573,3353
126,2568,30,17,133,2575,3353
127,2570,26,19,133,2575,3353
128,2570,24,19,133,2577,3353
129,2574,20,18,133,2578,3353
130,2573,20,18,133,2579,3353
131,2569,24,18,133,2579,3353
132,2567,24,15,133,2584,3353
133,2568,22,14,133,2586,3353
134,2567,20,17,133,2586,3353
135,2567,20,17,133,2586,3353
136,2569,17,17,133,2587,3353
137,2567,18,17,133,2588,3353
138,2565,19,15,133,2591,3353
139,2564,20,15,133,2591,3353
140,2563,20,16,133,2591,3353
