,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+
0,0,1,1,0,1,1,0,1,0
1,0,1,1,0,1,1,0,1,0
2,0,1,1,0,1,1,0,1,0
3,0,1,1,0,1,1,0,1,0
4,0,1,1,0,1,1,0,1,0
5,0,1,1,0,1,1,0,1,0
6,0,1,1,0,1,1,0,1,0
7,0,1,2,0,1,1,0,1,0
8,2,2,4,1,2,1,0,1,0
9,3,4,12,5,5,2,0,1,0
10,3,7,20,10,7,3,0,1,0
11,15,23,34,20,14,3,0,1,0
12,33,42,59,39,26,7,0,1,0
13,57,64,87,58,40,11,0,1,0
14,90,95,141,99,58,16,0,1,0
15,113,133,194,147,77,25,0,1,0
16,150,177,246,195,99,30,0,1,0
17,178,211,297,222,114,39,0,1,0
18,209,251,332,252,129,41,0,1,0
19,232,275,366,278,134,43,0,1,0
20,246,296,379,296,146,44,0,1,0
21,273,318,400,309,152,46,0,1,0
22,289,348,417,320,159,49,0,1,0
23,315,364,432,329,161,51,0,1,0
24,328,378,438,339,163,51,0,1,0
25,343,394,442,348,165,51,0,1,0
26,365,407,446,359,166,51,0,1,0
27,382,415,452,361,166,52,0,1,0
28,397,430,452,364,168,52,0,1,0
29,414,445,457,366,169,54,0,1,0
30,432,456,461,369,169,55,0,1,0
31,446,467,461,369,170,55,0,1,0
32,469,478,462,369,170,56,0,1,0
33,482,484,462,370,172,56,0,1,0
34,492,494,462,373,173,57,0,1,0
35,500,499,462,373,173,57,0,1,0
36,516,500,463,373,173,57,0,1,0
37,532,503,463,373,173,57,0,1,0
38,544,506,463,373,173,57,0,1,0
39,561,510,464,373,173,57,0,1,0
40,574,516,464,373,173,57,0,1,0
41,591,520,465,374,173,57,0,1,0
42,607,527,465,375,173,57,0,1,0
43,616,527,465,375,173,57,0,1,0
44,629,534,465,375,173,57,0,1,0
45,648,539,465,375,173,57,0,1,0
46,662,542,465,375,173,57,0,1,0
47,676,545,465,375,173,57,0,1,0
48,684,548,465,375,173,57,0,1,0
49,697,549,465,375,173,57,0,1,0
50,704,553,465,375,173,57,0,1,0
51,710,555,465,375,173,57,0,1,0
52,716,555,465,375,173,57,0,1,0
53,722,557,465,375,173,57,0,1,0
54,726,559,465,375,173,57,0,1,0
55,734,563,465,375,173,57,0,1,0
56,747,566,465,375,173,57,0,1,0
57,755,567,465,375,173,57,0,1,0
58,765,567,465,375,173,57,0,1,0
59,775,568,465,375,173,57,0,1,0
60,779,571,465,375,173,57,0,1,0
61,786,572,465,375,173,57,0,1,0
62,796,573,465,375,173,57,0,1,0
63,804,574,465,375,173,57,0,1,0
64,809,574,466,375,173,57,0,1,0
65,817,576,466,375,173,57,0,1,0
66,829,576,466,375,173,57,0,1,0
67,836,576,466,375,173,57,0,1,0
68,841,576,466,375,173,57,0,1,0
69,848,576,466,375,173,57,0,1,0
70,854,579,466,375,173,57,0,1,0
71,857,580,466,375,173,57,0,1,0
72,861,581,466,375,173,57,0,1,0
73,870,582,466,375,173,57,0,1,0
74,876,583,466,375,173,57,0,1,0
75,885,583,466,375,173,57,0,1,0
76,893,584,466,375,173,57,0,1,0
77,897,585,466,375,173,57,0,1,0
78,904,585,466,375,173,57,0,1,0
79,904,585,466,375,173,57,0,1,0
80,908,585,466,375,173,57,0,1,0
81,909,585,466,375,173,57,0,1,0
82,915,585,466,375,173,57,0,1,0
83,920,585,466,375,173,57,0,1,0
84,925,585,466,375,173,57,0,1,0
85,927,586,466,375,173,57,0,1,0
86,934,586,466,375,173,57,0,1,0
87,939,586,466,375,173,57,0,1,0
88,944,586,466,375,173,57,0,1,0
89,947,586,466,375,173,57,0,1,0
90,950,586,466,375,173,57,0,1,0
91,953,586,466,375,173,57,0,1,0
92,955,586,466,375,173,57,0,1,0
93,957,586,466,375,173,57,0,1,0
94,960,586,466,375,173,57,0,1,0
95,963,586,466,375,173,57,0,1,0
96,963,587,466,375,173,57,0,1,0
97,965,587,466,375,173,57,0,1,0
98,970,587,466,375,173,57,0,1,0
99,975,587,466,375,173,57,0,1,0
100,976,587,466,375,173,57,0,1,0
101,977,587,466,375,173,57,0,1,0
102,981,587,466,375,173,57,0,1,0
103,983,587,466,375,173,57,0,1,0
104,984,587,466,375,173,57,0,1,0
105,984,587,466,375,173,57,0,1,0
106,986,587,466,375,173,57,0,1,0
107,990,587,466,375,173,57,0,1,0
108,990,587,466,375,173,57,0,1,0
109,991,587,466,375,173,57,0,1,0
110,993,587,466,375,173,57,0,1,0
111,994,587,466,375,173,57,0,1,0
112,994,587,466,375,173,57,0,1,0
113,995,587,466,375,173,57,0,1,0
114,996,587,466,375,173,57,0,1,0
115,999,587,466,375,173,57,0,1,0
116,1000,587,466,375,173,57,0,1,0
117,1002,587,466,375,173,57,0,1,0
118,1004,587,466,375,173,57,0,1,0
119,1005,587,466,375,173,57,0,1,0
120,1008,587,466,375,173,57,0,1,0
121,1009,587,466,375,173,57,0,1,0
122,1009,587,466,375,173,57,0,1,0
123,1011,587,466,375,173,57,0,1,0
124,1011,587,466,375,173,57,0,1,0
125,1013,587,466,375,173,57,0,1,0
126,1013,587,466,375,173,57,0,1,0
127,1016,588,466,375,173,57,0,1,0
128,1018,588,466,375,173,57,0,1,0
129,1020,588,466,375,173,57,0,1,0
130,1023,588,466,375,173,57,0,1,0
131,1026,588,466,375,173,57,0,1,0
132,1027,588,466,375,173,57,0,1,0
133,1031,588,466,375,173,57,0,1,0
134,1032,588,466,375,173,57,0,1,0
135,1034,588,466,375,173,57,0,1,0
136,1036,588,466,375,173,57,0,1,0
137,1038,588,466,375,173,57,0,1,0
138,1041,588,466,375,173,57,0,1,0
139,1043,588,466,375,173,57,0,1,0
140,1044,588,466,375,173,57,0,1,0
141,1044,588,466,375,173,57,0,1,0
142,1045,588,466,375,173,57,0,1,0
143,1047,588,466,375,173,57,0,1,0
144,1048,588,466,375,173,57,0,1,0
145,1049,588,466,375,173,57,0,1,0
146,1050,588,466,375,173,57,0,1,0
147,1052,588,466,375,173,57,0,1,0
148,1052,588,466,375,173,57,0,1,0
149,1052,588,466,375,173,57,0,1,0
150,1052,588,466,375,173,57,0,1,0
151,1052,588,466,375,173,57,0,1,0
152,1052,588,466,375,173,57,0,1,0
153,1053,588,466,375,173,57,0,1,0
154,1053,588,466,375,173,57,0,1,0
155,1053,588,466,375,173,57,0,1,0
156,1053,588,466,375,173,57,0,1,0
157,1054,588,466,375,173,57,0,1,0
158,1054,588,466,375,173,57,0,1,0
159,1054,588,466,375,173,57,0,1,0
160,1054,588,466,375,173,57,0,1,0
161,1056,588,466,375,173,57,0,1,0
162,1056,588,466,375,173,57,0,1,0
163,1057,588,466,375,173,57,0,1,0
164,1057,588,466,375,173,57,0,1,0
165,1057,588,466,375,173,57,0,1,0
166,1057,588,466,375,173,57,0,1,0
167,1058,588,466,375,173,57,0,1,0
168,1058,588,466,375,173,57,0,1,0
169,1060,588,466,375,173,57,0,1,0
170,1060,588,466,375,173,57,0,1,0
171,1060,588,466,375,173,57,0,1,0
172,1061,588,466,375,173,57,0,1,0
173,1062,588,466,375,173,57,0,1,0
174,1062,588,466,375,173,57,0,1,0
175,1062,588,466,375,173,57,0,1,0
176,1062,588,466,375,173,57,0,1,0
177,1063,588,466,375,173,57,0,1,0
178,1063,588,466,375,173,57,0,1,0
179,1063,588,466,375,173,57,0,1,0
180,1063,588,466,375,173,57,0,1,0
181,1063,588,466,375,173,57,0,1,0
182,1063,588,466,375,173,57,0,1,0
183,1063,588,466,375,173,57,0,1,0
184,1063,588,466,375,173,57,0,1,0
185,1063,588,466,375,173,57,0,1,0
186,1063,588,466,375,173,57,0,1,0
187,1064,588,466,375,173,57,0,1,0
188,1064,588,466,375,173,57,0,1,0
189,1065,588,466,375,173,57,0,1,0
190,1065,588,466,375,173,57,0,1,0
191,1065,588,466,375,173,57,0,1,0
192,1065,588,466,375,173,57,0,1,0
193,1066,588,466,375,173,57,0,1,0
194,1066,588,466,375,173,57,0,1,0
195,1066,588,466,375,173,57,0,1,0
196,1066,588,466,375,173,57,0,1,0
197,1066,588,466,375,173,57,0,1,0
198,1066,588,466,375,173,57,0,1,0
199,1066,588,466,375,173,57,0,1,0
200,1066,588,466,375,173,57,0,1,0
201,1066,588,466,375,173,57,0,1,0
202,1066,588,466,375,173,57,0,1,0
203,1066,588,466,375,173,57,0,1,0
204,1067,588,466,375,173,57,0,1,0
205,1067,588,466,375,173,57,0,1,0
206,1067,588,466,375,173,57,0,1,0
207,1067,588,466,375,173,57,0,1,0
208,1067,588,466,375,173,57,0,1,0
209,1067,588,466,375,173,57,0,1,0
210,1067,588,466,375,173,57,0,1,0
211,1067,588,466,375,173,57,0,1,0
212,1067,588,466,375,173,57,0,1,0
213,1068,588,466,375,173,57,0,1,0
214,1068,588,466,375,173,57,0,1,0
215,1068,588,466,375,173,57,0,1,0
216,1068,588,466,375,173,57,0,1,0
217,1068,588,466,375,173,57,0,1,0
218,1068,588,466,375,173,57,0,1,0
219,1068,588,466,375,173,57,0,1,0
220,1068,588,466,375,173,57,0,1,0
221,1068,588,466,375,173,57,0,1,0
222,1068,588,466,375,173,57,0,1,0
223,1068,588,466,375,173,57,0,1,0
224,1068,588,466,375,173,57,0,1,0
225,1068,588,466,375,173,57,0,1,0
226,1068,588,466,375,173,57,0,1,0
227,1068,588,466,375,173,57,0,1,0
228,1068,588,466,375,173,57,0,1,0
229,1069,588,466,375,173,57,0,1,0
230,1069,588,466,375,173,57,0,1,0
231,1069,588,466,375,173,57,0,1,0
232,1069,588,466,375,173,57,0,1,0
233,1069,588,466,375,173,57,0,1,0
234,1069,588,466,375,173,57,0,1,0
235,1069,588,466,375,173,57,0,1,0
236,1069,588,466,375,173,57,0,1,0
237,1069,588,466,375,173,57,0,1,0
238,1069,588,466,375,173,57,0,1,0
239,1069,588,466,375,173,57,0,1,0
240,1069,588,466,375,173,57,0,1,0
