,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+
0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
2,218,135,89,68,39,17,0,0,0
3,374,248,92,66,52,18,0,0,0
4,477,301,71,54,43,20,0,0,0
5,564,340,48,40,33,13,0,0,0
6,625,330,37,43,24,12,0,0,0
7,642,324,19,23,17,11,0,0,0
8,648,333,21,19,23,8,0,0,0
9,642,312,15,22,15,3,0,0,0
10,626,264,9,20,15,4,0,0,0
11,595,245,13,15,14,4,0,0,0
12,556,221,13,10,8,1,0,0,0
13,542,201,6,4,7,3,0,0,0
14,512,180,8,4,5,2,0,0,0
15,496,169,4,2,5,3,0,0,0
16,488,151,3,5,4,0,0,0,0
17,481,143,4,5,3,0,0,0,0
18,466,132,3,5,3,1,0,0,0
19,434,123,1,2,3,1,0,0,0
20,434,112,1,3,0,0,0,0,0
21,433,103,0,0,0,0,0,0,0
22,433,92,3,0,1,0,0,0,0
23,409,76,1,1,0,0,0,0,0
24,401,72,0,0,1,1,0,0,0
25,407,66,0,0,1,1,0,0,0
26,397,64,0,0,0,0,0,0,0
27,377,62,0,0,1,0,0,0,0
28,371,60,0,0,1,0,0,0,0
29,366,61,0,0,1,0,0,0,0
30,351,62,0,0,0,0,0,0,0
31,341,57,0,0,1,0,0,0,0
32,313,51,0,0,0,0,0,0,0
33,313,46,0,0,0,0,0,0,0
34,317,37,0,0,0,0,0,0,0
35,316,36,0,0,0,0,0,0,0
36,300,36,0,0,0,0,0,0,0
37,286,33,0,0,0,0,0,0,0
38,270,37,0,0,0,0,0,0,0
39,268,35,0,0,0,0,0,0,0
40,269,30,0,0,0,0,0,0,0
41,272,29,0,0,0,0,0,0,0
42,264,27,0,0,0,0,0,0,0
43,249,20,0,0,0,0,0,0,0
44,233,19,0,0,0,0,0,0,0
45,225,16,0,0,0,0,0,0,0
46,217,16,0,0,0,0,0,0,0
47,219,13,0,0,0,0,0,0,0
48,214,10,0,0,0,0,0,0,0
49,201,8,0,0,0,0,0,0,0
50,189,11,0,0,0,0,0,0,0
51,183,9,0,0,0,0,0,0,0
52,174,10,0,0,0,0,0,0,0
53,177,8,0,0,0,0,0,0,0
54,183,8,0,0,0,0,0,0,0
55,183,9,0,0,0,0,0,0,0
56,167,9,0,0,0,0,0,0,0
57,157,10,0,0,0,0,0,0,0
58,147,9,0,0,0,0,0,0,0
59,150,8,0,0,0,0,0,0,0
60,147,7,0,0,0,0,0,0,0
61,150,5,0,0,0,0,0,0,0
62,143,5,0,0,0,0,0,0,0
63,137,4,0,0,0,0,0,0,0
64,133,3,0,0,0,0,0,0,0
65,120,5,0,0,0,0,0,0,0
66,115,4,0,0,0,0,0,0,0
67,114,3,0,0,0,0,0,0,0
68,112,2,0,0,0,0,0,0,0
69,105,3,0,0,0,0,0,0,0
70,109,3,0,0,0,0,0,0,0
71,105,1,0,0,0,0,0,0,0
72,106,1,0,0,0,0,0,0,0
