,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+
0,0,1,1,2,1,0,0,0,0
1,0,1,1,2,1,0,0,0,0
2,0,1,1,2,1,0,0,0,0
3,0,1,1,2,1,0,0,0,0
4,0,1,1,2,1,1,0,0,0
5,0,2,1,2,2,5,0,0,0
6,0,3,1,4,5,6,0,0,0
7,0,4,2,5,8,10,0,0,0
8,0,5,3,7,9,11,0,0,0
9,0,7,3,7,15,14,0,0,0
10,0,8,4,12,20,20,1,0,0
11,0,10,4,13,24,26,1,0,0
12,0,14,5,15,27,28,1,0,0
13,0,18,5,17,34,31,1,0,0
14,0,22,5,19,37,32,1,0,0
15,0,24,6,21,41,33,1,0,0
16,0,28,6,21,42,33,1,0,0
17,0,28,6,22,45,35,1,0,0
18,0,30,7,22,46,36,1,0,0
19,0,34,7,22,46,37,1,0,0
20,0,36,7,23,47,37,1,0,0
21,0,36,7,23,48,38,1,0,0
22,0,36,7,23,50,40,1,0,0
23,0,39,7,23,50,41,1,0,0
24,0,43,7,23,50,41,1,0,0
25,0,43,7,23,51,41,1,0,0
26,0,43,7,23,51,42,1,0,0
27,0,44,7,23,51,43,1,0,0
28,0,45,7,23,51,43,1,0,0
29,0,45,7,23,52,43,1,0,0
30,0,45,7,23,52,43,1,0,0
31,0,45,7,23,52,43,1,0,0
32,0,46,7,23,52,43,1,0,0
33,0,46,7,23,52,43,1,0,0
34,0,46,7,23,52,43,1,0,0
35,0,46,7,23,52,43,1,0,0
36,0,46,7,23,52,43,1,0,0
37,0,46,7,23,52,43,1,0,0
38,0,48,7,23,52,43,1,0,0
39,0,49,7,23,52,43,1,0,0
40,0,49,7,23,52,43,1,0,0
41,0,49,7,23,52,43,1,0,0
42,0,49,7,23,52,43,1,0,0
43,0,49,7,23,52,43,1,0,0
44,0,49,7,23,52,43,1,0,0
45,0,50,7,23,52,43,1,0,0
46,0,50,7,23,52,43,1,0,0
47,0,50,7,23,52,43,1,0,0
48,0,50,7,23,52,43,1,0,0
49,0,50,7,23,52,43,1,0,0
50,0,50,7,23,52,43,1,0,0
51,0,50,7,23,52,43,1,0,0
52,0,51,7,23,52,43,1,0,0
53,0,51,7,23,52,43,1,0,0
54,0,51,7,23,52,43,1,0,0
55,0,51,7,23,52,43,1,0,0
56,0,51,7,23,52,43,1,0,0
57,0,51,7,23,52,43,1,0,0
58,0,51,7,23,52,43,1,0,0
59,0,51,7,23,52,43,1,0,0
60,0,51,7,23,52,43,1,0,0
61,0,51,7,23,52,43,1,0,0
62,0,51,7,23,52,43,1,0,0
63,0,51,7,23,52,43,1,0,0
64,0,51,7,23,52,43,1,0,0
65,0,51,7,23,52,43,1,0,0
66,0,51,7,23,52,43,1,0,0
67,0,51,7,23,52,43,1,0,0
68,0,51,7,23,52,43,1,0,0
69,0,51,7,23,52,43,1,0,0
70,0,51,7,23,52,43,1,0,0
71,0,51,7,23,52,43,1,0,0
72,0,51,7,23,52,43,1,0,0
73,0,51,7,23,52,43,1,0,0
74,0,51,7,23,52,43,1,0,0
75,0,51,7,23,52,43,1,0,0
76,0,51,7,23,52,43,1,0,0
77,0,51,7,23,52,43,1,0,0
78,0,51,7,23,52,43,1,0,0
79,0,51,7,23,52,43,1,0,0
80,0,51,7,23,52,43,1,0,0
81,0,51,7,23,52,43,1,0,0
82,0,51,7,23,52,43,1,0,0
83,0,51,7,23,52,43,1,0,0
84,0,51,7,23,52,43,1,0,0
85,0,51,7,23,52,43,1,0,0
86,0,51,7,23,52,43,1,0,0
87,0,51,7,23,52,43,1,0,0
88,0,51,7,23,52,43,1,0,0
89,0,51,7,23,52,43,1,0,0
90,0,51,7,23,52,43,1,0,0
91,0,51,7,23,52,43,1,0,0
