,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+
0,1,1,0,1,0,1,0,0,1
1,1,1,0,1,0,1,0,0,1
2,1,1,0,1,0,1,0,0,1
3,1,1,0,1,0,1,0,0,1
4,1,1,0,1,0,1,0,0,1
5,1,1,1,1,0,1,0,0,1
6,1,1,1,2,0,1,0,0,1
7,1,1,3,2,0,1,0,0,1
8,2,1,5,2,1,2,0,0,1
9,4,1,10,2,3,3,0,0,1
10,6,8,16,6,6,3,0,0,1
11,17,18,26,18,13,3,0,0,1
12,31,40,51,43,18,5,0,0,1
13,51,70,91,74,28,14,0,0,1
14,83,104,136,110,41,18,0,0,1
15,120,132,184,155,54,25,0,0,1
16,160,173,238,194,67,31,0,0,1
17,191,210,286,228,82,34,0,0,1
18,222,237,333,258,92,39,0,0,1
19,245,260,358,285,102,40,0,0,1
20,269,284,382,296,109,41,0,0,1
21,298,306,395,312,116,41,0,0,1
22,326,325,409,326,121,41,0,0,1
23,342,343,420,334,127,41,0,0,1
24,361,359,430,343,131,42,0,0,1
25,383,383,434,348,134,44,0,0,1
26,404,397,435,352,137,44,0,0,1
27,417,410,444,354,139,44,0,0,1
28,435,435,445,356,140,44,0,0,1
29,452,448,450,357,142,44,0,0,1
30,472,462,452,359,143,44,0,0,1
31,491,471,453,363,144,44,0,0,1
32,509,479,454,364,144,44,0,0,1
33,525,483,454,364,145,44,0,0,1
34,541,496,455,364,145,44,0,0,1
35,560,504,456,365,145,44,0,0,1
36,571,514,456,365,145,44,0,0,1
37,587,522,457,365,145,44,0,0,1
38,596,528,458,365,145,44,0,0,1
39,608,536,458,366,145,44,0,0,1
40,625,542,458,366,145,44,0,0,1
41,641,544,458,367,145,44,0,0,1
42,650,551,459,367,145,44,0,0,1
43,671,553,459,367,145,44,0,0,1
44,685,557,459,367,145,44,0,0,1
45,691,558,459,367,145,44,0,0,1
46,697,560,459,367,145,44,0,0,1
47,707,562,459,367,145,44,0,0,1
48,720,567,459,367,145,44,0,0,1
49,731,571,459,367,145,44,0,0,1
50,743,576,459,367,145,44,0,0,1
51,752,577,459,367,145,44,0,0,1
52,758,580,459,367,145,44,0,0,1
53,770,582,459,367,145,44,0,0,1
54,777,584,459,367,145,44,0,0,1
55,781,585,459,367,145,44,0,0,1
56,787,585,459,367,145,44,0,0,1
57,794,586,459,367,145,44,0,0,1
58,801,589,459,367,145,44,0,0,1
59,804,589,459,367,145,44,0,0,1
60,813,591,459,367,145,44,0,0,1
61,821,592,459,367,145,44,0,0,1
62,824,593,459,367,145,44,0,0,1
63,826,593,459,367,145,44,0,0,1
64,830,593,459,367,145,44,0,0,1
65,834,593,459,367,145,44,0,0,1
66,842,593,459,367,145,44,0,0,1
67,847,594,459,367,145,44,0,0,1
68,856,594,459,367,145,44,0,0,1
69,861,594,459,367,145,44,0,0,1
70,868,594,459,367,145,44,0,0,1
71,876,596,459,367,145,44,0,0,1
72,879,598,459,367,145,44,0,0,1
73,886,598,459,367,145,44,0,0,1
74,893,599,459,367,145,44,0,0,1
75,900,599,459,367,145,44,0,0,1
76,904,599,459,367,145,44,0,0,1
77,908,599,459,367,145,44,0,0,1
78,914,599,459,367,145,44,0,0,1
79,915,599,459,367,145,44,0,0,1
80,919,599,459,367,145,44,0,0,1
81,922,599,459,367,145,44,0,0,1
82,926,599,459,367,145,44,0,0,1
83,928,599,459,367,145,44,0,0,1
84,932,599,459,367,145,44,0,0,1
85,937,599,459,367,145,44,0,0,1
86,938,599,459,367,145,44,0,0,1
87,943,599,459,367,145,44,0,0,1
88,948,599,459,367,145,44,0,0,1
89,952,600,459,367,145,44,0,0,1
90,957,600,459,367,145,44,0,0,1
91,960,601,459,367,145,44,0,0,1
92,961,601,459,367,145,44,0,0,1
93,964,601,459,367,145,44,0,0,1
94,965,602,459,367,145,44,0,0,1
95,967,603,459,367,145,44,0,0,1
96,970,603,459,367,145,44,0,0,1
97,971,603,459,367,145,44,0,0,1
98,972,603,459,367,145,44,0,0,1
99,974,604,459,367,145,44,0,0,1
100,976,604,459,367,145,44,0,0,1
101,979,604,459,367,145,44,0,0,1
102,981,604,459,367,145,44,0,0,1
103,984,604,459,367,145,44,0,0,1
104,985,604,459,367,145,44,0,0,1
105,986,604,459,367,145,44,0,0,1
106,987,604,459,367,145,44,0,0,1
107,987,604,459,367,145,44,0,0,1
108,989,604,459,367,145,44,0,0,1
109,989,604,459,367,145,44,0,0,1
110,991,604,459,367,145,44,0,0,1
111,991,604,459,367,145,44,0,0,1
112,993,604,459,367,145,44,0,0,1
113,997,604,459,367,145,44,0,0,1
114,1000,604,459,367,145,44,0,0,1
115,1002,604,459,367,145,44,0,0,1
116,1003,604,459,367,145,44,0,0,1
117,1004,604,459,367,145,44,0,0,1
118,1007,604,459,367,145,44,0,0,1
119,1008,604,459,367,145,44,0,0,1
120,1009,604,459,367,145,44,0,0,1
121,1011,604,459,367,145,44,0,0,1
122,1012,604,459,367,145,44,0,0,1
123,1012,604,459,367,145,44,0,0,1
124,1017,604,459,367,145,44,0,0,1
125,1019,604,459,367,145,44,0,0,1
126,1019,604,459,367,145,44,0,0,1
127,1022,604,459,367,145,44,0,0,1
128,1024,604,459,367,145,44,0,0,1
129,1026,604,459,367,145,44,0,0,1
130,1027,604,459,367,145,44,0,0,1
131,1030,604,459,367,145,44,0,0,1
132,1031,604,459,367,145,44,0,0,1
133,1034,604,459,367,145,44,0,0,1
134,1035,604,459,367,145,44,0,0,1
135,1036,604,459,367,145,44,0,0,1
136,1037,604,459,367,145,44,0,0,1
137,1037,604,459,367,145,44,0,0,1
138,1039,604,459,367,145,44,0,0,1
139,1039,604,459,367,145,44,0,0,1
140,1039,604,459,367,145,44,0,0,1
141,1039,604,459,367,145,44,0,0,1
142,1039,604,459,367,145,44,0,0,1
143,1040,604,459,367,145,44,0,0,1
144,1041,604,459,367,145,44,0,0,1
145,1042,604,459,367,145,44,0,0,1
146,1043,604,459,367,145,44,0,0,1
147,1044,604,459,367,145,44,0,0,1
148,1044,604,459,367,145,44,0,0,1
149,1046,604,459,367,145,44,0,0,1
150,1047,604,459,367,145,44,0,0,1
151,1047,604,459,367,145,44,0,0,1
152,1047,604,459,367,145,44,0,0,1
153,1050,604,459,367,145,44,0,0,1
154,1050,604,459,367,145,44,0,0,1
155,1050,604,459,367,145,44,0,0,1
156,1050,604,459,367,145,44,0,0,1
