,Susceptible,Exposed,Infected,Deaths,Recovered,Vaccinated
0,5686,0,8,5,5,2972
1,5686,0,8,5,5,2972
2,5055,631,8,5,5,2972
3,4595,877,222,5,5,2972
4,4228,1027,435,9,5,2972
5,3952,1071,662,12,7,2972
6,3756,1093,827,21,7,2972
7,3608,1081,978,29,8,2972
8,3484,1049,1123,38,10,2972
9,3397,1021,1220,44,22,2972
10,3356,939,1307,57,45,2972
11,3313,892,1345,64,90,2972
12,3274,836,1342,80,172,2972
13,3261,774,1284,91,294,2972
14,3238,733,1176,102,455,2972
15,3215,697,1010,113,669,2972
16,3194,671,861,114,864,2972
17,3194,618,741,116,1035,2972
18,3165,603,651,121,1164,2972
19,3122,600,595,124,1263,2972
20,3093,593,500,129,1389,2972
21,3072,586,445,130,1471,2972
22,3063,558,405,132,1546,2972
23,3056,536,372,133,1607,2972
24,3052,521,325,134,1672,2972
25,3060,478,298,135,1733,2972
26,3045,450,289,136,1784,2972
27,3035,434,270,138,1827,2972
28,3020,435,247,139,1863,2972
29,3002,436,227,141,1898,2972
30,3009,405,204,143,1943,2972
31,2988,411,198,145,1962,2972
32,2982,391,191,145,1995,2972
33,2983,374,175,148,2024,2972
34,2978,365,159,149,2053,2972
35,2975,357,151,149,2072,2972
36,2981,329,149,149,2096,2972
37,2976,317,143,150,2118,2972
38,2976,293,148,150,2137,2972
39,2963,291,148,150,2152,2972
40,2964,271,146,150,2173,2972
41,2938,280,141,150,2195,2972
42,2928,278,133,151,2214,2972
43,2912,283,126,151,2232,2972
44,2921,262,120,152,2249,2972
45,2916,256,117,152,2263,2972
46,2915,244,112,152,2281,2972
47,2917,232,104,153,2298,2972
48,2913,224,98,153,2316,2972
49,2908,218,90,153,2335,2972
50,2894,222,93,153,2342,2972
51,2897,206,94,153,2354,2972
52,2891,203,88,153,2369,2972
53,2888,196,90,153,2377,2972
54,2884,187,94,153,2386,2972
55,2888,177,89,153,2397,2972
56,2884,169,91,153,2407,2972
57,2882,163,86,153,2420,2972
58,2885,148,90,153,2428,2972
59,2876,146,94,153,2435,2972
60,2868,149,87,153,2447,2972
61,2867,143,79,153,2462,2972
62,2862,140,73,153,2476,2972
63,2872,123,72,153,2484,2972
