,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+
0,1,0,0,2,0,1,1,0,0
1,1,0,0,2,0,1,1,0,0
2,1,0,0,2,0,1,1,0,0
3,1,0,0,2,0,1,1,0,0
4,1,0,0,2,0,1,1,0,0
5,1,0,0,3,0,1,1,0,0
6,1,0,0,3,0,1,1,0,0
7,1,0,0,3,0,1,1,0,0
8,2,1,2,5,0,1,1,0,0
9,6,5,5,8,0,1,1,0,0
10,9,13,9,15,0,1,1,0,0
11,16,21,23,24,4,3,1,0,0
12,32,31,51,42,11,3,1,0,0
13,53,56,88,73,27,8,1,0,0
14,77,80,129,109,36,15,1,0,0
15,108,135,190,140,55,22,1,0,0
16,153,180,242,178,79,26,1,0,0
17,188,221,296,207,99,32,1,0,0
18,215,253,337,227,117,36,1,0,0
19,238,275,367,248,129,37,1,0,0
20,260,296,386,266,131,38,1,0,0
21,287,319,407,276,137,39,1,0,0
22,305,338,421,287,139,40,1,0,0
23,322,360,427,291,144,41,1,0,0
24,347,377,435,298,150,41,1,0,0
25,359,386,445,302,151,42,1,0,0
26,385,400,453,307,151,42,1,0,0
27,399,411,458,308,153,42,1,0,0
28,415,419,462,312,156,42,1,0,0
29,427,429,463,314,157,42,1,0,0
30,442,437,467,314,158,42,1,0,0
31,459,449,469,315,158,42,1,0,0
32,475,457,469,317,159,42,1,0,0
33,496,462,470,317,159,42,1,0,0
34,513,467,472,318,159,42,1,0,0
35,531,473,473,320,159,42,1,0,0
36,551,479,473,320,159,42,1,0,0
37,561,492,473,320,159,42,1,0,0
38,576,500,474,320,159,42,1,0,0
39,590,506,475,320,159,42,1,0,0
40,604,509,475,320,159,42,1,0,0
41,622,513,475,320,159,42,1,0,0
42,637,516,475,321,159,42,1,0,0
43,653,517,475,321,159,42,1,0,0
44,668,518,475,321,159,42,1,0,0
45,680,522,475,321,159,42,1,0,0
46,686,527,475,321,159,42,1,0,0
47,698,530,475,321,159,42,1,0,0
48,707,533,475,321,159,42,1,0,0
49,716,535,475,321,159,42,1,0,0
50,725,535,475,321,159,42,1,0,0
51,734,536,475,321,159,42,1,0,0
52,748,538,475,321,159,42,1,0,0
53,756,541,475,321,159,42,1,0,0
54,768,545,475,321,159,42,1,0,0
55,775,546,475,321,159,42,1,0,0
56,786,547,475,321,159,42,1,0,0
57,793,547,475,321,159,42,1,0,0
58,795,549,475,321,159,42,1,0,0
59,801,551,475,321,159,42,1,0,0
60,807,553,475,321,159,42,1,0,0
61,817,554,475,321,159,42,1,0,0
62,826,554,475,321,159,42,1,0,0
63,834,556,475,321,159,42,1,0,0
64,840,558,475,321,159,42,1,0,0
65,845,558,475,321,159,42,1,0,0
66,848,559,475,321,159,42,1,0,0
67,853,559,475,321,159,42,1,0,0
68,861,559,475,321,159,42,1,0,0
69,865,559,475,321,159,42,1,0,0
70,875,561,475,321,159,42,1,0,0
71,882,562,475,321,159,42,1,0,0
72,884,563,475,321,159,42,1,0,0
73,893,564,475,321,159,42,1,0,0
